"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Federal Financial Institutions Examination Council","Agency Overall","2019","10168.00","0.00","10168.00","0.00","0.0000"
"Surface Transportation Board","Agency Overall","2019","55569.22","0.00","55569.22","50.00","0.0900"
"Commodity Futures Trading Commission","Agency Overall","2019","201488.07","0.00","201488.07","0.00","0.0000"
"Social Security Advisory Board","Agency Overall","2019","100.00","0.00","100.00","0.00","0.0000"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","91740.00","0.00","91740.00","0.00","0.0000"
"Office of Management and Budget","Agency Overall","2019","908860.00","10640.00","919500.00","0.00","0.0000"
"Environmental Protection Agency","Agency Overall","2019","32626930.00","2132910.00","34759840.00","133040.55","0.4100"
"Federal Housing Finance Agency","Agency Overall","2019","459617.90","0.00","459617.90","0.00","0.0000"
"Consumer Product Safety Commission","Agency Overall","2019","434997.68","0.00","434997.68","0.00","0.0000"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","3200.00","0.00","3200.00","0.00","0.0000"
"Office of National Drug Control Policy","Agency Overall","2019","186000.00","0.00","186000.00","0.00","0.0000"
"Farm Credit System Insurance Corporation","Agency Overall","2019","600.00","0.00","600.00","0.00","0.0000"
"National Endowment for the Arts","Agency Overall","2019","87500.00","0.00","87500.00","0.00","0.0000"
"National Mediation Board","Agency Overall","2019","72000.00","0.00","72000.00","0.00","0.0000"
"U.S. Agency for International Development","Agency Overall","2019","4101032.12","299453.13","4400485.25","0.00","0.0000"
"U.S. Election Assistance Commission","Agency Overall","2019","20000.00","0.00","20000.00","0.00","0.0000"
"Occupational Safety and Health Review Commission","Agency Overall","2019","235997.55","0.00","235997.55","201.50","0.0900"
"United States International Trade Commission","Agency Overall","2019","44200.00","0.00","44200.00","0.00","0.0000"
"Social Security Administration","Agency Overall","2019","3281076.76","19737.50","3300814.26","287309.32","8.7600"
"Department of Labor","Agency Overall","2019","18223960.00","511683.00","18735643.00","197356.66","1.0800"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","125000.00","0.00","125000.00","271.35","0.2200"
"Department of Defense","Agency Overall","2019","82185957.30","3212556.55","85398513.85","239765.07","0.2900"
"Department of Justice","Agency Overall","2019","76597735.11","16665796.23","93263531.34","33200.67","0.0400"
"Office of the Director of National Intelligence","Agency Overall","2019","1798000.00","137849.00","1935849.00","0.00","0.0000"
"Court Services and Offender Supervision Agency","Agency Overall","2019","188585.00","0.00","188585.00","148.25","0.0800"
"Department of the Treasury","Agency Overall","2019","17907075.91","1394963.10","19302039.01","199308.41","1.1100"
"U.S. Commission on Civil Rights","Agency Overall","2019","42000.00","0.00","42000.00","0.00","0.0000"
"United States Postal Service","Agency Overall","2019","974059.00","288.00","974347.00","25121.82","2.5800"
"Department of the Interior","Agency Overall","2019","13836202.32","2511729.76","16347932.08","18924.62","0.1400"
"American Battle Monuments Commission","Agency Overall","2019","13961.00","0.00","13961.00","0.00","0.0000"
"National Aeronautics and Space Administration","Agency Overall","2019","1434219.11","0.00","1434219.11","24942.48","0.0174"
"Office of Special Counsel","Agency Overall","2019","550434.46","0.00","550434.46","0.00","0.0000"
"Federal Maritime Commission","Agency Overall","2019","322451.00","0.00","322451.00","0.00","0.0000"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","9800.00","0.00","9800.00","0.00","0.0000"
"Department of Agriculture","Agency Overall","2019","16487588.97","2099479.85","18587068.82","99359.73","0.6000"
"Farm Credit Administration","Agency Overall","2019","32000.00","0.00","32000.00","0.00","0.0000"
"U.S. Department of State","Agency Overall","2019","26626139.69","1133455.00","27759594.69","984.00","0.0000"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","333541.00","0.00","333541.00","1374.00","0.4100"
"Council on Environmental Quality","Agency Overall","2019","227524.00","0.00","227524.00","0.00","0.0000"
"Peace Corps","Agency Overall","2019","1794054.00","0.00","1794054.00","0.00","0.0000"
"General Services Administration","Agency Overall","2019","2183097.00","33848.03","2216945.03","26650.10","1.2200"
"Merit Systems Protection Board","Agency Overall","2019","241329.00","0.00","241329.00","0.00","0.0000"
