"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"Federal Financial Institutions Examination Council","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Surface Transportation Board","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2019","4","13.5","13","11","133","151","0","N/A","N/A"
"Social Security Advisory Board","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","4","21","21","0","N/A","N/A","0","N/A","N/A"
"Office of Management and Budget","Agency Overall","2019","17","78","142","584","313","297","0","0","0"
"Environmental Protection Agency","Agency Overall","2019","1517","275","272.15","1141","265","321.5","41","573","594.24"
"Federal Housing Finance Agency","Agency Overall","2019","2","8","8","28","291","385.97","0","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2019","119","20","26","416","86.5","71","2","10","10"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2019","1","1","1","20","284","213","0","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2019","1","8","8","0","N/A","N/A","0","N/A","N/A"
"National Mediation Board","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2019","1","46","46","266","215","291","3","4","19"
"U.S. Election Assistance Commission","Agency Overall","2019","3","16","16","10","16.5","23","0","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2019","17","1","2.71","3","27","37.33","0","N/A","N/A"
"United States International Trade Commission","Agency Overall","2019","0","N/A","N/A","3","29","26","0","N/A","N/A"
"Social Security Administration","Agency Overall","2019","252","3","8","81","48","62","1","374","374"
"Department of Labor","Agency Overall","2019","31","84.5","197","1672","38","64.8","0","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Defense","Agency Overall","2019","2957","13","71.74","12326","111","257.19","87","41.5","224.92"
"Department of Justice","Agency Overall","2019","18052","53","130.23","14150","250","337.8","336","349","410.45"
"Office of the Director of National Intelligence","Agency Overall","2019","103","350","431.97","485","548","601.63","0","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of the Treasury","Agency Overall","2019","116","32","112.1","1862","166","279.2","43","351","345.9"
"U.S. Commission on Civil Rights","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"United States Postal Service","Agency Overall","2019","103","20","27","28","30","48","0","N/A","N/A"
"Department of the Interior","Agency Overall","2019","75","86","115","4462","205","248","51","454","366"
"American Battle Monuments Commission","Agency Overall","2019","0","N/A","N/A","1","29","29","0","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2019","23","11","17.57","38","20","34","0","N/A","N/A"
"Office of Special Counsel","Agency Overall","2019","19","30","29","68","30","30","1","30","30"
"Federal Maritime Commission","Agency Overall","2019","0","N/A","N/A","2","50","50","0","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","3","120","147","10","230","76","0","N/A","N/A"
"Department of Agriculture","Agency Overall","2019","2533","34","54","806","30","63","13","20","46"
"Farm Credit Administration","Agency Overall","2019","2","9","9","0","N/A","N/A","0","N/A","N/A"
"U.S. Department of State","Agency Overall","2019","321","352.44","605.42","10667","478.04","626.46","153","663.30","718.73"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","145","6","6.01","60","9","9.84","0","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2019","5","407","408.2","34","333","346.31","0","N/A","N/A"
"Peace Corps","Agency Overall","2019","106","28","128","28","10","161","0","N/A","N/A"
"General Services Administration","Agency Overall","2019","128","33","73.49","294","74","143.7","37","175","216.62"
"Merit Systems Protection Board","Agency Overall","2019","17","526","444.35","34","595.5","453.44","1","1173","1173"
"Federal Communications Commission","Agency Overall","2019","39","8","19.82","12","68","157.83","6","38","73.5"
"Tennessee Valley Authority","Agency Overall","2019","9","6","8","7","56","83","0","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2019","18","22.5","52.94","60","323.5","352.27","1","130","130"
"Federal Energy Regulatory Commission","Agency Overall","2019","5","8","99","46","137","207","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2019","830","398","574.03","2493","795","1332.70","36","436","401.65"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Education","Agency Overall","2019","121","161","218","950","196","246","4","30","100"
"Department of Energy","Agency Overall","2019","391","134","200.82","235","177","288.14","0","N/A","N/A"
"National Commission on Military, National, and Public Service","Agency Overall","2019","4","253","264.75","1","250","250","0","N/A","N/A"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"United States Access Board","Agency Overall","2019","0","N/A","N/A","8","145","104","0","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2019","16","691.5","647","10","347","562","2","772","772"
"Federal Open Market Committee","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Homeland Security","Agency Overall","2019","18912","2","20","9611","219","264","178","136","261"
"Federal Mediation and Conciliation Service","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","2","102","102","0","N/A","N/A","0","N/A","N/A"
"Department of Commerce","Agency Overall","2019","350","44","122","553","133","237","17","160","264"
"Inter-American Foundation","Agency Overall","2019","0","N/A","N/A","2","340.5","340.5","0","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Presidio Trust","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2019","1","8","8","0","N/A","N/A","0","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2019","112","132","137","99","192","187","0","N/A","N/A"
"Advisory Council on Historic Preservation","Agency Overall","2019","3","38","52","4","250","212","0","N/A","N/A"
"Federal Reserve System","Agency Overall","2019","4","22","73","31","24","112","0","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2019","590","11","38","6","894","815","3","25","34"
"Appraisal Subcommittee","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2019","8","5","7","1","221","221","0","N/A","N/A"
