"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Federal Financial Institutions Examination Council","Agency Overall","2019","0","0","N/A","N/A"
"Surface Transportation Board","Agency Overall","2019","3","0","5","6.67"
"Commodity Futures Trading Commission","Agency Overall","2019","17","9","9","57.38"
"Social Security Advisory Board","Agency Overall","2019","0","0","0.0000","0.0000"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","0","0","N/A","N/A"
"Office of Management and Budget","Agency Overall","2019","0","0","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2019","110","368","13","3.16"
"Federal Housing Finance Agency","Agency Overall","2019","10","7","1","4.59"
"Consumer Product Safety Commission","Agency Overall","2019","5","0","43","190.4"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","0","0","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2019","0","0","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2019","0","0","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2019","0","0","N/A","N/A"
"National Mediation Board","Agency Overall","2019","0","0","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2019","22","12","2","20.09"
"U.S. Election Assistance Commission","Agency Overall","2019","0","0","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2019","0","0","N/A","N/A"
"United States International Trade Commission","Agency Overall","2019","0","0","N/A","N/A"
"Social Security Administration","Agency Overall","2019","4","165","5","10"
"Department of Labor","Agency Overall","2019","505","791","16","65"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","0","0","N/A","N/A"
"Department of Defense","Agency Overall","2019","1892","1007","1","14.33"
"Department of Justice","Agency Overall","2019","116","1179","3","12.88"
"Office of the Director of National Intelligence","Agency Overall","2019","94","0","1","1"
"Court Services and Offender Supervision Agency","Agency Overall","2019","0","0","N/A","N/A"
"Department of the Treasury","Agency Overall","2019","87","20","2","2.7"
"U.S. Commission on Civil Rights","Agency Overall","2019","0","0","N/A","N/A"
"United States Postal Service","Agency Overall","2019","19","26","4","7.62"
"Department of the Interior","Agency Overall","2019","748","50","N/A","4"
"American Battle Monuments Commission","Agency Overall","2019","0","0","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2019","4","30","12","21.15"
"Office of Special Counsel","Agency Overall","2019","0","0","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2019","0","0","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","8","0","1","13"
"Department of Agriculture","Agency Overall","2019","1129","47","1","19.9"
"Farm Credit Administration","Agency Overall","2019","5","0","5","7"
"U.S. Department of State","Agency Overall","2019","537","201","3","9"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","6","20","0.5","0.58"
"Council on Environmental Quality","Agency Overall","2019","0","0","N/A","N/A"
"Peace Corps","Agency Overall","2019","6","20","1","1"
"General Services Administration","Agency Overall","2019","28","70","N/A","0.65"
"Merit Systems Protection Board","Agency Overall","2019","0","0","N/A","N/A"
"Federal Communications Commission","Agency Overall","2019","0","51","N/A","0.08"
"Tennessee Valley Authority","Agency Overall","2019","0","0","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2019","6","26","N/A","1.5"
"Federal Energy Regulatory Commission","Agency Overall","2019","0","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2019","4","365","3","6.4"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2019","0","0","N/A","N/A"
"Department of Education","Agency Overall","2019","263","2","19","33.94"
"Department of Energy","Agency Overall","2019","66","28","4","43.23"
"National Commission on Military, National, and Public Service","Agency Overall","2019","6","0","3.5","5"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","1","0","5","5"
"United States Access Board","Agency Overall","2019","0","0","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2019","5","0","1","1"
"Federal Open Market Committee","Agency Overall","2019","1","0","13","13"
"Department of Homeland Security","Agency Overall","2019","1140","819","1","9"
"Federal Mediation and Conciliation Service","Agency Overall","2019","0","0","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","5","0","4","4"
"Department of Commerce","Agency Overall","2019","301","148","1","16"
"Inter-American Foundation","Agency Overall","2019","0","0","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","0","0","N/A","N/A"
"Presidio Trust","Agency Overall","2019","0","0","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2019","0","0","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2019","8","1","12","44.78"
"Advisory Council on Historic Preservation","Agency Overall","2019","5","0","N/A","N/A"
"Federal Reserve System","Agency Overall","2019","0","0","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2019","168","232","2","3.27"
"Appraisal Subcommittee","Agency Overall","2019","1","0","1","1"
"Office of the United States Trade Representative","Agency Overall","2019","0","0","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2019","11","0","6","12"
"Harry S. Truman Scholarship Foundation","Agency Overall","2019","3","0","1","1"
"Federal Trade Commission","Agency Overall","2019","98","0","7","13"
"National Science Foundation","Agency Overall","2019","4","6","1","1"
