"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Federal Financial Institutions Examination Council","Agency Overall","2019","8","11","8","11"
"Surface Transportation Board","Agency Overall","2019","42","33","41","34"
"Commodity Futures Trading Commission","Agency Overall","2019","134","138","121","164"
"Social Security Advisory Board","Agency Overall","2019","3","3","3","3"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","39","30","44","32"
"Office of Management and Budget","Agency Overall","2019","547","374","301","293"
"Environmental Protection Agency","Agency Overall","2019","11364","8869","10442","9525"
"Federal Housing Finance Agency","Agency Overall","2019","138","149","148","139"
"Consumer Product Safety Commission","Agency Overall","2019","554","505","439","316"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","8","4","8","4"
"Office of National Drug Control Policy","Agency Overall","2019","112","68","106","70"
"Farm Credit System Insurance Corporation","Agency Overall","2019","4","4","4","4"
"National Endowment for the Arts","Agency Overall","2019","71","58","76","57"
"National Mediation Board","Agency Overall","2019","17","11","17","11"
"U.S. Agency for International Development","Agency Overall","2019","280","290","337","304"
"U.S. Election Assistance Commission","Agency Overall","2019","38","30","45","17"
"Occupational Safety and Health Review Commission","Agency Overall","2019","69","89","69","70"
"United States International Trade Commission","Agency Overall","2019","34","31","37","28"
"Social Security Administration","Agency Overall","2019","16427","14987","16631","15148"
"Department of Labor","Agency Overall","2019","14696","16090","14679","16350"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","65","64","68","65"
"Department of Defense","Agency Overall","2019","57032","56524","54323","54545"
"Department of Justice","Agency Overall","2019","96875","95119","91383","88668"
"Office of the Director of National Intelligence","Agency Overall","2019","498","503","349","464"
"Court Services and Offender Supervision Agency","Agency Overall","2019","437","258","517","271"
"Department of the Treasury","Agency Overall","2019","10844","11936","12120","11921"
"U.S. Commission on Civil Rights","Agency Overall","2019","28","49","28","49"
"United States Postal Service","Agency Overall","2019","3150","2972","3116","2960"
"Department of the Interior","Agency Overall","2019","8402","7973","7001","6782"
"American Battle Monuments Commission","Agency Overall","2019","16","16","18","15"
"National Aeronautics and Space Administration","Agency Overall","2019","853","812","880","800"
"Office of Special Counsel","Agency Overall","2019","189","149","282","183"
"Federal Maritime Commission","Agency Overall","2019","26","22","28","23"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","28","23","26","20"
"Department of Agriculture","Agency Overall","2019","36547","26458","35479","26094"
"Farm Credit Administration","Agency Overall","2019","23","21","21","21"
"U.S. Department of State","Agency Overall","2019","8448","8589","10928","6545"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","1618","2348","1598","2232"
"Council on Environmental Quality","Agency Overall","2019","167","119","156","130"
"Peace Corps","Agency Overall","2019","137","179","123","101"
"General Services Administration","Agency Overall","2019","1324","1461","1239","1355"
"Merit Systems Protection Board","Agency Overall","2019","173","117","200","115"
"Federal Communications Commission","Agency Overall","2019","820","700","848","703"
"Tennessee Valley Authority","Agency Overall","2019","222","187","212","197"
"Nuclear Regulatory Commission","Agency Overall","2019","643","369","496","510"
"Federal Energy Regulatory Commission","Agency Overall","2019","129","117","111","114"
"National Archives and Records Administration","Agency Overall","2019","52850","67466","53101","68062"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2019","7","9","7","9"
"Department of Education","Agency Overall","2019","3041","2448","2858","2368"
"Department of Energy","Agency Overall","2019","2073","1855","1893","1883"
"National Commission on Military, National, and Public Service","Agency Overall","2019","3","37","1","34"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","2","4","2","4"
"United States Access Board","Agency Overall","2019","8","34","8","26"
"United States Trade and Development Agency","Agency Overall","2019","22","19","19","19"
"Federal Open Market Committee","Agency Overall","2019","12","26","13","26"
"Department of Homeland Security","Agency Overall","2019","395751","400245","374945","429798"
"Federal Mediation and Conciliation Service","Agency Overall","2019","58","36","57","54"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","16","17","19","16"
"Department of Commerce","Agency Overall","2019","2269","2391","1976","2017"
"Inter-American Foundation","Agency Overall","2019","11","11","11","10"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","5","0","5","0"
"Presidio Trust","Agency Overall","2019","5","5","5","5"
"National Endowment for the Humanities","Agency Overall","2019","49","54","54","54"
"Consumer Financial Protection Bureau","Agency Overall","2019","788","484","642","435"
"Advisory Council on Historic Preservation","Agency Overall","2019","3","13","1","5"
"Federal Reserve System","Agency Overall","2019","610","562","625","561"
"Securities and Exchange Commission","Agency Overall","2019","14229","11546","14248","11487"
"Appraisal Subcommittee","Agency Overall","2019","4","2","4","2"
"Office of the United States Trade Representative","Agency Overall","2019","186","136","188","138"
"United States International Boundary and Water Commission","Agency Overall","2019","50","61","42","54"
"Harry S. Truman Scholarship Foundation","Agency Overall","2019","2","3","2","3"
"Federal Trade Commission","Agency Overall","2019","1441","1381","1459","1361"
"National Science Foundation","Agency Overall","2019","329","327","349","267"
"Overseas Private Investment Corporation","Agency Overall","2019","59","64","53","65"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2019","3","9","3","9"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2019","40","71","14","41"
"United States African Development Foundation","Agency Overall","2019","6","7","6","7"
"Federal Labor Relations Authority","Agency Overall","2019","56","93","61","84"
"Equal Employment Opportunity Commission","Agency Overall","2019","19065","17794","19134","19794"
"Office of Personnel Management","Agency Overall","2019","10668","10495","10575","10493"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2019","27","13","30","15"
"Institute of Museum and Library Services","Agency Overall","2019","33","44","26","53"
"United States Institute of Peace","Agency Overall","2019","1","4","2","4"
"National Indian Gaming Commission","Agency Overall","2019","44","37","52","47"
"Federal Election Commission","Agency Overall","2019","164","116","163","127"
"Commission of Fine Arts","Agency Overall","2019","8","5","8","5"
"National Railroad Passenger Corporation","Agency Overall","2019","206","213","215","191"
"Office of Science and Technology Policy","Agency Overall","2019","122","86","100","63"
"Denali Commission","Agency Overall","2019","4","4","4","4"
"United States Copyright Office","Agency Overall","2019","41","46","44","42"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","15","19","12","8"
"National Transportation Safety Board","Agency Overall","2019","521","435","549","761"
"Selective Service System","Agency Overall","2019","54","62","54","62"
"Office of Government Ethics","Agency Overall","2019","126","96","206","125"
