"Agency","Component","Fiscal Year","Number of Records Posted by the FOIA Office","Number of Records Posted by Program Offices"
"Federal Financial Institutions Examination Council","Agency Overall","2019","0","0"
"Surface Transportation Board","Agency Overall","2019","0","9"
"Commodity Futures Trading Commission","Agency Overall","2019","0","1"
"Social Security Advisory Board","Agency Overall","2019","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","0","0"
"Office of Management and Budget","Agency Overall","2019","26","150"
"Environmental Protection Agency","Agency Overall","2019","3","3395"
"Federal Housing Finance Agency","Agency Overall","2019","3","63"
"Consumer Product Safety Commission","Agency Overall","2019","4","31"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","0","0"
"Office of National Drug Control Policy","Agency Overall","2019","11","12"
"Farm Credit System Insurance Corporation","Agency Overall","2019","0","4"
"National Endowment for the Arts","Agency Overall","2019","0","11"
"National Mediation Board","Agency Overall","2019","6","250"
"U.S. Agency for International Development","Agency Overall","2019","26","130"
"U.S. Election Assistance Commission","Agency Overall","2019","66","0"
"Occupational Safety and Health Review Commission","Agency Overall","2019","13","78"
"United States International Trade Commission","Agency Overall","2019","0","233"
"Social Security Administration","Agency Overall","2019","124","0"
"Department of Labor","Agency Overall","2019","1905","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","200","13"
"Department of Defense","Agency Overall","2019","11919","234545"
"Department of Justice","Agency Overall","2019","1535","7024"
"Office of the Director of National Intelligence","Agency Overall","2019","15","60"
"Court Services and Offender Supervision Agency","Agency Overall","2019","0","0"
"Department of the Treasury","Agency Overall","2019","166","3354"
"U.S. Commission on Civil Rights","Agency Overall","2019","0","0"
"United States Postal Service","Agency Overall","2019","123","4147"
"Department of the Interior","Agency Overall","2019","117","8158"
"American Battle Monuments Commission","Agency Overall","2019","1","20"
"National Aeronautics and Space Administration","Agency Overall","2019","0","0"
"Office of Special Counsel","Agency Overall","2019","0","46"
"Federal Maritime Commission","Agency Overall","2019","0","9"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","0","3"
"Department of Agriculture","Agency Overall","2019","233","22550"
"Farm Credit Administration","Agency Overall","2019","0","10"
"U.S. Department of State","Agency Overall","2019","14307","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","961","0"
"Council on Environmental Quality","Agency Overall","2019","19","21"
"Peace Corps","Agency Overall","2019","39","499"
"General Services Administration","Agency Overall","2019","66","2081"
"Merit Systems Protection Board","Agency Overall","2019","14","69"
"Federal Communications Commission","Agency Overall","2019","7","32955958"
"Tennessee Valley Authority","Agency Overall","2019","0","0"
"Nuclear Regulatory Commission","Agency Overall","2019","36","270"
"Federal Energy Regulatory Commission","Agency Overall","2019","4","200"
"National Archives and Records Administration","Agency Overall","2019","2","76173524"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2019","0","0"
"Department of Education","Agency Overall","2019","20","3942"
"Department of Energy","Agency Overall","2019","6","3263"
"National Commission on Military, National, and Public Service","Agency Overall","2019","2","158"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","0","0"
"United States Access Board","Agency Overall","2019","0","0"
"United States Trade and Development Agency","Agency Overall","2019","0","0"
"Federal Open Market Committee","Agency Overall","2019","87","32"
"Department of Homeland Security","Agency Overall","2019","166605","0"
"Federal Mediation and Conciliation Service","Agency Overall","2019","40","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","7","522"
"Department of Commerce","Agency Overall","2019","4681","3815074"
"Inter-American Foundation","Agency Overall","2019","2","72"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","0","0"
"Presidio Trust","Agency Overall","2019","0","67"
"National Endowment for the Humanities","Agency Overall","2019","102","200"
"Consumer Financial Protection Bureau","Agency Overall","2019","22","251"
"Advisory Council on Historic Preservation","Agency Overall","2019","0","0"
"Federal Reserve System","Agency Overall","2019","1","14"
"Securities and Exchange Commission","Agency Overall","2019","124","671957"
"Appraisal Subcommittee","Agency Overall","2019","0","0"
"Office of the United States Trade Representative","Agency Overall","2019","34","16"
"United States International Boundary and Water Commission","Agency Overall","2019","400","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2019","0","0"
