"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"Federal Financial Institutions Examination Council","Agency Overall","2019","0","0"
"Surface Transportation Board","Agency Overall","2019","0","0"
"Commodity Futures Trading Commission","Agency Overall","2019","8","0"
"Social Security Advisory Board","Agency Overall","2019","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","3","0"
"Office of Management and Budget","Agency Overall","2019","568","4"
"Environmental Protection Agency","Agency Overall","2019","2272","64"
"Federal Housing Finance Agency","Agency Overall","2019","22","0"
"Consumer Product Safety Commission","Agency Overall","2019","404","1"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","0","0"
"Office of National Drug Control Policy","Agency Overall","2019","17","0"
"Farm Credit System Insurance Corporation","Agency Overall","2019","0","0"
"National Endowment for the Arts","Agency Overall","2019","0","0"
"National Mediation Board","Agency Overall","2019","0","0"
"U.S. Agency for International Development","Agency Overall","2019","238","2"
"U.S. Election Assistance Commission","Agency Overall","2019","12","1"
"Occupational Safety and Health Review Commission","Agency Overall","2019","1","0"
"United States International Trade Commission","Agency Overall","2019","1","0"
"Social Security Administration","Agency Overall","2019","88","11"
"Department of Labor","Agency Overall","2019","991","245"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","0","0"
"Department of Defense","Agency Overall","2019","13198","893"
"Department of Justice","Agency Overall","2019","25558","454"
"Office of the Director of National Intelligence","Agency Overall","2019","561","22"
"Court Services and Offender Supervision Agency","Agency Overall","2019","0","0"
"Department of the Treasury","Agency Overall","2019","1495","100"
"U.S. Commission on Civil Rights","Agency Overall","2019","0","0"
"United States Postal Service","Agency Overall","2019","34","1"
"Department of the Interior","Agency Overall","2019","4116","424"
"American Battle Monuments Commission","Agency Overall","2019","1","0"
"National Aeronautics and Space Administration","Agency Overall","2019","28","5"
"Office of Special Counsel","Agency Overall","2019","68","0"
"Federal Maritime Commission","Agency Overall","2019","1","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","13","0"
"Department of Agriculture","Agency Overall","2019","2700","1022"
"Farm Credit Administration","Agency Overall","2019","0","0"
"U.S. Department of State","Agency Overall","2019","11106","223"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","0","0"
"Council on Environmental Quality","Agency Overall","2019","39","1"
"Peace Corps","Agency Overall","2019","69","0"
"General Services Administration","Agency Overall","2019","334","12"
"Merit Systems Protection Board","Agency Overall","2019","46","2"
"Federal Communications Commission","Agency Overall","2019","16","3"
"Tennessee Valley Authority","Agency Overall","2019","7","0"
"Nuclear Regulatory Commission","Agency Overall","2019","66","3"
"Federal Energy Regulatory Commission","Agency Overall","2019","40","1"
"National Archives and Records Administration","Agency Overall","2019","3359","95"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2019","0","0"
"Department of Education","Agency Overall","2019","914","86"
"Department of Energy","Agency Overall","2019","493","11"
"National Commission on Military, National, and Public Service","Agency Overall","2019","5","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","0","0"
"United States Access Board","Agency Overall","2019","8","0"
"United States Trade and Development Agency","Agency Overall","2019","28","0"
"Federal Open Market Committee","Agency Overall","2019","0","0"
"Department of Homeland Security","Agency Overall","2019","31454","304"
"Federal Mediation and Conciliation Service","Agency Overall","2019","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","2","0"
"Department of Commerce","Agency Overall","2019","721","85"
"Inter-American Foundation","Agency Overall","2019","2","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","0","0"
"Presidio Trust","Agency Overall","2019","0","0"
"National Endowment for the Humanities","Agency Overall","2019","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2019","179","0"
"Advisory Council on Historic Preservation","Agency Overall","2019","7","0"
"Federal Reserve System","Agency Overall","2019","14","2"
"Securities and Exchange Commission","Agency Overall","2019","184","4"
"Appraisal Subcommittee","Agency Overall","2019","0","0"
"Office of the United States Trade Representative","Agency Overall","2019","2","0"
"United States International Boundary and Water Commission","Agency Overall","2019","17","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2019","0","0"
"Federal Trade Commission","Agency Overall","2019","3","0"
"National Science Foundation","Agency Overall","2019","301","0"
"Overseas Private Investment Corporation","Agency Overall","2019","7","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2019","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2019","72","0"
"United States African Development Foundation","Agency Overall","2019","0","0"
"Federal Labor Relations Authority","Agency Overall","2019","3","0"
"Equal Employment Opportunity Commission","Agency Overall","2019","205","1"
"Office of Personnel Management","Agency Overall","2019","229","8"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2019","0","0"
"Institute of Museum and Library Services","Agency Overall","2019","5","0"
"United States Institute of Peace","Agency Overall","2019","0","0"
"National Indian Gaming Commission","Agency Overall","2019","2","0"
"Federal Election Commission","Agency Overall","2019","51","1"
"Commission of Fine Arts","Agency Overall","2019","0","0"
"National Railroad Passenger Corporation","Agency Overall","2019","83","7"
"Office of Science and Technology Policy","Agency Overall","2019","86","2"
"Denali Commission","Agency Overall","2019","0","0"
"United States Copyright Office","Agency Overall","2019","8","1"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","12","0"
"National Transportation Safety Board","Agency Overall","2019","418","0"
"Selective Service System","Agency Overall","2019","0","0"
"Office of Government Ethics","Agency Overall","2019","28","0"
"Export-Import Bank of the U.S.","Agency Overall","2019","31","0"
"Armed Forces Retirement Home","Agency Overall","2019","0","0"
"Department of Housing and Urban Development","Agency Overall","2019","932","15"
"Administrative Conference of the United States","Agency Overall","2019","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2019","3","0"
"Federal Deposit Insurance Corporation","Agency Overall","2019","1","0"
"Central Intelligence Agency","Agency Overall","2019","2384","237"
"Small Business Administration","Agency Overall","2019","0","2"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2019","32","0"
"National Labor Relations Board","Agency Overall","2019","35","0"
"National Credit Union Administration","Agency Overall","2019","1","0"
"Department of Health and Human Services","Agency Overall","2019","7764","514"
"Department of Veterans Affairs","Agency Overall","2019","2631","118"
"Department of Transportation","Agency Overall","2019","3578","100"
"National Council on Disability","Agency Overall","2019","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2019","2","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2019","0","0"
"Millennium Challenge Corporation","Agency Overall","2019","2","0"
"Legal Services Corporation","Agency Overall","2019","0","0"
"U.S. Agency for Global Media","Agency Overall","2019","13","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2019","3","0"
"Marine Mammal Commission","Agency Overall","2019","1","0"
"National Capital Planning Commission","Agency Overall","2019","0","0"
"Postal Regulatory Commission","Agency Overall","2019","0","0"
"All agencies","Agency Overall","2019","120436","5087"
