"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Federal Financial Institutions Examination Council","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2019","1","0","0","1","0","0","0","0","0","0","0","0","0","2"
"Social Security Advisory Board","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2019","2","0","0","0","0","0","0","0","0","0","0","11","43","56"
"Federal Housing Finance Agency","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2019","2","0","0","0","2","0","0","0","0","0","0","0","0","4"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"Farm Credit System Insurance Corporation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2019","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"U.S. Agency for International Development","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"U.S. Election Assistance Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2019","50","6","4","3","1","1","0","2","0","0","1","1","2","71"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Department of Defense","Agency Overall","2019","374","52","31","13","9","10","4","6","7","2","10","7","6","531"
"Department of Justice","Agency Overall","2019","50","58","17","7","4","4","6","1","4","8","60","21","100","340"
"Office of the Director of National Intelligence","Agency Overall","2019","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Court Services and Offender Supervision Agency","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2019","14","5","1","2","0","1","0","0","0","0","5","2","2","32"
"U.S. Commission on Civil Rights","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2019","5","0","0","0","0","0","0","0","0","0","1","0","0","6"
"Department of the Interior","Agency Overall","2019","15","6","3","1","2","0","1","1","0","0","3","1","1","34"
"American Battle Monuments Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
