"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Requests as of End of the Fiscal Year from Current Annual Report"
"Federal Financial Institutions Examination Council","Agency Overall","2019","0","0"
"Surface Transportation Board","Agency Overall","2019","0","0"
"Commodity Futures Trading Commission","Agency Overall","2019","33","8"
"Social Security Advisory Board","Agency Overall","2019","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","6","3"
"Office of Management and Budget","Agency Overall","2019","510","568"
"Environmental Protection Agency","Agency Overall","2019","2761","2272"
"Federal Housing Finance Agency","Agency Overall","2019","19","22"
"Consumer Product Safety Commission","Agency Overall","2019","265","404"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","0","0"
"Office of National Drug Control Policy","Agency Overall","2019","21","17"
"Farm Credit System Insurance Corporation","Agency Overall","2019","0","0"
"National Endowment for the Arts","Agency Overall","2019","0","0"
"National Mediation Board","Agency Overall","2019","0","0"
"U.S. Agency for International Development","Agency Overall","2019","273","238"
"U.S. Election Assistance Commission","Agency Overall","2019","5","12"
"Occupational Safety and Health Review Commission","Agency Overall","2019","0","1"
"United States International Trade Commission","Agency Overall","2019","0","1"
"Social Security Administration","Agency Overall","2019","149","88"
"Department of Labor","Agency Overall","2019","816","991"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","0","0"
"Department of Defense","Agency Overall","2019","11391","13198"
"Department of Justice","Agency Overall","2019","17400","25558"
"Office of the Director of National Intelligence","Agency Overall","2019","539","561"
"Court Services and Offender Supervision Agency","Agency Overall","2019","4","0"
"Department of the Treasury","Agency Overall","2019","1512","1495"
"U.S. Commission on Civil Rights","Agency Overall","2019","0","0"
"United States Postal Service","Agency Overall","2019","62","34"
"Department of the Interior","Agency Overall","2019","3191","4116"
"American Battle Monuments Commission","Agency Overall","2019","0","1"
"National Aeronautics and Space Administration","Agency Overall","2019","27","28"
"Office of Special Counsel","Agency Overall","2019","112","68"
"Federal Maritime Commission","Agency Overall","2019","2","1"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","10","13"
"Department of Agriculture","Agency Overall","2019","2407","2700"
"Farm Credit Administration","Agency Overall","2019","0","0"
"U.S. Department of State","Agency Overall","2019","10400","11106"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","0","0"
"Council on Environmental Quality","Agency Overall","2019","51","39"
"Peace Corps","Agency Overall","2019","56","69"
"General Services Administration","Agency Overall","2019","246","334"
"Merit Systems Protection Board","Agency Overall","2019","47","46"
"Federal Communications Commission","Agency Overall","2019","9","16"
"Tennessee Valley Authority","Agency Overall","2019","11","7"
"Nuclear Regulatory Commission","Agency Overall","2019","122","66"
"Federal Energy Regulatory Commission","Agency Overall","2019","31","40"
"National Archives and Records Administration","Agency Overall","2019","1810","3359"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2019","0","0"
"Department of Education","Agency Overall","2019","857","914"
"Department of Energy","Agency Overall","2019","498","493"
"National Commission on Military, National, and Public Service","Agency Overall","2019","1","5"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","0","0"
"United States Access Board","Agency Overall","2019","0","8"
"United States Trade and Development Agency","Agency Overall","2019","28","28"
"Federal Open Market Committee","Agency Overall","2019","0","0"
"Department of Homeland Security","Agency Overall","2019","53971","31454"
"Federal Mediation and Conciliation Service","Agency Overall","2019","14","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","1","2"
"Department of Commerce","Agency Overall","2019","572","721"
"Inter-American Foundation","Agency Overall","2019","1","2"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","0","0"
"Presidio Trust","Agency Overall","2019","0","0"
"National Endowment for the Humanities","Agency Overall","2019","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2019","114","179"
"Advisory Council on Historic Preservation","Agency Overall","2019","3","7"
"Federal Reserve System","Agency Overall","2019","18","14"
"Securities and Exchange Commission","Agency Overall","2019","112","184"
"Appraisal Subcommittee","Agency Overall","2019","0","0"
"Office of the United States Trade Representative","Agency Overall","2019","11","2"
"United States International Boundary and Water Commission","Agency Overall","2019","7","17"
"Harry S. Truman Scholarship Foundation","Agency Overall","2019","0","0"
"Federal Trade Commission","Agency Overall","2019","6","3"
"National Science Foundation","Agency Overall","2019","248","301"
"Overseas Private Investment Corporation","Agency Overall","2019","9","7"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2019","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2019","50","72"
"United States African Development Foundation","Agency Overall","2019","0","0"
"Federal Labor Relations Authority","Agency Overall","2019","0","3"
"Equal Employment Opportunity Commission","Agency Overall","2019","2093","205"
"Office of Personnel Management","Agency Overall","2019","215","229"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2019","1","0"
"Institute of Museum and Library Services","Agency Overall","2019","8","5"
"United States Institute of Peace","Agency Overall","2019","0","0"
"National Indian Gaming Commission","Agency Overall","2019","9","2"
"Federal Election Commission","Agency Overall","2019","72","51"
"Commission of Fine Arts","Agency Overall","2019","0","0"
"National Railroad Passenger Corporation","Agency Overall","2019","64","83"
"Office of Science and Technology Policy","Agency Overall","2019","56","86"
"Denali Commission","Agency Overall","2019","0","0"
"United States Copyright Office","Agency Overall","2019","5","8"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","4","12"
"National Transportation Safety Board","Agency Overall","2019","658","418"
"Selective Service System","Agency Overall","2019","0","0"
"Office of Government Ethics","Agency Overall","2019","60","28"
"Export-Import Bank of the U.S.","Agency Overall","2019","41","31"
"Armed Forces Retirement Home","Agency Overall","2019","0","0"
"Department of Housing and Urban Development","Agency Overall","2019","860","932"
"Administrative Conference of the United States","Agency Overall","2019","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2019","3","3"
"Federal Deposit Insurance Corporation","Agency Overall","2019","1","1"
"Central Intelligence Agency","Agency Overall","2019","2009","2384"
"Small Business Administration","Agency Overall","2019","45","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2019","28","32"
"National Labor Relations Board","Agency Overall","2019","87","35"
"National Credit Union Administration","Agency Overall","2019","12","1"
"Department of Health and Human Services","Agency Overall","2019","6304","7764"
"Department of Veterans Affairs","Agency Overall","2019","4659","2631"
"Department of Transportation","Agency Overall","2019","2635","3578"
"National Council on Disability","Agency Overall","2019","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2019","9","2"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2019","0","0"
"Millennium Challenge Corporation","Agency Overall","2019","2","2"
"Legal Services Corporation","Agency Overall","2019","0","0"
"U.S. Agency for Global Media","Agency Overall","2019","4","13"
"Neighborhood Reinvestment Corporation","Agency Overall","2019","3","3"
"Marine Mammal Commission","Agency Overall","2019","1","1"
"National Capital Planning Commission","Agency Overall","2019","0","0"
"Postal Regulatory Commission","Agency Overall","2019","0","0"
"All agencies","Agency Overall","2019","130767","120436"
