"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Federal Financial Institutions Examination Council","Agency Overall","2019","13","19","13","35","21.5","21.5","13","30","N/A","N/A","N/A","N/A"
"Surface Transportation Board","Agency Overall","2019","3","6.83","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2019","54","84.46","<1","335","69.5","172.22","8","481","37","37","6","68"
"Social Security Advisory Board","Agency Overall","2019","10","10","N/A","20","0.0000","0.0000","0","0","0.0000","0.0000","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","23","33","1","89","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Management and Budget","Agency Overall","2019","42","92.9","1","599","498","473.66","52","939","n/a","n/a","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2019","14","45.93","<1","687","55.5","126.32","<1","1504","449","428.12","5","631"
"Federal Housing Finance Agency","Agency Overall","2019","15","16.81","4","74","78.5","107.07","14","354","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2019","99","148.97","6","437","273","262.51","2","654","88.5","88.5","81","96"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","22.5","20","15","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2019","15","13","1","20","91","159","24","449","352","352","352","352"
"Farm Credit System Insurance Corporation","Agency Overall","2019","2","2","1","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2019","30","23","3","58","48","32","20","77","21","22","14","34"
"National Mediation Board","Agency Overall","2019","2.5","1.7","1","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2019","10.5","10.5","9","12","231.5","343.92","6","1339","1270","1270","1270","1270"
"U.S. Election Assistance Commission","Agency Overall","2019","88","99.67","80","131","95","96","81","113","N/A","N/A","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2019","8","9.03","1","21","40","66.33","39","120","N/A","N/A","N/A","N/A"
"United States International Trade Commission","Agency Overall","2019","20","18.8","16","20","30","29.2","27","30","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2019","4","5","<1","286","97","143","4","563","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2019","14","28.9","1","4554","18","43.2","1","4554","7","28.7","1","297"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","1","1.7","1","9","7.5","7.5","7","8","1","1","1","1"
"Department of Defense","Agency Overall","2019","9","28.64","1","1777","80","208.42","1","4426","4","44.63","1","975"
"Department of Justice","Agency Overall","2019","44","61.13","<1","1319","103","211.5","<1","1851","301","415.76","2","1511"
"Office of the Director of National Intelligence","Agency Overall","2019","3.00","12.71","1","284","49.00","179.42","1","1648","2.00","2.00","1","3"
"Court Services and Offender Supervision Agency","Agency Overall","2019","3","4.13","<1","19","7","8.33","<1","78","N/A","N/A","N/A","N/A"
"Department of the Treasury","Agency Overall","2019","5","11.4","<1","412","25","50.8","<1","1884","22","34.4","11","331"
"U.S. Commission on Civil Rights","Agency Overall","2019","16.5","15.2","3","32","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Postal Service","Agency Overall","2019","14","15.59","1","449","36","67.09","5","859","8","75","4","213"
"Department of the Interior","Agency Overall","2019","5","17","<1","221","29","82","<1","1281","33","69","<1","334"
"American Battle Monuments Commission","Agency Overall","2019","4","7","1","16","10","10","5","14","N/A","N/A","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2019","10","16.28","<1","146","37","50.83","<1","240","N/A","N/A","N/A","N/A"
"Office of Special Counsel","Agency Overall","2019","55","76.52","1","206","388","465.9","17","1292","116.5","114.25","<1","272"
"Federal Maritime Commission","Agency Overall","2019","5","5","5","5","19","26.72","5","62","N/A","N/A","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","9","9","3","15","20","20","20","20","N/A","N/A","0","0"
"Department of Agriculture","Agency Overall","2019","23","89.51","<1","2077","53","159.54","<1","1731","19","137.44","<1","556"
"Farm Credit Administration","Agency Overall","2019","10.5","11.83","<1","36","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Department of State","Agency Overall","2019","27","80.42","1","1267","64","234.97","5","3136","459.50","484.25","427","591"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","9","11.01","<1","115","26","36.51","<1","249","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2019","24","59.33","3","376","128","195.22","1","874","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2019","33","79.17","<1","538","205","306.8","148","757","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2019","13","12.3","<1","35","58","97.47","2","548","49","106.64","<1","402"
"Merit Systems Protection Board","Agency Overall","2019","4.5","7.87","<1","23","187","352.59","9","805","N/A","N/A","N/A","N/A"
"Federal Communications Commission","Agency Overall","2019","14","15.56","<1","47","49.5","66.36","17","348","37","61.3","2","302"
"Tennessee Valley Authority","Agency Overall","2019","9","10","1","20","35","61","21","457","4","4","4","4"
"Nuclear Regulatory Commission","Agency Overall","2019","19","48.75","<1","539","133","174.08","2","480","161","124.8","<1","252"
"Federal Energy Regulatory Commission","Agency Overall","2019","29","66","5","679","41","94","15","364","N/A","N/A","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2019","426.5","351.92","1","1511","1402.5","1496.25","1","6474","N/A","N/A","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2019","4","9.6","3","31","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Education","Agency Overall","2019","13","14.86","<1","580","108","185.43","<1","2137","6.5","29.5","<1","105"
"Department of Energy","Agency Overall","2019","46.5","101.85","<1","753","85","169.94","<1","1994","<1","<1","N/A","N/A"
"National Commission on Military, National, and Public Service","Agency Overall","2019","19","19","18","20","N/A","N/A","N/A","N/A","6","6","6","6"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","7","7","5","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Access Board","Agency Overall","2019","N/A","N/A","N/A","N/A","20","33","8","120","N/A","N/A","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2019","48","80.5","3","442","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2019","3","7.2","1","17","57","47.6","27","59","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2019","9","28","<1","858","15","31","<1","1820","18","52","1","692"
"Federal Mediation and Conciliation Service","Agency Overall","2019","3.5","11.5","1","53","63","41.5","2","581","15","15","15","15"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","21","93","3","488","N/A","N/A","N/A","N/A","30","30","30","30"
"Department of Commerce","Agency Overall","2019","20","71.67","<1","1305","63","170.08","<1","1790","15","69.95","<1","490"
"Inter-American Foundation","Agency Overall","2019","2","3.6","1","8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Presidio Trust","Agency Overall","2019","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2019","20","18.75","1","49","25.5","25","19","30","N/A","N/A","N/A","N/A"
