"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Federal Financial Institutions Examination Council","Agency Overall","2019","0","11","11","0"
"Surface Transportation Board","Agency Overall","2019","1","33","34","0"
"Commodity Futures Trading Commission","Agency Overall","2019","41","138","164","15"
"Social Security Advisory Board","Agency Overall","2019","0","3","3","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","6","30","32","4"
"Office of Management and Budget","Agency Overall","2019","520","374","293","601"
"Environmental Protection Agency","Agency Overall","2019","3751","8869","9525","3095"
"Federal Housing Finance Agency","Agency Overall","2019","24","149","139","34"
"Consumer Product Safety Commission","Agency Overall","2019","374","505","316","563"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","0","4","4","0"
"Office of National Drug Control Policy","Agency Overall","2019","23","68","70","21"
"Farm Credit System Insurance Corporation","Agency Overall","2019","0","4","4","0"
"National Endowment for the Arts","Agency Overall","2019","0","58","57","1"
"National Mediation Board","Agency Overall","2019","0","11","11","0"
"U.S. Agency for International Development","Agency Overall","2019","285","290","304","271"
"U.S. Election Assistance Commission","Agency Overall","2019","6","30","17","19"
"Occupational Safety and Health Review Commission","Agency Overall","2019","1","89","70","20"
"United States International Trade Commission","Agency Overall","2019","0","31","28","3"
"Social Security Administration","Agency Overall","2019","524","14987","15148","363"
"Department of Labor","Agency Overall","2019","1989","16090","16350","1729"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","2","64","65","1"
"Department of Defense","Agency Overall","2019","16686","56524","54545","18665"
"Department of Justice","Agency Overall","2019","26322","95119","88668","32773"
"Office of the Director of National Intelligence","Agency Overall","2019","549","503","464","588"
"Court Services and Offender Supervision Agency","Agency Overall","2019","13","258","271","0"
"Department of the Treasury","Agency Overall","2019","2180","11936","11921","2195"
"U.S. Commission on Civil Rights","Agency Overall","2019","0","49","49","0"
"United States Postal Service","Agency Overall","2019","194","2972","2960","206"
"Department of the Interior","Agency Overall","2019","3647","7973","6782","4838"
"American Battle Monuments Commission","Agency Overall","2019","0","16","15","1"
"National Aeronautics and Space Administration","Agency Overall","2019","64","812","800","76"
"Office of Special Counsel","Agency Overall","2019","130","149","183","96"
"Federal Maritime Commission","Agency Overall","2019","3","22","23","2"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","10","23","20","13"
"Department of Agriculture","Agency Overall","2019","6593","26458","26094","6957"
"Farm Credit Administration","Agency Overall","2019","2","21","21","2"
"U.S. Department of State","Agency Overall","2019","11324","8589","6545","13368"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","89","2348","2232","205"
"Council on Environmental Quality","Agency Overall","2019","53","119","130","42"
"Peace Corps","Agency Overall","2019","56","179","101","134"
"General Services Administration","Agency Overall","2019","382","1461","1355","488"
"Merit Systems Protection Board","Agency Overall","2019","50","117","115","52"
"Federal Communications Commission","Agency Overall","2019","62","700","703","59"
"Tennessee Valley Authority","Agency Overall","2019","26","187","197","16"
"Nuclear Regulatory Commission","Agency Overall","2019","232","369","510","91"
"Federal Energy Regulatory Commission","Agency Overall","2019","48","117","114","51"
"National Archives and Records Administration","Agency Overall","2019","4090","67466","68062","3494"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2019","0","9","9","0"
"Department of Education","Agency Overall","2019","1034","2448","2368","1114"
"Department of Energy","Agency Overall","2019","666","1855","1883","638"
"National Commission on Military, National, and Public Service","Agency Overall","2019","2","37","34","5"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","0","4","4","0"
"United States Access Board","Agency Overall","2019","0","34","26","8"
"United States Trade and Development Agency","Agency Overall","2019","28","19","19","28"
"Federal Open Market Committee","Agency Overall","2019","0","26","26","0"
"Department of Homeland Security","Agency Overall","2019","88233","400245","429798","58680"
"Federal Mediation and Conciliation Service","Agency Overall","2019","18","36","54","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","3","17","16","4"
"Department of Commerce","Agency Overall","2019","890","2391","2017","1264"
"Inter-American Foundation","Agency Overall","2019","1","11","10","2"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","0","0","0","0"
"Presidio Trust","Agency Overall","2019","0","5","5","0"
"National Endowment for the Humanities","Agency Overall","2019","1","54","54","1"
"Consumer Financial Protection Bureau","Agency Overall","2019","169","484","435","218"
"Advisory Council on Historic Preservation","Agency Overall","2019","2","13","5","10"
"Federal Reserve System","Agency Overall","2019","34","562","561","35"
"Securities and Exchange Commission","Agency Overall","2019","540","11546","11487","599"
"Appraisal Subcommittee","Agency Overall","2019","0","2","2","0"
"Office of the United States Trade Representative","Agency Overall","2019","14","136","138","12"
"United States International Boundary and Water Commission","Agency Overall","2019","10","61","54","17"
"Harry S. Truman Scholarship Foundation","Agency Overall","2019","0","3","3","0"
"Federal Trade Commission","Agency Overall","2019","40","1381","1361","60"
"National Science Foundation","Agency Overall","2019","258","327","267","318"
"Overseas Private Investment Corporation","Agency Overall","2019","12","64","65","11"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2019","0","9","9","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2019","52","71","41","82"
"United States African Development Foundation","Agency Overall","2019","0","7","7","0"
"Federal Labor Relations Authority","Agency Overall","2019","0","93","84","9"
"Equal Employment Opportunity Commission","Agency Overall","2019","3698","17794","19794","1698"
"Office of Personnel Management","Agency Overall","2019","259","10495","10493","261"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2019","2","13","15","0"
"Institute of Museum and Library Services","Agency Overall","2019","15","44","53","6"
"United States Institute of Peace","Agency Overall","2019","0","4","4","0"
"National Indian Gaming Commission","Agency Overall","2019","12","37","47","2"
"Federal Election Commission","Agency Overall","2019","73","116","127","62"
"Commission of Fine Arts","Agency Overall","2019","0","5","5","0"
"National Railroad Passenger Corporation","Agency Overall","2019","131","213","191","153"
"Office of Science and Technology Policy","Agency Overall","2019","63","86","63","86"
"Denali Commission","Agency Overall","2019","0","4","4","0"
"United States Copyright Office","Agency Overall","2019","6","46","42","10"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","3","19","8","14"
"National Transportation Safety Board","Agency Overall","2019","899","435","761","573"
"Selective Service System","Agency Overall","2019","0","62","62","0"
"Office of Government Ethics","Agency Overall","2019","61","96","125","32"
"Export-Import Bank of the U.S.","Agency Overall","2019","44","79","85","38"
"Armed Forces Retirement Home","Agency Overall","2019","0","7","7","0"
"Department of Housing and Urban Development","Agency Overall","2019","1052","2140","2018","1174"
"Administrative Conference of the United States","Agency Overall","2019","0","24","24","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2019","4","55","51","8"
"Federal Deposit Insurance Corporation","Agency Overall","2019","14","345","341","18"
"Central Intelligence Agency","Agency Overall","2019","2332","2563","2261","2634"
"Small Business Administration","Agency Overall","2019","114","895","923","86"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2019","33","33","34","32"
"National Labor Relations Board","Agency Overall","2019","164","1370","1420","114"
"National Credit Union Administration","Agency Overall","2019","19","148","148","19"
"Department of Health and Human Services","Agency Overall","2019","7712","35358","33817","9253"
"Department of Veterans Affairs","Agency Overall","2019","6067","21336","23749","3654"
"Department of Transportation","Agency Overall","2019","4363","16571","14621","6313"
"National Council on Disability","Agency Overall","2019","0","12","11","1"
"U.S. Railroad Retirement Board","Agency Overall","2019","9","102","109","2"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2019","0","25","25","0"
"Millennium Challenge Corporation","Agency Overall","2019","3","27","28","2"
"Legal Services Corporation","Agency Overall","2019","4","22","26","0"
"U.S. Agency for Global Media","Agency Overall","2019","25","63","74","14"
"Neighborhood Reinvestment Corporation","Agency Overall","2019","3","2","1","4"
"Marine Mammal Commission","Agency Overall","2019","1","8","7","2"
"National Capital Planning Commission","Agency Overall","2019","0","8","8","0"
"Postal Regulatory Commission","Agency Overall","2019","0","15","15","0"
"All agencies","Agency Overall","2019","199544","858952","877964","180532"
