"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Federal Financial Institutions Examination Council","Agency Overall","2019","0","6","0","0","6","6","0","0","0","0","0","0","6","0"
"Surface Transportation Board","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2019","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2019","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2019","0","0","2","4","12","15","3","0","2","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2019","0","0","0","0","0","3","0","0","3","0","3","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2019","0","0","3","3","3","3","0","0","0","0","1","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2019","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2019","0","0","0","4","2","5","1","0","1","0","0","0","0","0"
"U.S. Election Assistance Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2019","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2019","0","1","4","1","6","16","0","0","3","0","4","0","0","0"
"Department of Labor","Agency Overall","2019","0","0","1","0","4","4","20","0","21","9","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2019","69","6","78","32","66","149","14","1","66","3","30","8","0","0"
"Department of Justice","Agency Overall","2019","74","0","168","4","85","572","216","3","550","103","484","99","0","0"
"Office of the Director of National Intelligence","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2019","0","2","55","2","22","22","19","0","14","0","18","1","3","0"
"U.S. Commission on Civil Rights","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2019","0","0","22","1","9","30","2","0","12","3","5","2","0","0"
"Department of the Interior","Agency Overall","2019","0","0","1","5","1","7","2","0","8","1","1","0","0","0"
"American Battle Monuments Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2019","0","1","1","0","1","2","0","0","2","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2019","0","0","0","0","6","6","0","0","5","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","1","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2019","0","0","8","13","86","133","2","0","107","3","64","0","0","0"
"Farm Credit Administration","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2019","8","0","202","0","2","20","0","0","8","1","30","1","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","0","0","0","0","1","2","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2019","0","0","0","0","3","3","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2019","0","0","0","0","0","1","2","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2019","0","0","2","2","8","8","0","0","2","0","0","1","0","0"
"Merit Systems Protection Board","Agency Overall","2019","0","0","0","0","1","6","0","0","0","0","2","0","0","0"
"Federal Communications Commission","Agency Overall","2019","0","0","0","1","4","8","1","0","1","0","5","0","0","0"
"Tennessee Valley Authority","Agency Overall","2019","0","0","0","3","2","1","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2019","2","0","0","2","3","4","2","0","2","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2019","0","0","2","2","4","5","0","0","0","0","0","2","0","1"
"National Archives and Records Administration","Agency Overall","2019","14","0","17","1","1","11","0","0","10","24","1","2","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2019","0","0","2","4","17","24","3","0","9","0","0","1","0","0"
"Department of Energy","Agency Overall","2019","0","0","3","3","7","2","0","0","1","0","0","0","0","0"
"National Commission on Military, National, and Public Service","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2019","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2019","1","6","230","7","274","786","16","1","856","3","841","1","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2019","1","0","4","6","7","6","2","0","2","0","1","0","0","0"
"Inter-American Foundation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Presidio Trust","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
