"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"Federal Financial Institutions Examination Council","Agency Overall","2019","0","2","12.5","12.5","0"
"Surface Transportation Board","Agency Overall","2019","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2019","3","6","10","18.44","6"
"Social Security Advisory Board","Agency Overall","2019","0","0","0.0000","0.0000","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2019","0","0","N/A","N/A","0"
"Environmental Protection Agency","Agency Overall","2019","2","448","8","12.91","276"
"Federal Housing Finance Agency","Agency Overall","2019","0","6","1","0.08","6"
"Consumer Product Safety Commission","Agency Overall","2019","1","39","7","16.52","32"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","0","0","N/A","N/A","0"
"Office of National Drug Control Policy","Agency Overall","2019","0","3","8","9","2"
"Farm Credit System Insurance Corporation","Agency Overall","2019","0","0","N/A","N/A","0"
"National Endowment for the Arts","Agency Overall","2019","0","6","5","5","6"
"National Mediation Board","Agency Overall","2019","1","0","1","1","1"
"U.S. Agency for International Development","Agency Overall","2019","4","28","1","1.66","32"
"U.S. Election Assistance Commission","Agency Overall","2019","0","0","N/A","N/A","0"
"Occupational Safety and Health Review Commission","Agency Overall","2019","0","1","2","2","1"
"United States International Trade Commission","Agency Overall","2019","0","2","8","5.3","2"
"Social Security Administration","Agency Overall","2019","0","81","3","7","70"
"Department of Labor","Agency Overall","2019","41","347","16","53.5","165"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","1","0","1","1","1"
"Department of Defense","Agency Overall","2019","669","1755","3","28.96","1590"
"Department of Justice","Agency Overall","2019","380","3269","6","9.07","2876"
"Office of the Director of National Intelligence","Agency Overall","2019","3","17","1","12.76","15"
"Court Services and Offender Supervision Agency","Agency Overall","2019","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2019","39","368","<1","<1","395"
"U.S. Commission on Civil Rights","Agency Overall","2019","0","0","0","0","0"
"United States Postal Service","Agency Overall","2019","5","44","3","4.16","44"
"Department of the Interior","Agency Overall","2019","34","107","1","5","125"
"American Battle Monuments Commission","Agency Overall","2019","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2019","0","21","6","4.19","19"
"Office of Special Counsel","Agency Overall","2019","5","9","2.5","19.79","10"
"Federal Maritime Commission","Agency Overall","2019","0","0","N/A","N/A","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","2","0","1","2","2"
"Department of Agriculture","Agency Overall","2019","15","77","5","105.68","58"
"Farm Credit Administration","Agency Overall","2019","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2019","48","562","6","12.13","420"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","0","45","7","6.93","37"
"Council on Environmental Quality","Agency Overall","2019","1","3","13","12","2"
"Peace Corps","Agency Overall","2019","1","6","1","1","7"
"General Services Administration","Agency Overall","2019","60","75","1","2.46","132"
"Merit Systems Protection Board","Agency Overall","2019","0","9","1","5","8"
"Federal Communications Commission","Agency Overall","2019","58","35","6","8.7","66"
"Tennessee Valley Authority","Agency Overall","2019","1","0","1","1","1"
"Nuclear Regulatory Commission","Agency Overall","2019","3","41","1","1.39","44"
"Federal Energy Regulatory Commission","Agency Overall","2019","0","14","8","8","14"
"National Archives and Records Administration","Agency Overall","2019","15","148","5","4.93","151"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2019","0","0","N/A","N/A","0"
"Department of Education","Agency Overall","2019","7","97","3","13.24","77"
"Department of Energy","Agency Overall","2019","5","39","6.5","25.5","31"
"National Commission on Military, National, and Public Service","Agency Overall","2019","2","1","4","3.33","3"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","0","0","0","N/A","0"
"United States Access Board","Agency Overall","2019","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2019","2","0","1","1","2"
"Federal Open Market Committee","Agency Overall","2019","0","0","N/A","N/A","0"
"Department of Homeland Security","Agency Overall","2019","635","3075","18","41","1468"
"Federal Mediation and Conciliation Service","Agency Overall","2019","0","2","41.5","41.5","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","1","0","3","3","0"
