"Agency","Component","Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of Start of the Fiscal Year","Number of Consultations Received from Other Agencies During the Fiscal Year","Number of Consultations Received from Other Agencies that were Processed by the Agency During the Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of End of the Fiscal Year"
"Federal Financial Institutions Examination Council","Agency Overall","2019","0","0","0","0"
"Surface Transportation Board","Agency Overall","2019","0","1","1","0"
"Commodity Futures Trading Commission","Agency Overall","2019","1","5","6","0"
"Social Security Advisory Board","Agency Overall","2019","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","0","0","0","0"
"Office of Management and Budget","Agency Overall","2019","5","115","93","27"
"Environmental Protection Agency","Agency Overall","2019","7","58","45","20"
"Federal Housing Finance Agency","Agency Overall","2019","0","1","1","0"
"Consumer Product Safety Commission","Agency Overall","2019","0","2","2","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2019","0","4","4","0"
"Farm Credit System Insurance Corporation","Agency Overall","2019","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2019","0","0","0","0"
"National Mediation Board","Agency Overall","2019","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2019","7","16","22","1"
"U.S. Election Assistance Commission","Agency Overall","2019","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2019","0","0","0","0"
"United States International Trade Commission","Agency Overall","2019","0","0","0","0"
"Social Security Administration","Agency Overall","2019","0","3","3","0"
"Department of Labor","Agency Overall","2019","4","78","72","10"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","0","2","2","0"
"Department of Defense","Agency Overall","2019","1221","1646","1505","1362"
"Department of Justice","Agency Overall","2019","278","1006","938","346"
"Office of the Director of National Intelligence","Agency Overall","2019","34","82","95","21"
"Court Services and Offender Supervision Agency","Agency Overall","2019","0","0","0","0"
"Department of the Treasury","Agency Overall","2019","26","154","153","27"
"U.S. Commission on Civil Rights","Agency Overall","2019","0","0","0","0"
"United States Postal Service","Agency Overall","2019","0","30","26","4"
"Department of the Interior","Agency Overall","2019","3","178","158","23"
"American Battle Monuments Commission","Agency Overall","2019","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2019","0","19","16","3"
"Office of Special Counsel","Agency Overall","2019","0","6","5","1"
"Federal Maritime Commission","Agency Overall","2019","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","0","0","0","0"
"Department of Agriculture","Agency Overall","2019","54","218","230","42"
"Farm Credit Administration","Agency Overall","2019","0","0","0","0"
"U.S. Department of State","Agency Overall","2019","369","239","384","224"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","0","1","1","0"
"Council on Environmental Quality","Agency Overall","2019","0","13","10","3"
"Peace Corps","Agency Overall","2019","1","1","1","1"
"General Services Administration","Agency Overall","2019","0","14","14","0"
