"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Federal Financial Institutions Examination Council","Agency Overall","2019","0","5","1","4","1","0","0","0","0","0","0","0","11"
"Surface Transportation Board","Agency Overall","2019","18","3","1","9","0","2","1","0","0","0","0","0","34"
"Commodity Futures Trading Commission","Agency Overall","2019","35","39","20","30","0","13","9","5","3","2","1","7","164"
"Social Security Advisory Board","Agency Overall","2019","1","0","0","2","0","0","0","0","0","0","0","0","3"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","13","6","4","5","0","2","0","1","0","0","1","0","32"
"Office of Management and Budget","Agency Overall","2019","34","34","14","193","0","1","0","15","0","2","0","0","293"
"Environmental Protection Agency","Agency Overall","2019","4665","1343","70","1738","8","1061","46","160","28","16","372","18","9525"
"Federal Housing Finance Agency","Agency Overall","2019","7","44","11","47","2","5","2","1","17","1","2","0","139"
"Consumer Product Safety Commission","Agency Overall","2019","46","121","28","35","27","21","0","0","8","1","6","23","316"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","4","0","0","0","0","0","0","0","0","0","0","0","4"
"Office of National Drug Control Policy","Agency Overall","2019","7","40","0","20","0","3","0","0","0","0","0","0","70"
"Farm Credit System Insurance Corporation","Agency Overall","2019","2","0","0","2","0","0","0","0","0","0","0","0","4"
"National Endowment for the Arts","Agency Overall","2019","16","30","0","11","0","0","0","0","0","0","0","0","57"
"National Mediation Board","Agency Overall","2019","11","0","0","0","0","0","0","0","0","0","0","0","11"
"U.S. Agency for International Development","Agency Overall","2019","40","149","11","44","2","44","0","3","5","2","0","4","304"
"U.S. Election Assistance Commission","Agency Overall","2019","11","4","0","1","0","1","0","0","0","0","0","0","17"
"Occupational Safety and Health Review Commission","Agency Overall","2019","26","12","0","12","0","20","0","0","0","0","0","0","70"
"United States International Trade Commission","Agency Overall","2019","8","10","2","8","0","0","0","0","0","0","0","0","28"
"Social Security Administration","Agency Overall","2019","10004","2894","760","317","685","26","187","133","18","32","92","0","15148"
"Department of Labor","Agency Overall","2019","1612","6416","1629","3954","357","666","206","84","158","419","849","0","16350"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","43","1","0","11","0","4","0","1","2","2","1","0","65"
"Department of Defense","Agency Overall","2019","14907","18055","2846","6980","2314","2872","359","705","1091","1376","1945","1095","54545"
"Department of Justice","Agency Overall","2019","37770","10427","3211","17239","284","1075","845","662","11880","592","2408","2275","88668"
"Office of the Director of National Intelligence","Agency Overall","2019","40","236","20","123","0","13","0","2","0","0","6","24","464"
"Court Services and Offender Supervision Agency","Agency Overall","2019","13","235","6","13","0","2","0","0","2","0","0","0","271"
"Department of the Treasury","Agency Overall","2019","3474","2797","276","945","186","766","100","184","2304","203","671","15","11921"
"U.S. Commission on Civil Rights","Agency Overall","2019","13","0","1","31","0","0","0","4","0","0","0","0","49"
"United States Postal Service","Agency Overall","2019","477","566","553","360","354","87","60","99","198","164","41","1","2960"
"Department of the Interior","Agency Overall","2019","2082","1875","197","1269","51","360","134","138","91","37","143","405","6782"
"American Battle Monuments Commission","Agency Overall","2019","5","3","0","7","0","0","0","0","0","0","0","0","15"
"National Aeronautics and Space Administration","Agency Overall","2019","124","190","38","121","29","29","41","92","34","16","26","60","800"
"Office of Special Counsel","Agency Overall","2019","14","107","11","4","2","20","0","4","8","12","1","0","183"
"Federal Maritime Commission","Agency Overall","2019","8","4","5","6","0","0","0","0","0","0","0","0","23"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","1","2","3","11","0","0","0","0","0","0","0","3","20"
"Department of Agriculture","Agency Overall","2019","20903","2863","364","765","285","305","57","18","26","63","138","307","26094"
"Farm Credit Administration","Agency Overall","2019","7","5","0","6","0","3","0","0","0","0","0","0","21"
"U.S. Department of State","Agency Overall","2019","138","2459","962","938","23","136","3","212","1240","393","41","0","6545"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","1334","414","142","118","0","28","6","5","23","2","160","0","2232"
"Council on Environmental Quality","Agency Overall","2019","17","33","0","54","1","5","1","1","11","1","0","6","130"
"Peace Corps","Agency Overall","2019","42","30","0","13","4","5","2","1","2","0","2","0","101"
"General Services Administration","Agency Overall","2019","256","576","38","150","16","94","73","65","5","33","49","0","1355"
"Merit Systems Protection Board","Agency Overall","2019","33","40","2","26","0","3","0","5","3","0","2","1","115"
"Federal Communications Commission","Agency Overall","2019","81","299","18","91","2","87","66","13","2","24","17","3","703"
"Tennessee Valley Authority","Agency Overall","2019","67","88","14","11","0","8","6","0","0","3","0","0","197"
"Nuclear Regulatory Commission","Agency Overall","2019","106","111","24","78","3","48","56","51","19","6","8","0","510"
"Federal Energy Regulatory Commission","Agency Overall","2019","13","59","20","17","0","5","0","0","0","0","0","0","114"
