"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Federal Financial Institutions Examination Council","Agency Overall","2019","8","10.1","1","35","21.5","21.5","13","30","N/A","N/A","N/A","N/A"
"Surface Transportation Board","Agency Overall","2019","5.5","8.03","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2019","36","78.03","<1","377","64.5","138.44","<1","481","37","37","6","68"
"Social Security Advisory Board","Agency Overall","2019","10","10","<1","20","0.0000","0.0000","0","0","0.0000","0.0000","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","22","32","1","89","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Management and Budget","Agency Overall","2019","35","67.74","1","608","457","428.99","1","939","n/a","n/a","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2019","16","48.77","<1","903","44","117.95","<1","1615","493","541.77","5","1233"
"Federal Housing Finance Agency","Agency Overall","2019","7.5","9.57","<1","74","36","64.88","1","354","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2019","36","89.68","1","437","169","198.49","1","654","44.5","47.75","6","96"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","22.5","22.5","15","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2019","14","12","1","20","81","154","24","449","352","352","352","352"
"Farm Credit System Insurance Corporation","Agency Overall","2019","1.5","1.75","1","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Endowment for the Arts","Agency Overall","2019","30","22","3","58","23","32","20","77","4","5","3","7"
"National Mediation Board","Agency Overall","2019","2.5","1.9","<1","4","N/A","N/A","N/A","N/A","20","20","20","20"
"U.S. Agency for International Development","Agency Overall","2019","6.5","6.25","<1","12","146","292","<1","1339","1270","1270","1270","1270"
"U.S. Election Assistance Commission","Agency Overall","2019","80","68.3","3","131","67.5","65.75","28","113","N/A","N/A","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2019","4","6.24","1","21","40","66.33","39","120","N/A","N/A","N/A","N/A"
"United States International Trade Commission","Agency Overall","2019","19","16.3","7","20","30","40.1","25","84","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2019","4","6","<1","361","54","91","<1","563","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2019","9","29.6","1","4554","13","55.3","1","4554","8","44.5","1","561"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","1","1.5","<1","9","6","5.2","1","8","1","1","1","1"
"Department of Defense","Agency Overall","2019","6","26.48","1","1777","64","204.73","1","4426","7.5","57.55","1","975"
"Department of Justice","Agency Overall","2019","33","49.94","<1","1768","100","215.15","<1","1851","233","258.59","2","1511"
"Office of the Director of National Intelligence","Agency Overall","2019","3.00","11.91","1","284","46.00","185.59","1","1648","2.00","2.00","1","3"
"Court Services and Offender Supervision Agency","Agency Overall","2019","3","4.13","<1","19","8","9.25","<1","78","N/A","N/A","N/A","N/A"
"Department of the Treasury","Agency Overall","2019","3","11.1","<1","412","23","56.2","<1","1911","31","110.2","5","555"
"U.S. Commission on Civil Rights","Agency Overall","2019","14","17.4","1","171","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Postal Service","Agency Overall","2019","5","9.02","1","449","30","60.57","1","859","3.5","38.17","1","213"
"Department of the Interior","Agency Overall","2019","4","15","<1","240","25","74","<1","1281","27","63","<1","334"
"American Battle Monuments Commission","Agency Overall","2019","4","7","1","16","9","7.6","1","14","N/A","N/A","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2019","7","13.19","<1","146","25","38.31","<1","240","N/A","N/A","N/A","N/A"
"Office of Special Counsel","Agency Overall","2019","46","69.62","<1","206","272","405.38","<1","1292","141","135.56","<1","306"
"Federal Maritime Commission","Agency Overall","2019","5","4.33","2","6","21","27.4","5","62","N/A","N/A","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","8.5","10.5","3","19","17","17.6","12","20","10","10","10","10"
"Department of Agriculture","Agency Overall","2019","1","22","<1","2077","45","154.27","<1","1789","15","114.64","<1","556"
"Farm Credit Administration","Agency Overall","2019","5","8.7","<1","36","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Department of State","Agency Overall","2019","30.50","74.51","1","2073","73.75","171.04","5","3136.06","454.91","479.41","427","591"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","9","10.87","<1","115","26","35.97","<1","249","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2019","7","36.47","1","376","123","215.06","1","874","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2019","28","71.33","<1","601","217.5","268.3","21","757","1","1","1","1"
"General Services Administration","Agency Overall","2019","11","11.41","<1","267","60","102.44","2","548","38","102.06","<1","468"
"Merit Systems Protection Board","Agency Overall","2019","3","8.49","<1","138","169.5","318.23","1","805","N/A","N/A","N/A","N/A"
"Federal Communications Commission","Agency Overall","2019","10","12.5","<1","94","47","66.3","17","490","23.5","47.82","1","302"
"Tennessee Valley Authority","Agency Overall","2019","8","9.75","1","20","34","76","20","457","4","4","4","4"
"Nuclear Regulatory Commission","Agency Overall","2019","16","38.05","<1","539","82","149.54","<1","601","161","124.8","<1","252"
"Federal Energy Regulatory Commission","Agency Overall","2019","27","47","1","679","30","102","8","1349","N/A","N/A","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2019","398","574.03","1","1608","795","1332.70","1","6474","N/A","N/A","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2019","3","8.8","1","31","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Education","Agency Overall","2019","9","11.64","<1","580","112","190.46","<1","2137","24.57","45.67","<1","118"
"Department of Energy","Agency Overall","2019","32","81.08","<1","1045","48","140.71","<1","1994","13","12.2","1","30"
"National Commission on Military, National, and Public Service","Agency Overall","2019","3","13.34","<1","70","N/A","N/A","N/A","N/A","4","4","2","6"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","7","7","5","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Access Board","Agency Overall","2019","0","0","N/A","N/A","19","24","1","120","N/A","N/A","N/A","N/A"
"United States Trade and Development Agency","Agency Overall","2019","72","76","3","442","N/A","N/A","N/A","N/A","10","203","8","591"
"Federal Open Market Committee","Agency Overall","2019","1","4.5","<1","17","47","45","27","59","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2019","17","33","<1","858","43","66","<1","1820","20","61","1","676"
"Federal Mediation and Conciliation Service","Agency Overall","2019","7.5","114","1","255","83","125","2","581","50.5","50.5","15","86"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","22","78","3","488","N/A","N/A","N/A","N/A","30","30","30","30"
"Department of Commerce","Agency Overall","2019","15","52.12","<1","1305","50","158.54","<1","1790","22.03","108.92","<1","522"
"Inter-American Foundation","Agency Overall","2019","2.5","8.4","1","49","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
