"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Federal Financial Institutions Examination Council","Agency Overall","2019","0","0","0","6"
"Surface Transportation Board","Agency Overall","2019","2","1","2","1"
"Commodity Futures Trading Commission","Agency Overall","2019","1","2","1","2"
"Social Security Advisory Board","Agency Overall","2019","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","1","1","1","1"
"Office of Management and Budget","Agency Overall","2019","4","6","0","12"
"Environmental Protection Agency","Agency Overall","2019","183","124","187","187"
"Federal Housing Finance Agency","Agency Overall","2019","4","5","5","5"
"Consumer Product Safety Commission","Agency Overall","2019","10","9","12","9"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2019","0","3","0","3"
"Farm Credit System Insurance Corporation","Agency Overall","2019","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2019","0","0","0","0"
"National Mediation Board","Agency Overall","2019","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2019","21","13","16","17"
"U.S. Election Assistance Commission","Agency Overall","2019","0","1","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2019","1","1","1","1"
"United States International Trade Commission","Agency Overall","2019","2","0","2","0"
"Social Security Administration","Agency Overall","2019","507","539","477","569"
"Department of Labor","Agency Overall","2019","239","253","271","318"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","0","0","0","0"
"Department of Defense","Agency Overall","2019","1146","1005","1147","950"
"Department of Justice","Agency Overall","2019","4018","3496","4022","3209"
"Office of the Director of National Intelligence","Agency Overall","2019","11","17","11","31"
"Court Services and Offender Supervision Agency","Agency Overall","2019","0","2","0","1"
"Department of the Treasury","Agency Overall","2019","171","148","167","137"
"U.S. Commission on Civil Rights","Agency Overall","2019","0","0","0","0"
"United States Postal Service","Agency Overall","2019","161","117","170","119"
"Department of the Interior","Agency Overall","2019","204","168","241","116"
"American Battle Monuments Commission","Agency Overall","2019","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2019","9","27","15","16"
"Office of Special Counsel","Agency Overall","2019","12","8","13","8"
"Federal Maritime Commission","Agency Overall","2019","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","0","3","0","3"
"Department of Agriculture","Agency Overall","2019","518","499","250","334"
"Farm Credit Administration","Agency Overall","2019","0","0","0","0"
"U.S. Department of State","Agency Overall","2019","200","235","228","380"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","14","9","14","9"
"Council on Environmental Quality","Agency Overall","2019","2","5","3","4"
"Peace Corps","Agency Overall","2019","7","6","7","6"
"General Services Administration","Agency Overall","2019","50","22","41","24"
"Merit Systems Protection Board","Agency Overall","2019","13","8","8","10"
"Federal Communications Commission","Agency Overall","2019","36","9","35","15"
"Tennessee Valley Authority","Agency Overall","2019","7","7","8","7"
"Nuclear Regulatory Commission","Agency Overall","2019","156","56","120","93"
"Federal Energy Regulatory Commission","Agency Overall","2019","8","10","6","9"
"National Archives and Records Administration","Agency Overall","2019","76","68","84","127"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2019","0","0","0","0"
"Department of Education","Agency Overall","2019","71","80","53","62"
"Department of Energy","Agency Overall","2019","53","47","56","44"
"National Commission on Military, National, and Public Service","Agency Overall","2019","2","1","1","2"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","0","0","0","0"
"United States Access Board","Agency Overall","2019","0","3","0","3"
"United States Trade and Development Agency","Agency Overall","2019","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2019","1","0","1","0"
"Department of Homeland Security","Agency Overall","2019","5386","6240","5327","6241"
"Federal Mediation and Conciliation Service","Agency Overall","2019","2","0","2","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","1","0","1","0"
"Department of Commerce","Agency Overall","2019","115","65","66","68"
"Inter-American Foundation","Agency Overall","2019","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","0","0","0","0"
"Presidio Trust","Agency Overall","2019","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2019","2","0","2","0"
"Consumer Financial Protection Bureau","Agency Overall","2019","53","31","53","31"
"Advisory Council on Historic Preservation","Agency Overall","2019","0","1","0","1"
"Federal Reserve System","Agency Overall","2019","6","14","7","9"
"Securities and Exchange Commission","Agency Overall","2019","621","596","637","587"
"Appraisal Subcommittee","Agency Overall","2019","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2019","6","8","4","10"
"United States International Boundary and Water Commission","Agency Overall","2019","1","0","1","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2019","0","0","0","0"
"Federal Trade Commission","Agency Overall","2019","24","40","24","43"
"National Science Foundation","Agency Overall","2019","4","3","4","3"
"Overseas Private Investment Corporation","Agency Overall","2019","0","3","0","3"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2019","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2019","0","3","0","0"
"United States African Development Foundation","Agency Overall","2019","0","1","0","1"
"Federal Labor Relations Authority","Agency Overall","2019","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2019","318","286","326","268"
"Office of Personnel Management","Agency Overall","2019","47","61","62","97"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2019","0","2","0","2"
"Institute of Museum and Library Services","Agency Overall","2019","0","0","0","0"
"United States Institute of Peace","Agency Overall","2019","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2019","0","1","0","1"
"Federal Election Commission","Agency Overall","2019","7","1","3","9"
"Commission of Fine Arts","Agency Overall","2019","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2019","2","7","5","1"
"Office of Science and Technology Policy","Agency Overall","2019","8","2","8","2"
"Denali Commission","Agency Overall","2019","0","0","0","0"
"United States Copyright Office","Agency Overall","2019","1","1","1","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2019","14","29","20","30"
