"Agency","Component","Fiscal Year","No Records","Records Referred at Initial Request Level","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper Request for Other Reason","Not Agency Record","Duplicate Request or Appeal","Request in Litigation","Appeal Based Solely on Denial of Request for Expedited Processing","Other*"
"Federal Financial Institutions Examination Council","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","1"
"Commodity Futures Trading Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","1"
"Social Security Advisory Board","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2019","8","0","0","0","0","0","0","0","4","0","0"
"Environmental Protection Agency","Agency Overall","2019","7","1","15","7","0","2","0","10","11","2","48"
"Federal Housing Finance Agency","Agency Overall","2019","1","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2019","2","0","0","0","0","0","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2019","1","0","0","0","0","0","0","0","0","2","2"
"U.S. Election Assistance Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2019","181","15","5","19","1","3","1","10","0","0","0"
"Department of Labor","Agency Overall","2019","20","0","86","2","1","23","0","28","15","0","38"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2019","80","13","67","5","11","54","8","28","4","7","88"
"Department of Justice","Agency Overall","2019","693","21","13","22","107","150","13","155","42","66","956"
"Office of the Director of National Intelligence","Agency Overall","2019","0","0","4","0","0","0","0","0","10","0","17"
"Court Services and Offender Supervision Agency","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2019","20","0","0","0","0","18","0","1","1","1","0"
"U.S. Commission on Civil Rights","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2019","5","0","2","1","0","7","1","4","0","0","3"
"Department of the Interior","Agency Overall","2019","2","0","1","0","0","0","0","0","18","0","32"
"American Battle Monuments Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2019","5","0","0","4","0","1","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","1","0","0","0","0","0","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2019","5","1","61","0","2","3","0","4","9","1","76"
"Farm Credit Administration","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2019","33","0","15","0","0","1","5","0","1","0","8"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","2","0","0","0","0","0","0","0","0","0","4"
"Council on Environmental Quality","Agency Overall","2019","0","0","0","0","0","0","0","1","0","0","0"
"Peace Corps","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2019","4","6","3","0","0","0","0","3","0","0","0"
"Merit Systems Protection Board","Agency Overall","2019","2","1","0","0","0","0","0","0","0","0","1"
"Federal Communications Commission","Agency Overall","2019","0","0","7","0","0","2","0","1","0","1","0"
"Tennessee Valley Authority","Agency Overall","2019","2","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2019","8","0","1","14","4","14","2","7","0","2","4"
"Federal Energy Regulatory Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2019","27","0","3","4","1","9","1","1","2","3","2"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2019","0","0","8","0","0","0","0","0","2","0","8"
