"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Federal Mine Safety and Health Review Commission","Agency Overall","2012","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2012","2","0","2","0"
"Consumer Product Safety Commission","Agency Overall","2012","21","19","21","19"
"Export-Import Bank of the U.S.","Agency Overall","2012","1","1","0","0"
"Department of Energy","Agency Overall","2012","74","74","70","73"
"United States International Trade Commission","Agency Overall","2012","1","0","1","0"
"Office of Management and Budget","Agency Overall","2012","10","17","10","17"
"U.S. Commission on Civil Rights","Agency Overall","2012","0","0","0","0"
"National Science Foundation","Agency Overall","2012","20","12","21","12"
"Overseas Private Investment Corporation","Agency Overall","2012","2","4","2","4"
"Federal Reserve System","Agency Overall","2012","16","25","17","18"
"Peace Corps","Agency Overall","2012","13","9","11","11"
"Federal Mediation and Conciliation Service","Agency Overall","2012","0","1","0","1"
"Millennium Challenge Corporation","Agency Overall","2012","1","1","1","1"
"Federal Labor Relations Authority","Agency Overall","2012","6","2","8","2"
"U.S. Railroad Retirement Board","Agency Overall","2012","4","2","4","2"
"Occupational Safety and Health Review Commission","Agency Overall","2012","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2012","13","18","3","5"
"National Aeronautics and Space Administration","Agency Overall","2012","21","26","23","24"
"Federal Open Market Committee","Agency Overall","2012","1","1","1","1"
"U.S. Department of State","Agency Overall","2012","341","212","380","130"
"Surface Transportation Board","Agency Overall","2012","0","0","0","0"
"National Credit Union Administration","Agency Overall","2012","9","7","10","8"
"Office of National Drug Control Policy","Agency Overall","2012","1","0","1","0"
"Equal Employment Opportunity Commission","Agency Overall","2012","598","370","602","380"
"National Transportation Safety Board","Agency Overall","2012","9","7","10","7"
"Office of Science and Technology Policy","Agency Overall","2012","6","8","6","8"
"Federal Financial Institutions Examination Council","Agency Overall","2012","0","1","0","1"
"Federal Election Commission","Agency Overall","2012","1","4","3","4"
"Federal Energy Regulatory Commission","Agency Overall","2012","15","5","14","5"
"Council on Environmental Quality","Agency Overall","2012","0","1","0","1"
"National Capital Planning Commission","Agency Overall","2012","1","2","1","2"
"Institute of Museum and Library Services","Agency Overall","2012","0","0","0","0"
"Department of Transportation","Agency Overall","2012","153","147","172","173"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012","0","1","0","1"
"Office of the United States Trade Representative","Agency Overall","2012","5","1","5","1"
"Farm Credit Administration","Agency Overall","2012","0","0","0","0"
"Legal Services Corporation","Agency Overall","2012","2","2","2","2"
"Nuclear Regulatory Commission","Agency Overall","2012","13","10","14","10"
"Department of Justice","Agency Overall","2012","3258","3569","3362","3412"
