"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"Federal Mine Safety and Health Review Commission","Agency Overall","2012","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2012","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2012","14","5","0","0","19"
"Export-Import Bank of the U.S.","Agency Overall","2012","0","0","0","0","0"
"Department of Energy","Agency Overall","2012","34","7","12","20","73"
"United States International Trade Commission","Agency Overall","2012","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2012","7","6","1","3","17"
"U.S. Commission on Civil Rights","Agency Overall","2012","0","0","0","0","0"
"National Science Foundation","Agency Overall","2012","6","5","1","0","12"
"Overseas Private Investment Corporation","Agency Overall","2012","4","0","0","0","4"
"Federal Reserve System","Agency Overall","2012","3","12","0","3","18"
"Peace Corps","Agency Overall","2012","7","1","1","2","11"
"Federal Mediation and Conciliation Service","Agency Overall","2012","1","0","0","0","1"
"Millennium Challenge Corporation","Agency Overall","2012","1","0","0","0","1"
"Federal Labor Relations Authority","Agency Overall","2012","0","2","0","0","2"
"U.S. Railroad Retirement Board","Agency Overall","2012","2","0","0","0","2"
"Occupational Safety and Health Review Commission","Agency Overall","2012","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2012","3","0","0","2","5"
"National Aeronautics and Space Administration","Agency Overall","2012","13","8","2","1","24"
"Federal Open Market Committee","Agency Overall","2012","1","0","0","0","1"
"U.S. Department of State","Agency Overall","2012","61","52","15","2","130"
"Surface Transportation Board","Agency Overall","2012","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2012","5","2","1","0","8"
"Office of National Drug Control Policy","Agency Overall","2012","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2012","215","112","53","0","380"
"National Transportation Safety Board","Agency Overall","2012","3","0","4","0","7"
"Office of Science and Technology Policy","Agency Overall","2012","5","3","0","0","8"
"Federal Financial Institutions Examination Council","Agency Overall","2012","1","0","0","0","1"
"Federal Election Commission","Agency Overall","2012","3","0","0","1","4"
"Federal Energy Regulatory Commission","Agency Overall","2012","4","0","0","1","5"
"Council on Environmental Quality","Agency Overall","2012","0","1","0","0","1"
"National Capital Planning Commission","Agency Overall","2012","2","0","0","0","2"
"Institute of Museum and Library Services","Agency Overall","2012","0","0","0","0","0"
"Department of Transportation","Agency Overall","2012","40","33","53","47","173"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012","0","1","0","0","1"
"Office of the United States Trade Representative","Agency Overall","2012","0","1","0","0","1"
"Farm Credit Administration","Agency Overall","2012","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2012","1","1","0","0","2"
"Nuclear Regulatory Commission","Agency Overall","2012","4","1","4","1","10"
"Department of Justice","Agency Overall","2012","1976","180","387","869","3412"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2012","4","0","0","0","4"
"Social Security Administration","Agency Overall","2012","394","72","378","0","844"
"Department of Agriculture","Agency Overall","2012","45","45","26","64","180"
"Federal Maritime Commission","Agency Overall","2012","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2012","1","0","3","0","4"
"United States African Development Foundation","Agency Overall","2012","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2012","64","42","20","227","353"
"Postal Regulatory Commission","Agency Overall","2012","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2012","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2012","1","1","1","0","3"
"United States Copyright Office","Agency Overall","2012","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2012","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2012","239","43","16","13","311"
"Department of Homeland Security","Agency Overall","2012","911","810","390","379","2490"
"Central Intelligence Agency","Agency Overall","2012","163","19","6","114","302"
"Federal Deposit Insurance Corporation","Agency Overall","2012","28","6","1","5","40"
"Merit Systems Protection Board","Agency Overall","2012","12","4","5","1","22"
"Office of Special Counsel","Agency Overall","2012","3","2","1","0","6"
"National Archives and Records Administration","Agency Overall","2012","45","6","9","0","60"
"Department of Defense","Agency Overall","2012","419","148","68","445","1080"
"Office of the Director of National Intelligence","Agency Overall","2012","5","1","0","6","12"
"Department of Housing and Urban Development","Agency Overall","2012","25","9","14","5","53"
"Environmental Protection Agency","Agency Overall","2012","97","45","36","68","246"
"Tennessee Valley Authority","Agency Overall","2012","6","0","0","0","6"
"National Railroad Passenger Corporation","Agency Overall","2012","1","0","0","2","3"
"Inter-American Foundation","Agency Overall","2012","0","0","0","0","0"
"Department of Commerce","Agency Overall","2012","15","33","28","20","96"
"National Labor Relations Board","Agency Overall","2012","41","10","1","2","54"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2012","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2012","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2012","0","1","0","0","1"
"Court Services and Offender Supervision Agency","Agency Overall","2012","2","0","0","0","2"
"Department of the Interior","Agency Overall","2012","23","13","105","84","225"
"Armed Forces Retirement Home","Agency Overall","2012","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2012","69","6","28","18","121"
"National Indian Gaming Commission","Agency Overall","2012","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2012","7","3","0","1","11"
"Administrative Conference of the United States","Agency Overall","2012","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2012","0","0","0","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2012","0","1","0","0","1"
"National Endowment for the Humanities","Agency Overall","2012","2","0","0","0","2"
"National Mediation Board","Agency Overall","2012","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2012","0","1","0","0","1"
"Department of Education","Agency Overall","2012","18","7","4","5","34"
"Office of Personnel Management","Agency Overall","2012","12","7","2","13","34"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2012","1","0","0","0","1"
"National Endowment for the Arts","Agency Overall","2012","1","0","0","0","1"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2012","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2012","6","2","0","0","8"
"United States Postal Service","Agency Overall","2012","46","18","31","44","139"
"Selective Service System","Agency Overall","2012","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2012","17","6","5","4","32"
"Small Business Administration","Agency Overall","2012","7","8","3","4","22"
"Federal Communications Commission","Agency Overall","2012","9","5","1","8","23"
"General Services Administration","Agency Overall","2012","13","7","1","7","28"
"Department of Health and Human Services","Agency Overall","2012","81","24","13","127","245"
"Department of Labor","Agency Overall","2012","19","54","79","202","354"
"United States Trade and Development Agency","Agency Overall","2012","0","0","0","0","0"
"All agencies","Agency Overall","2012","5268","1892","1809","2820","11789"
