"Agency","Component","Fiscal Year","Number of Appeals Pending as of Start of Fiscal Year","Number of Appeals Received in Fiscal Year","Number of Appeals Processed in Fiscal Year","Number of Appeals Pending as of End of Fiscal Year"
"Federal Mine Safety and Health Review Commission","Agency Overall","2012","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2012","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2012","0","19","19","0"
"Export-Import Bank of the U.S.","Agency Overall","2012","1","1","0","2"
"Department of Energy","Agency Overall","2012","11","74","73","12"
"United States International Trade Commission","Agency Overall","2012","0","0","0","0"
"Office of Management and Budget","Agency Overall","2012","0","17","17","0"
"U.S. Commission on Civil Rights","Agency Overall","2012","0","0","0","0"
"National Science Foundation","Agency Overall","2012","0","12","12","0"
"Overseas Private Investment Corporation","Agency Overall","2012","0","4","4","0"
"Federal Reserve System","Agency Overall","2012","1","25","18","8"
"Peace Corps","Agency Overall","2012","2","9","11","0"
"Federal Mediation and Conciliation Service","Agency Overall","2012","0","1","1","0"
"Millennium Challenge Corporation","Agency Overall","2012","0","1","1","0"
"Federal Labor Relations Authority","Agency Overall","2012","0","2","2","0"
"U.S. Railroad Retirement Board","Agency Overall","2012","0","2","2","0"
"Occupational Safety and Health Review Commission","Agency Overall","2012","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2012","23","18","5","36"
"National Aeronautics and Space Administration","Agency Overall","2012","0","26","24","2"
"Federal Open Market Committee","Agency Overall","2012","0","1","1","0"
"U.S. Department of State","Agency Overall","2012","329","212","130","411"
"Surface Transportation Board","Agency Overall","2012","0","0","0","0"
"National Credit Union Administration","Agency Overall","2012","1","7","8","0"
"Office of National Drug Control Policy","Agency Overall","2012","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2012","28","370","380","18"
"National Transportation Safety Board","Agency Overall","2012","0","7","7","0"
"Office of Science and Technology Policy","Agency Overall","2012","0","8","8","0"
"Federal Financial Institutions Examination Council","Agency Overall","2012","0","1","1","0"
"Federal Election Commission","Agency Overall","2012","1","4","4","1"
"Federal Energy Regulatory Commission","Agency Overall","2012","1","5","5","1"
