"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Federal Mine Safety and Health Review Commission","Agency Overall","2012","4","188","189","3"
"United States International Boundary and Water Commission","Agency Overall","2012","2","15","14","3"
"Consumer Product Safety Commission","Agency Overall","2012","353","2357","2452","258"
"Export-Import Bank of the U.S.","Agency Overall","2012","29","62","47","44"
"Department of Energy","Agency Overall","2012","553","2257","2258","552"
"United States International Trade Commission","Agency Overall","2012","3","37","39","1"
"Office of Management and Budget","Agency Overall","2012","36","191","207","20"
"U.S. Commission on Civil Rights","Agency Overall","2012","1","20","21","0"
"National Science Foundation","Agency Overall","2012","58","428","415","71"
"Overseas Private Investment Corporation","Agency Overall","2012","0","43","40","3"
"Federal Reserve System","Agency Overall","2012","45","899","891","53"
"Peace Corps","Agency Overall","2012","23","166","172","17"
"Federal Mediation and Conciliation Service","Agency Overall","2012","0","71","69","2"
"Millennium Challenge Corporation","Agency Overall","2012","0","29","29","0"
"Federal Labor Relations Authority","Agency Overall","2012","1","64","64","1"
"U.S. Railroad Retirement Board","Agency Overall","2012","1","92","93","0"
"Occupational Safety and Health Review Commission","Agency Overall","2012","1","84","85","0"
"U.S. Agency for International Development","Agency Overall","2012","248","267","295","220"
"National Aeronautics and Space Administration","Agency Overall","2012","73","886","895","64"
"Federal Open Market Committee","Agency Overall","2012","1","22","15","8"
"U.S. Department of State","Agency Overall","2012","8611","18521","15343","11789"
"Surface Transportation Board","Agency Overall","2012","0","30","30","0"
"National Credit Union Administration","Agency Overall","2012","15","130","136","9"
"Office of National Drug Control Policy","Agency Overall","2012","0","37","34","3"
"Equal Employment Opportunity Commission","Agency Overall","2012","1475","18726","18728","1473"
"National Transportation Safety Board","Agency Overall","2012","80","294","185","189"
"Office of Science and Technology Policy","Agency Overall","2012","4","84","85","3"
"Federal Financial Institutions Examination Council","Agency Overall","2012","0","22","22","0"
"Federal Election Commission","Agency Overall","2012","14","60","66","8"
"Federal Energy Regulatory Commission","Agency Overall","2012","5","74","65","14"
"Council on Environmental Quality","Agency Overall","2012","21","50","58","13"
"National Capital Planning Commission","Agency Overall","2012","0","13","13","0"
"Institute of Museum and Library Services","Agency Overall","2012","7","29","35","1"
"Department of Transportation","Agency Overall","2012","1521","10946","10988","1479"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012","0","9","9","0"
"Office of the United States Trade Representative","Agency Overall","2012","13","66","59","20"
"Farm Credit Administration","Agency Overall","2012","2","34","35","1"
"Legal Services Corporation","Agency Overall","2012","0","39","39","0"
"Nuclear Regulatory Commission","Agency Overall","2012","67","334","293","108"
"Department of Justice","Agency Overall","2012","7075","69456","68531","8000"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","0","117","117","0"
"Office of Government Ethics","Agency Overall","2012","3","48","50","1"
"Social Security Administration","Agency Overall","2012","845","31329","31584","590"
"Department of Agriculture","Agency Overall","2012","1350","22175","21686","1839"
"Federal Maritime Commission","Agency Overall","2012","36","30","50","16"
"U.S. Agency for Global Media","Agency Overall","2012","2","40","38","4"
"United States African Development Foundation","Agency Overall","2012","0","4","4","0"
"Department of Veterans Affairs","Agency Overall","2012","1803","24423","24785","1441"
"Postal Regulatory Commission","Agency Overall","2012","0","23","23","0"
"Farm Credit System Insurance Corporation","Agency Overall","2012","1","7","8","0"
"Commodity Futures Trading Commission","Agency Overall","2012","41","175","170","46"
"United States Copyright Office","Agency Overall","2012","4","37","38","3"
"American Battle Monuments Commission","Agency Overall","2012","1","9","9","1"
"Department of the Treasury","Agency Overall","2012","1184","16610","16705","1089"
"Department of Homeland Security","Agency Overall","2012","51143","190589","205895","35837"
"Central Intelligence Agency","Agency Overall","2012","985","3745","3586","1144"
"Federal Deposit Insurance Corporation","Agency Overall","2012","48","931","943","36"
"Merit Systems Protection Board","Agency Overall","2012","12","225","237","0"
"Office of Special Counsel","Agency Overall","2012","50","135","76","109"
"National Archives and Records Administration","Agency Overall","2012","8011","13345","13746","7610"
"Department of Defense","Agency Overall","2012","10025","66078","66651","9452"
"Office of the Director of National Intelligence","Agency Overall","2012","115","343","317","141"
"Department of Housing and Urban Development","Agency Overall","2012","128","2694","2544","278"
"Environmental Protection Agency","Agency Overall","2012","1523","9689","9259","1953"
"Tennessee Valley Authority","Agency Overall","2012","15","188","178","25"
"National Railroad Passenger Corporation","Agency Overall","2012","55","197","219","33"
"Inter-American Foundation","Agency Overall","2012","1","9","10","0"
"Department of Commerce","Agency Overall","2012","234","1807","1701","340"
"National Labor Relations Board","Agency Overall","2012","95","6305","6276","124"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2012","2","10","11","1"
"Federal Retirement Thrift Investment Board","Agency Overall","2012","0","16","12","4"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2012","4","41","41","4"
"Court Services and Offender Supervision Agency","Agency Overall","2012","159","675","803","31"
"Department of the Interior","Agency Overall","2012","1010","6168","6285","893"
"Armed Forces Retirement Home","Agency Overall","2012","5","7","12","0"
"Securities and Exchange Commission","Agency Overall","2012","392","11292","11302","382"
"National Indian Gaming Commission","Agency Overall","2012","15","56","42","29"
"Federal Housing Finance Agency","Agency Overall","2012","18","174","181","11"
"Administrative Conference of the United States","Agency Overall","2012","0","15","15","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2012","2","10","12","0"
"Recovery Accountability and Transparency Board","Agency Overall","2012","0","17","16","1"
"National Endowment for the Humanities","Agency Overall","2012","3","34","37","0"
"National Mediation Board","Agency Overall","2012","5","25","29","1"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2012","4","55","43","16"
"Department of Education","Agency Overall","2012","459","2246","2346","359"
"Office of Personnel Management","Agency Overall","2012","1447","9519","10610","356"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2012","43","29","54","18"
"National Endowment for the Arts","Agency Overall","2012","10","130","126","14"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2012","1","11","12","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2012","307","5314","5475","146"
"United States Postal Service","Agency Overall","2012","174","2434","2460","148"
"Selective Service System","Agency Overall","2012","0","20","20","0"
"Federal Trade Commission","Agency Overall","2012","30","1415","1438","7"
"Small Business Administration","Agency Overall","2012","21","3870","3848","43"
"Federal Communications Commission","Agency Overall","2012","44","501","478","67"
"General Services Administration","Agency Overall","2012","109","1690","1773","26"
"Department of Health and Human Services","Agency Overall","2012","8790","68467","69256","8001"
"Department of Labor","Agency Overall","2012","2139","18560","19224","1475"
"United States Trade and Development Agency","Agency Overall","2012","1","14","14","1"
"All agencies","Agency Overall","2012","113246","651254","665924","98576"
