"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"United States International Boundary and Water Commission","Agency Overall","2012","","","","",""
"Export-Import Bank of the U.S.","Agency Overall","2012","","","","",""
"Department of Energy","Agency Overall","2012","5","103","5","11.06","81"
"Office of Management and Budget","Agency Overall","2012","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2012","","","","",""
"National Science Foundation","Agency Overall","2012","","","","",""
"Overseas Private Investment Corporation","Agency Overall","2012","","","","",""
"Federal Reserve System","Agency Overall","2012","6","7","10","15","7"
"Peace Corps","Agency Overall","2012","2","2","7","7","3"
"Millennium Challenge Corporation","Agency Overall","2012","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2012","","","","",""
"U.S. Railroad Retirement Board","Agency Overall","2012","","","","",""
"Occupational Safety and Health Review Commission","Agency Overall","2012","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2012","0","4","0","0.25","4"
"U.S. Department of State","Agency Overall","2012","","","","",""
"Surface Transportation Board","Agency Overall","2012","","","","",""
"National Credit Union Administration","Agency Overall","2012","1","0","2","2","1"
"Office of National Drug Control Policy","Agency Overall","2012","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2012","9","7","0","9.142857143","14"
"National Transportation Safety Board","Agency Overall","2012","1","0","1","1","1"
"National Capital Planning Commission","Agency Overall","2012","0","0","0","0","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012","","","","",""
"Farm Credit Administration","Agency Overall","2012","7","0","7","6.71","7"
"Legal Services Corporation","Agency Overall","2012","","","","",""
"Nuclear Regulatory Commission","Agency Overall","2012","4","33","0","1","37"
"Department of Justice","Agency Overall","2012","","","","",""
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2012","0","0","0","0","0"
"Social Security Administration","Agency Overall","2012","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2012","","","","",""
"U.S. Agency for Global Media","Agency Overall","2012","2","2","10","10","3"
"Department of Veterans Affairs","Agency Overall","2012","","","","",""
"Postal Regulatory Commission","Agency Overall","2012","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2012","","","","",""
"Commodity Futures Trading Commission","Agency Overall","2012","","","","",""
"American Battle Monuments Commission","Agency Overall","2012","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2012","140","206","5","1.79","323"
"Department of Homeland Security","Agency Overall","2012","","","","",""
"Central Intelligence Agency","Agency Overall","2012","","","","",""
"Merit Systems Protection Board","Agency Overall","2012","","","","",""
"National Archives and Records Administration","Agency Overall","2012","22","4","2.5","9.5","18"
"Department of Defense","Agency Overall","2012","377","749","0","2","1009"
"Environmental Protection Agency","Agency Overall","2012","","","","",""
"National Railroad Passenger Corporation","Agency Overall","2012","2","3","1","1","5"
"Department of Commerce","Agency Overall","2012","","","","",""
"National Labor Relations Board","Agency Overall","2012","6","5","3","4","7"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2012","0","0","0","0","0"
"Department of the Interior","Agency Overall","2012","","","","",""
"Armed Forces Retirement Home","Agency Overall","2012","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2012","","","","",""
"National Indian Gaming Commission","Agency Overall","2012","0","2","22.5","22.5","0"
"Federal Housing Finance Agency","Agency Overall","2012","","","","",""
"Administrative Conference of the United States","Agency Overall","2012","","","","",""
"Defense Nuclear Facilities Safety Board","Agency Overall","2012","","","","",""
"Recovery Accountability and Transparency Board","Agency Overall","2012","","","","",""
"National Endowment for the Humanities","Agency Overall","2012","3","0","9","9.3","3"
"National Mediation Board","Agency Overall","2012","0","1","1","1","1"
"Department of Education","Agency Overall","2012","","","","",""
"Chemical Safety and Hazard Investigation Board","Agency Overall","2012","","","","",""
"National Endowment for the Arts","Agency Overall","2012","6","11","1","2","16"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2012","","","","",""
"Pension Benefit Guaranty Corporation","Agency Overall","2012","0","0","0","0","0"
"United States Postal Service","Agency Overall","2012","","","","",""
"Selective Service System","Agency Overall","2012","0","0","0","0","0"
"Small Business Administration","Agency Overall","2012","0","0","0","0","0"
"General Services Administration","Agency Overall","2012","","","","",""
"Department of Health and Human Services","Agency Overall","2012","","","","",""
"Department of Labor","Agency Overall","2012","117","470","21","347","228"
"United States Trade and Development Agency","Agency Overall","2012","","","","",""
"All agencies","Agency Overall","2012","NaN","NaN","N/A","N/A","NaN"
