"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Federal Mine Safety and Health Review Commission","Agency Overall","2012","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"United States International Boundary and Water Commission","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2012","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"Export-Import Bank of the U.S.","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2012","4","0","0","0","0","0","0","0","0","1","0","0","2","7"
"United States International Trade Commission","Agency Overall","2012","4","1","0","0","0","0","0","0","0","0","0","0","0","5"
"Office of Management and Budget","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2012","0","2","0","0","0","0","0","0","0","0","0","0","0","2"
"Peace Corps","Agency Overall","2012","1","2","1","0","0","0","0","0","0","0","0","0","0","4"
"Federal Mediation and Conciliation Service","Agency Overall","2012","21","0","0","0","0","0","0","0","0","0","0","0","0","21"
"Millennium Challenge Corporation","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2012","1","1","2","1","1","0","0","0","0","0","0","0","2","8"
"National Aeronautics and Space Administration","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2012","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"U.S. Department of State","Agency Overall","2012","0","0","1","0","1","0","0","0","0","1","0","0","6","9"
"Surface Transportation Board","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2012","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Office of National Drug Control Policy","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2012","9","0","0","0","0","0","0","0","0","0","0","0","0","9"
"National Transportation Safety Board","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2012","3","1","2","0","1","0","0","0","0","0","0","0","0","7"
"Federal Financial Institutions Examination Council","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2012","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Federal Energy Regulatory Commission","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2012","0","1","0","0","0","0","1","0","0","0","0","0","0","2"
"National Capital Planning Commission","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Transportation","Agency Overall","2012","47","10","8","1","2","0","1","0","1","0","1","0","0","71"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2012","1","0","3","0","0","0","0","0","0","0","0","0","0","4"
"Farm Credit Administration","Agency Overall","2012","7","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Legal Services Corporation","Agency Overall","2012","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Nuclear Regulatory Commission","Agency Overall","2012","0","1","1","0","0","0","0","0","0","0","0","1","0","3"
"Department of Justice","Agency Overall","2012","33","11","14","11","3","9","6","7","7","8","30","13","26","178"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2012","18","6","3","0","2","0","0","0","0","0","0","1","0","30"
"Federal Maritime Commission","Agency Overall","2012","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"U.S. Agency for Global Media","Agency Overall","2012","0","3","1","0","0","0","0","0","0","0","0","0","0","4"
"United States African Development Foundation","Agency Overall","2012","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Department of Veterans Affairs","Agency Overall","2012","20","4","1","0","0","0","0","0","0","0","0","2","0","27"
"Postal Regulatory Commission","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2012","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Commodity Futures Trading Commission","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
