"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Federal Mine Safety and Health Review Commission","Agency Overall","2012","3","0","18","19.6"
"United States International Boundary and Water Commission","Agency Overall","2012","5","0","1","1"
"Consumer Product Safety Commission","Agency Overall","2012","1","1","8","8"
"Export-Import Bank of the U.S.","Agency Overall","2012","8","0","0.5","55.5"
"Department of Energy","Agency Overall","2012","196","79","N/A","3.32"
"United States International Trade Commission","Agency Overall","2012","5","2","2","5"
"Office of Management and Budget","Agency Overall","2012","9","1","20","20"
"U.S. Commission on Civil Rights","Agency Overall","2012","0","0","N/A","N/A"
"National Science Foundation","Agency Overall","2012","1","1","1","11"
"Overseas Private Investment Corporation","Agency Overall","2012","1","2","N/A","0.33"
"Federal Reserve System","Agency Overall","2012","0","0","N/A","N/A"
"Peace Corps","Agency Overall","2012","0","0","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2012","0","0","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2012","0","0","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2012","0","0","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2012","8","0","7","7"
"Occupational Safety and Health Review Commission","Agency Overall","2012","0","0","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2012","5","0","1","1"
"National Aeronautics and Space Administration","Agency Overall","2012","4","19","N/A","5.52"
"Federal Open Market Committee","Agency Overall","2012","13","0","3","5.1"
"U.S. Department of State","Agency Overall","2012","58","54","1.43","10.47"
"Surface Transportation Board","Agency Overall","2012","1","0","1","1"
"National Credit Union Administration","Agency Overall","2012","7","3","1","2"
"Office of National Drug Control Policy","Agency Overall","2012","0","0","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2012","10","1","1","1"
"National Transportation Safety Board","Agency Overall","2012","1","0","1","1"
"Office of Science and Technology Policy","Agency Overall","2012","17","0","21","30.88"
"Federal Financial Institutions Examination Council","Agency Overall","2012","0","0","N/A","N/A"
"Federal Election Commission","Agency Overall","2012","15","0","1","1"
"Federal Energy Regulatory Commission","Agency Overall","2012","0","2","9","9"
"Council on Environmental Quality","Agency Overall","2012","0","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2012","0","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2012","0","0","N/A","N/A"
"Department of Transportation","Agency Overall","2012","125","116","1","4.813"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012","0","0","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2012","25","0","2","4"
"Farm Credit Administration","Agency Overall","2012","35","0","12","11.57"
"Legal Services Corporation","Agency Overall","2012","1","1","14.5","14.5"
"Nuclear Regulatory Commission","Agency Overall","2012","25","9","N/A","9"
"Department of Justice","Agency Overall","2012","145","343","N/A","8.37"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","0","0","N/A","N/A"
"Office of Government Ethics","Agency Overall","2012","0","1","3","3"
"Social Security Administration","Agency Overall","2012","3","11","8","8"
"Department of Agriculture","Agency Overall","2012","1233","78","1","4.93"
"Federal Maritime Commission","Agency Overall","2012","0","0","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2012","3","0","7","7"
"United States African Development Foundation","Agency Overall","2012","0","0","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2012","110","100","N/A","13.3"
"Postal Regulatory Commission","Agency Overall","2012","2","0","18","18"
"Farm Credit System Insurance Corporation","Agency Overall","2012","7","0","13","12.125"
"Commodity Futures Trading Commission","Agency Overall","2012","0","0","N/A","N/A"
"United States Copyright Office","Agency Overall","2012","0","0","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2012","4","0","N/A","N/A"
"Department of the Treasury","Agency Overall","2012","124","527","6","49.58"
"Department of Homeland Security","Agency Overall","2012","131","245","1","3.35"
"Central Intelligence Agency","Agency Overall","2012","0","9","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2012","21","60","1","0.33"
"Merit Systems Protection Board","Agency Overall","2012","0","0","N/A","N/A"
"Office of Special Counsel","Agency Overall","2012","0","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2012","35","22","1","8"
"Department of Defense","Agency Overall","2012","1137","696","N/A","8"
"Office of the Director of National Intelligence","Agency Overall","2012","0","0","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2012","20","50","1","1.81"
"Environmental Protection Agency","Agency Overall","2012","233","268","1","3.4"
"Tennessee Valley Authority","Agency Overall","2012","4","1","9","18"
"National Railroad Passenger Corporation","Agency Overall","2012","9","1","1","0.1"
"Inter-American Foundation","Agency Overall","2012","0","0","N/A","N/A"
"Department of Commerce","Agency Overall","2012","92","47","4","27"
"National Labor Relations Board","Agency Overall","2012","8","12","10","23"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2012","4","0","1.5","2"
"Federal Retirement Thrift Investment Board","Agency Overall","2012","0","0","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2012","0","0","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2012","0","1","7","7"
"Department of the Interior","Agency Overall","2012","472","35","1","15"
"Armed Forces Retirement Home","Agency Overall","2012","0","0","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2012","12","20","1","4"
"National Indian Gaming Commission","Agency Overall","2012","1","2","14","16.33"
"Federal Housing Finance Agency","Agency Overall","2012","10","9","1","3.32"
"Administrative Conference of the United States","Agency Overall","2012","3","0","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2012","2","0","18","18"
"Recovery Accountability and Transparency Board","Agency Overall","2012","4","0","12","12.25"
"National Endowment for the Humanities","Agency Overall","2012","2","0","2.5","2.5"
"National Mediation Board","Agency Overall","2012","0","1","1","1"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2012","0","0","N/A","N/A"
"Department of Education","Agency Overall","2012","42","40","6.5","55.28"
"Office of Personnel Management","Agency Overall","2012","0","9","1","1"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2012","5","0","8","10"
"National Endowment for the Arts","Agency Overall","2012","2","4","5","17"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2012","7","0","4","15"
"Pension Benefit Guaranty Corporation","Agency Overall","2012","2","1","4","20"
"United States Postal Service","Agency Overall","2012","1","2","N/A","1.67"
"Selective Service System","Agency Overall","2012","0","0","N/A","N/A"
"Federal Trade Commission","Agency Overall","2012","9","17","5","12.23"
"Small Business Administration","Agency Overall","2012","1","3","18","18"
"Federal Communications Commission","Agency Overall","2012","2","3","10","12.8"
"General Services Administration","Agency Overall","2012","12","21","33","39.88"
"Department of Health and Human Services","Agency Overall","2012","332","36","3","4"
"Department of Labor","Agency Overall","2012","290","931","20","142.8"
"United States Trade and Development Agency","Agency Overall","2012","0","0","N/A","N/A"
"All agencies","Agency Overall","2012","5115","3897","N/A","N/A"
