"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"Export-Import Bank of the U.S.","Agency Overall","2012","","","",""
"Office of Management and Budget","Agency Overall","2012","97","123","10","243"
"Office of National Drug Control Policy","Agency Overall","2012","N/A","N/A","N/A","N/A"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012","","","",""
"Nuclear Regulatory Commission","Agency Overall","2012","16","19","3","40"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2012","16","16.25","14","19"
"Department of Agriculture","Agency Overall","2012","","","",""
"Department of Homeland Security","Agency Overall","2012","","","",""
"Central Intelligence Agency","Agency Overall","2012","","","",""
"Merit Systems Protection Board","Agency Overall","2012","","","",""
"Department of the Interior","Agency Overall","2012","","","",""
"Securities and Exchange Commission","Agency Overall","2012","","","",""
"Administrative Conference of the United States","Agency Overall","2012","","","",""
