"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"Department of Energy","Agency Overall","2012","41 U.S.C 253","Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. cir. Aug 25, 2004).","National Defense Authorization Act - Agency withheld contractor proposals, technical, management, and cost proposals submitted in response to the requirements of a solicitation for a competitive proposal.","8"
"Department of Energy","Agency Overall","2012","41 U.S.C.A. 2102","Legal and Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, At *3-4 (E.D. Cal. May 4, 2001) (dictum).","Procurement Integrity Act - Agency withheld contractor bid information, proposal information, or source selection information","12"
"Department of Energy","Agency Overall","2012","26 U.S.C. 6103","Tax Analysts v. Internal Revenue Serv., DC Cir. 2005","Internal Revenue Code - Agency withheld taxpayer identification numbers","8"
"Department of Energy","Agency Overall","2012","42 U.S.C. 2162","Meeropol v. Smith, No. 75-1221, slip op. at 53-55 (D.D.C. Feb. 29, 1984), Aff'd in relevant part & remanded in part on other grounds sub nom, Meeropol v. Meese, 790 F.2d 942 (D.C. Cir. 1986)","Atomic Energy Act of 1954 - Agency withheld information that is classified as Restricted Data, Formerly Restricted Data, or Unclassified Controlled Nuclear Information.","9"
"Department of Energy","Agency Overall","2012","5 U.S.C. App. 4 § 105","","Ethics in Government Act of 1978 - Agency withheld financial disclosure information pertaining to certain government employees","1"
"Department of Energy","Agency Overall","2012","15 U.S.C. 638(k)(4)","","Company commercialization information","1"
"Department of Energy","Agency Overall","2012","42 U.S.C. 7256(g)(5)","","Contracts, leases, etc., with public agencies and private organizations and persons","6"
"Department of Energy","Agency Overall","2012","6 U.S.C. 133","","Homeland Security Act of 2002 - Agency withheld critical infrastructure information.","1"
"Office of Management and Budget","Agency Overall","2012","N/A","N/A","N/A","0"
"Federal Reserve System","Agency Overall","2012","31 U.S.C. § 5319 Bank Secrecy Act","Hulstein vs. DEA, No.10-4112, 2011 U.S. Dist. LEXIS 25788, at *7-8 (N.D. Iowa Mar. 11, 2011); Berger v. IRS, 487 F. Supp. 2d 482, 496 -97 (D. N.J. 2007, aff'd on other grounds, 288 F. App's 829 (3d Cir. 2008), cert. denied, 129 S. Ct. 2789 (U.S. 2009); Sciba v. Bd. Of Governors of the Fed. Reserve Sys., No 04-1011, 2005 WL 3201206, at *6 (D.D.C. Nov. 4, 2005).","Reports pertaining to monetary instruments transactions filed under subchapter II of chapter 53 of title 31 and records of those reports","4"
"Federal Reserve System","Agency Overall","2012","44 U.S.C. § 3501 sec. 512 (Confidential Information Protection and Statistical Efficiency Act of 2002)","","Census coding for geographical locations.","1"
"Millennium Challenge Corporation","Agency Overall","2012","N/A","N/A","N/A","0"
"Occupational Safety and Health Review Commission","Agency Overall","2012","N/A","N/A","N/A","0"
"National Aeronautics and Space Administration","Agency Overall","2012","10 U.S.C. § 2305(g)","Roman v. NSA, Nos. 09-2947, 09-4281, 09-3344, 09-2504, 09-5633, 2012 WL 569747, at *7 (E.D.N.Y. Feb. 22, 2012); Margolin v. NASA, No. 09-CV-00421-LRH-VPC, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011).","Certain contractor proposals","12"
"National Aeronautics and Space Administration","Agency Overall","2012","22 U.S.C. § 2751","None cited","Information subject to the Arms Exports Control; Control Technical data withheld according to regulations establishing lists or categories of technical data that may not be exported, under the Arms Export Control Act.","20"
"National Aeronautics and Space Administration","Agency Overall","2012","41 U.S.C. § 423(a)(1)*","Legal & Safety Employer Research, Inc. V U.S. Dept of the Army, No, Civ. S001748, 2001 UL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum)","Contractor bid or proposal information; source selection information","2"
"National Aeronautics and Space Administration","Agency Overall","2012","18 U.S.C. § 798","Larson v. Dep't of State, 565 (Espionage Act) F.3d 857, 868-69 (D.C. Cir. 2009); N.Y. Times Co. v. DOD, 499 F. Supp. 2d 501, 512 (S.D.N.Y. 2007); Adejumobi v. NSA, No. 07-1237, 2007 WL 4247878, at *3 (M.D. Fla. Dec. 3, 2007), aff'd per curiam, 287 F. App'x 770 (11th Cir. 2008).","Certain classified information  pertaining to the communication  intelligence and cryptographic  devices of the United States or  any foreign government","1"
"National Credit Union Administration","Agency Overall","2012","31 U.S.C. § 5319","Hulstein v. DEA, No. 10-4112, 2011 U.S. Dist. LEXIS 25788, at *7-8 (N.D. Iowa Mar. 11, 2011); Berger v. IRS, 487 F. Supp. 2d 482, 496-97 (D.N.J. 2007), aff'd on other grounds, 288 F. App'x 829 (3d Cir. 2008), cert. denied, 129 S. Ct. 2789 (U.S. 2009); Sciba v. Bd. of Governors of the Fed. Reserve Sys., No. 04-1011, 2005 WL 3201206, at *6 (D.D.C. Nov. 4, 2005).","Reports pertaining to monetary instruments transactions filed under subchapter II of chapter 53 of title 31 and records of those reports","2"
"Office of National Drug Control Policy","Agency Overall","2012","N/A","N/A","N/A","0"
"Equal Employment Opportunity Commission","Agency Overall","2012","42 U.S.C. Sections 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)","EEOC v. Associated Dry Goods Corps., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964F Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)","Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.","4080"
"Equal Employment Opportunity Commission","Agency Overall","2012","42 U.S.C. Section 12117","EEOC v. Associated Dry Goods Corp., 449 U. S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D. N.J. 1989)","Information pertaining to charges of unlawful employment practices under ADA, information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished.","742"
"Equal Employment Opportunity Commission","Agency Overall","2012","42 U.S.C. Section 2000ff-6","EEOC v. Associated Dry Goods Corp., 449 U. S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D. N.J. 1989)","Information pertaining to charges of unlawful employment practices under GINA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished.","409"
"National Transportation Safety Board","Agency Overall","2012","49 U.S.C. § 1114(b)(3)","","Voluntarily provided safety-related information if it is not related to the exercise of the NTSB’s accident or incident investigation authority and if the NTSB finds that the disclosure would inhibit the voluntary provision of that type.","2"
"National Transportation Safety Board","Agency Overall","2012","49 U.S.C. § 1114(f)","","Any information relating to Board participation in foreign aircraft accidents, where the country conducting the investigation has not issued its report or two years have not elapsed from the date of the accident.","2"
"National Transportation Safety Board","Agency Overall","2012","49 U.S.C. § 1136(d)","","Passenger lists.","3"
"National Capital Planning Commission","Agency Overall","2012","N/A","N/A","N/A","0"
"Farm Credit Administration","Agency Overall","2012","41 U.S.C. § 4702(b)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","1"
"Nuclear Regulatory Commission","Agency Overall","2012","41 U.S.C. § 4702(b)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor Proposals that are in the possession or control of an executive agency and that have been set forth or incorporated by reference into contracts","2"
"Nuclear Regulatory Commission","Agency Overall","2012","42 U.S.C. § 2167","Va. Sunshine Alliance v. NRC, 509 F. Supp. 863 (D.D.C.1981), aff'd, 669 F.2d 788 (D.C. Cir. 1981)","Certain Safeguards Information","1"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","5 U.S.C. § 552a","None","Personally indentifiable information","3"
"Office of Government Ethics","Agency Overall","2012","5 U.S.C. app. § 105","","Financial disclosure reports and applications to inspect financial disclosure reports","2"
"Social Security Administration","Agency Overall","2012","26 U.S.C. 6103, 6105","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. 6103); Pac. Fisheries, Inc. v. IRS, No. 09-35618, 2010 WL 3611645, at *2 (9th Cir. September 15, 2010) (unpublished disposition); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. 6105)","Certain tax return information and certain tax convention information","73"
"Social Security Administration","Agency Overall","2012","44 U.S.C. 3541, et seq.","","Information security controls and programs that support Federal operations","1"
"Social Security Administration","Agency Overall","2012","42 U.S.C. 405®","Int'l Diatonmite Producers Ass'n v. SSA, No. 92-1634, 1993 WL 137286, at *3 (N.D. Cal. Apr. 28, 1993), appeal dismissed per stipulation, No. 93-16204 (9th Cir. Oct. 27, 1993)","Death certificates and records pertaining to deaths provided to the Commissioner of the Social Security under this subsection","2"
"U.S. Agency for Global Media","Agency Overall","2012","22 U.S.C. 1461, 1461-1a (Foreign Affairs Reform and Restructuring Act)","Essential Info., Inc. v. USIA, 134 F.3d 1165, 1168 (D.C. Cir. 1998)","Certain program information prepared by the United States Information Agency","1"
