"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Federal Mine Safety and Health Review Commission","Agency Overall","2012","1","3.6","1","18","18.5","16","11","31","12.5","12.5","8","17"
"United States International Boundary and Water Commission","Agency Overall","2012","5","5.6","1","12","30","31.9","14","62","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2012","8","35","1","615","77","102","1","644","99","99","99","99"
"Export-Import Bank of the U.S.","Agency Overall","2012","22","49.68","<1","235","241","223.58","28","427","N/A","N/A","N/A","N/A"
"Department of Energy","Agency Overall","2012","12","39.92","<1","2379","50","115.39","<1","1574","16","199.14","2","767"
"United States International Trade Commission","Agency Overall","2012","11","12","1","33","N/A","N/A","N/A","N/A","14","3","1","30"
"Office of Management and Budget","Agency Overall","2012","44","69","1","648","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2012","1","7","1","6","10","22","3","63","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2012","23","29","1","511","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2012","10","18.37","<1","125","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Reserve System","Agency Overall","2012","2","3","1","30","31","62","1","765","28","28","26","31"
"Peace Corps","Agency Overall","2012","17","25","1","201","185","184","37","354","24","27","10","51"
"Federal Mediation and Conciliation Service","Agency Overall","2012","6","7.5","1","26","8","8.9","2","20","2","2.1","1","5"
"Millennium Challenge Corporation","Agency Overall","2012","17","15","3","21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2012","8","11","<1","28","21","66","21","156","N/A","N/A","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2012","22","34.73","6","215","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2012","10","11.2","1","20","30","30","30","30","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2012","73","163.02","2","759","145","280.2","<1","1500","59","154.12","12","487"
"National Aeronautics and Space Administration","Agency Overall","2012","4","9.92","<1","145","13","33.99","<1","896","N/A","N/A","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2012","7","7.6","3","13","73","85.8","27","156","11","11","11","11"
"U.S. Department of State","Agency Overall","2012","66","88","<1","1589","450","559.9","<1","3035","921.43","760.44","46","1559"
"Surface Transportation Board","Agency Overall","2012","3","5.9","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2012","13","18.52","N/A","129","150","159.54","13","345","11","11","11","11"
"Office of National Drug Control Policy","Agency Overall","2012","16","15","1","42","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2012","17","18","1","517","N/A","N/A","N/A","N/A","5","7.77","4","19"
"National Transportation Safety Board","Agency Overall","2012","17","18.53","<1","50","30","104.51","<1","614","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2012","9","12.3","N/A","51","30","42.71","4","92","21","31.14","5","87"
"Federal Financial Institutions Examination Council","Agency Overall","2012","11","9.95","1","18","19","19","19","19","N/A","N/A","N/A","N/A"
