"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Federal Mine Safety and Health Review Commission","Agency Overall","2012","176","0","0","0","0","0","0","0","0","0","0","0","0","176"
"United States International Boundary and Water Commission","Agency Overall","2012","7","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Consumer Product Safety Commission","Agency Overall","2012","1703","32","10","22","7","7","4","5","4","0","2","1","1","1798"
"Export-Import Bank of the U.S.","Agency Overall","2012","14","4","1","2","3","0","2","0","0","0","2","0","0","28"
"Department of Energy","Agency Overall","2012","1084","237","143","79","47","37","21","20","14","7","36","13","17","1755"
"United States International Trade Commission","Agency Overall","2012","30","4","0","0","0","0","0","0","0","0","0","0","0","34"
"Office of Management and Budget","Agency Overall","2012","49","53","23","21","19","8","7","10","2","0","14","0","1","207"
"U.S. Commission on Civil Rights","Agency Overall","2012","7","0","0","0","0","0","0","0","0","0","0","0","0","7"
"National Science Foundation","Agency Overall","2012","194","122","79","9","7","1","0","0","0","0","2","0","1","415"
"Overseas Private Investment Corporation","Agency Overall","2012","30","5","0","3","0","1","1","0","0","0","0","0","0","40"
"Federal Reserve System","Agency Overall","2012","355","3","0","0","0","0","0","0","0","0","0","0","0","358"
"Peace Corps","Agency Overall","2012","87","36","14","7","4","3","2","2","1","0","1","0","0","157"
"Federal Mediation and Conciliation Service","Agency Overall","2012","24","1","0","0","0","0","0","0","0","0","0","0","0","25"
"Millennium Challenge Corporation","Agency Overall","2012","28","1","0","0","0","0","0","0","0","0","0","0","0","29"
"Federal Labor Relations Authority","Agency Overall","2012","58","3","0","0","0","0","0","0","0","0","0","0","0","61"
"U.S. Railroad Retirement Board","Agency Overall","2012","89","1","1","1","0","0","0","0","0","0","1","0","0","93"
"Occupational Safety and Health Review Commission","Agency Overall","2012","81","0","0","0","0","0","0","0","0","0","0","0","0","81"
"U.S. Agency for International Development","Agency Overall","2012","18","5","3","5","2","1","0","1","3","2","4","6","7","57"
"National Aeronautics and Space Administration","Agency Overall","2012","363","37","11","5","0","1","0","1","0","0","0","0","0","418"
"Federal Open Market Committee","Agency Overall","2012","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"U.S. Department of State","Agency Overall","2012","40","145","1523","2940","424","176","164","112","44","30","118","60","102","5878"
"Surface Transportation Board","Agency Overall","2012","29","0","0","0","0","0","0","0","0","0","0","0","0","29"
"National Credit Union Administration","Agency Overall","2012","78","18","8","2","1","0","2","0","0","0","0","0","0","109"
"Office of National Drug Control Policy","Agency Overall","2012","19","14","1","0","0","0","0","0","0","0","0","0","0","34"
"Equal Employment Opportunity Commission","Agency Overall","2012","13072","3415","470","152","52","41","19","14","6","1","15","0","2","17259"
"National Transportation Safety Board","Agency Overall","2012","17","11","2","0","0","0","0","0","0","0","0","0","0","30"
"Office of Science and Technology Policy","Agency Overall","2012","52","16","1","0","0","0","0","0","0","0","0","0","0","69"
"Federal Financial Institutions Examination Council","Agency Overall","2012","21","0","0","0","0","0","0","0","0","0","0","0","0","21"
"Federal Election Commission","Agency Overall","2012","27","4","5","4","4","1","1","0","1","0","2","1","0","50"
"Federal Energy Regulatory Commission","Agency Overall","2012","10","20","0","0","0","0","0","0","0","0","0","0","0","30"
"Council on Environmental Quality","Agency Overall","2012","8","10","2","1","0","0","0","0","0","0","0","0","0","21"
"National Capital Planning Commission","Agency Overall","2012","13","0","0","0","0","0","0","0","0","0","0","0","0","13"
"Institute of Museum and Library Services","Agency Overall","2012","32","0","0","0","0","0","0","0","0","0","0","0","0","32"
"Department of Transportation","Agency Overall","2012","5997","1094","863","99","46","30","18","15","15","7","22","14","57","8277"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012","9","0","0","0","0","0","0","0","0","0","0","0","0","9"
"Office of the United States Trade Representative","Agency Overall","2012","21","12","1","1","1","0","0","0","0","0","0","0","0","36"
"Farm Credit Administration","Agency Overall","2012","28","0","0","0","0","0","0","0","0","0","0","0","0","28"
"Legal Services Corporation","Agency Overall","2012","33","2","0","0","0","0","0","0","0","0","0","0","0","35"
"Nuclear Regulatory Commission","Agency Overall","2012","103","10","1","0","0","0","1","0","0","0","0","0","0","115"
"Department of Justice","Agency Overall","2012","37312","8771","2119","1024","604","352","254","178","122","99","164","67","41","51107"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","116","1","0","0","0","0","0","0","0","0","0","0","0","117"
"Office of Government Ethics","Agency Overall","2012","43","5","1","0","0","0","0","0","0","0","0","0","0","49"
"Social Security Administration","Agency Overall","2012","28040","2181","408","205","195","124","1","1","0","0","1","0","0","31156"
"Department of Agriculture","Agency Overall","2012","18233","942","288","122","75","47","39","37","32","18","69","32","26","19960"
"Federal Maritime Commission","Agency Overall","2012","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"U.S. Agency for Global Media","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2012","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
