"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Federal Mine Safety and Health Review Commission","Agency Overall","2012","178","2","0","6","0","2","0","0","1","0","0","0","189"
"United States International Boundary and Water Commission","Agency Overall","2012","11","1","0","2","0","0","0","0","0","0","0","0","14"
"Consumer Product Safety Commission","Agency Overall","2012","1784","398","41","120","4","34","33","0","0","4","27","7","2452"
"Export-Import Bank of the U.S.","Agency Overall","2012","19","15","0","6","0","6","1","0","0","0","0","0","47"
"Department of Energy","Agency Overall","2012","734","465","36","370","276","250","21","11","12","52","31","0","2258"
"United States International Trade Commission","Agency Overall","2012","28","6","2","3","0","0","0","0","0","0","0","0","39"
"Office of Management and Budget","Agency Overall","2012","59","53","8","87","0","0","0","0","0","0","0","0","207"
"U.S. Commission on Civil Rights","Agency Overall","2012","4","6","0","2","0","1","0","0","6","2","0","0","21"
"National Science Foundation","Agency Overall","2012","43","278","10","46","2","26","0","0","0","1","3","6","415"
"Overseas Private Investment Corporation","Agency Overall","2012","15","11","1","9","0","1","1","1","1","0","0","0","40"
"Federal Reserve System","Agency Overall","2012","512","96","57","83","41","38","18","12","3","0","4","27","891"
"Peace Corps","Agency Overall","2012","89","24","4","20","8","0","0","10","12","4","1","0","172"
"Federal Mediation and Conciliation Service","Agency Overall","2012","29","8","1","19","1","5","0","0","0","3","1","2","69"
"Millennium Challenge Corporation","Agency Overall","2012","9","10","1","4","2","0","0","1","1","1","0","0","29"
"Federal Labor Relations Authority","Agency Overall","2012","32","12","0","12","3","2","0","2","0","0","0","1","64"
"U.S. Railroad Retirement Board","Agency Overall","2012","68","7","4","10","0","0","4","0","0","0","0","0","93"
"Occupational Safety and Health Review Commission","Agency Overall","2012","33","22","2","9","0","19","0","0","0","0","0","0","85"
"U.S. Agency for International Development","Agency Overall","2012","53","122","10","39","4","40","3","0","2","2","3","17","295"
"National Aeronautics and Space Administration","Agency Overall","2012","231","212","48","84","15","57","51","37","62","34","64","","895"
"Federal Open Market Committee","Agency Overall","2012","4","5","0","1","1","2","0","2","0","0","0","0","15"
"U.S. Department of State","Agency Overall","2012","2313","2821","4103","1053","198","157","50","509","3016","989","125","9","15343"
"Surface Transportation Board","Agency Overall","2012","19","4","0","6","0","1","0","0","0","0","0","0","30"
"National Credit Union Administration","Agency Overall","2012","57","46","20","3","0","5","0","1","2","1","1","0","136"
"Office of National Drug Control Policy","Agency Overall","2012","17","1","1","15","0","0","0","0","0","0","0","0","34"
"Equal Employment Opportunity Commission","Agency Overall","2012","714","12998","2352","490","177","90","27","40","237","7","494","1102","18728"
"National Transportation Safety Board","Agency Overall","2012","23","33","65","43","1","3","2","0","5","8","2","0","185"
"Office of Science and Technology Policy","Agency Overall","2012","13","18","1","53","0","0","0","0","0","0","0","0","85"
"Federal Financial Institutions Examination Council","Agency Overall","2012","9","3","1","2","2","0","0","0","1","4","0","0","22"
"Federal Election Commission","Agency Overall","2012","13","23","3","15","3","7","0","1","0","1","0","0","66"
"Federal Energy Regulatory Commission","Agency Overall","2012","18","28","6","5","0","8","0","0","0","0","0","0","65"
"Council on Environmental Quality","Agency Overall","2012","10","11","1","24","1","9","0","0","1","1","0","0","58"
"National Capital Planning Commission","Agency Overall","2012","5","0","0","7","0","0","0","0","1","0","0","0","13"
"Institute of Museum and Library Services","Agency Overall","2012","8","18","0","4","0","1","0","0","0","0","0","4","35"
"Department of Transportation","Agency Overall","2012","5211","2699","95","1844","29","497","252","53","74","30","101","103","10988"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012","3","3","0","2","0","0","0","1","0","0","0","0","9"
"Office of the United States Trade Representative","Agency Overall","2012","26","8","0","17","0","2","0","5","1","0","0","0","59"
"Farm Credit Administration","Agency Overall","2012","13","6","3","12","0","0","0","0","1","0","0","0","35"
"Legal Services Corporation","Agency Overall","2012","21","6","2","8","0","0","0","0","1","1","0","0","39"
"Nuclear Regulatory Commission","Agency Overall","2012","82","87","8","49","1","15","12","2","0","3","0","34","293"
"Department of Justice","Agency Overall","2012","30623","7969","2326","13816","552","645","1316","2793","4023","751","3102","615","68531"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","107","10","0","0","0","0","0","0","0","0","0","0","117"
"Office of Government Ethics","Agency Overall","2012","11","21","2","11","1","0","1","1","0","0","0","2","50"
"Social Security Administration","Agency Overall","2012","29218","1485","649","121","0","2","51","35","0","14","9","0","31584"
"Department of Agriculture","Agency Overall","2012","17168","2098","421","825","363","309","115","106","56","61","68","96","21686"
"Federal Maritime Commission","Agency Overall","2012","10","7","1","11","0","18","0","0","3","0","0","0","50"
"U.S. Agency for Global Media","Agency Overall","2012","6","15","2","5","0","0","0","0","2","0","0","8","38"
"United States African Development Foundation","Agency Overall","2012","4","0","0","0","0","0","0","0","0","0","0","0","4"
"Department of Veterans Affairs","Agency Overall","2012","10241","7501","4553","1232","58","257","201","157","386","36","138","25","24785"
"Postal Regulatory Commission","Agency Overall","2012","6","0","0","0","16","1","0","0","0","0","0","0","23"
"Farm Credit System Insurance Corporation","Agency Overall","2012","3","0","0","5","0","0","0","0","0","0","0","0","8"
"Commodity Futures Trading Commission","Agency Overall","2012","45","64","11","34","0","9","1","1","1","2","1","1","170"
"United States Copyright Office","Agency Overall","2012","13","4","0","5","5","2","3","3","0","3","0","0","38"
"American Battle Monuments Commission","Agency Overall","2012","1","1","0","5","0","0","0","0","1","1","0","0","9"
"Department of the Treasury","Agency Overall","2012","5911","3488","686","1114","457","333","356","660","2831","252","580","37","16705"
"Department of Homeland Security","Agency Overall","2012","21715","118719","1097","21608","7288","5027","250","306","15590","5448","7927","920","205895"
"Central Intelligence Agency","Agency Overall","2012","356","761","1584","128","91","6","5","48","146","0","0","461","3586"
"Federal Deposit Insurance Corporation","Agency Overall","2012","225","163","50","112","7","37","91","88","35","108","10","17","943"
"Merit Systems Protection Board","Agency Overall","2012","107","54","10","66","0","0","0","0","0","0","0","0","237"
"Office of Special Counsel","Agency Overall","2012","15","7","14","19","1","1","1","1","2","5","0","10","76"
"National Archives and Records Administration","Agency Overall","2012","1173","348","29","11314","64","46","3","43","50","38","61","577","13746"
"Department of Defense","Agency Overall","2012","25672","15318","3148","6291","5829","1923","858","643","1157","869","1164","3779","66651"
"Office of the Director of National Intelligence","Agency Overall","2012","22","190","45","23","8","1","0","0","0","0","0","28","317"
"Department of Housing and Urban Development","Agency Overall","2012","895","382","88","372","389","218","47","9","67","14","63","0","2544"
"Environmental Protection Agency","Agency Overall","2012","4719","609","96","2796","209","623","47","33","23","4","96","4","9259"
"Tennessee Valley Authority","Agency Overall","2012","51","80","8","24","0","8","5","0","0","2","0","0","178"
"National Railroad Passenger Corporation","Agency Overall","2012","58","39","15","23","1","28","27","0","9","7","12","0","219"
