"Agency","Component","Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of Start of the Fiscal Year","Number of Consultations Received from Other Agencies During the Fiscal Year","Number of Consultations Received from Other Agencies that were Processed by the Agency During the Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of End of the Fiscal Year"
"Federal Mine Safety and Health Review Commission","Agency Overall","2012","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2012","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2012","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2012","0","0","0","0"
"Department of Energy","Agency Overall","2012","95","278","266","107"
"United States International Trade Commission","Agency Overall","2012","0","1","1","0"
"Office of Management and Budget","Agency Overall","2012","4","27","29","2"
"U.S. Commission on Civil Rights","Agency Overall","2012","0","0","0","0"
"National Science Foundation","Agency Overall","2012","1","2","3","0"
"Overseas Private Investment Corporation","Agency Overall","2012","0","0","0","0"
"Federal Reserve System","Agency Overall","2012","0","0","0","0"
"Peace Corps","Agency Overall","2012","1","1","2","0"
"Federal Mediation and Conciliation Service","Agency Overall","2012","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2012","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2012","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2012","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2012","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2012","4","2","3","3"
"National Aeronautics and Space Administration","Agency Overall","2012","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2012","0","0","0","0"
"U.S. Department of State","Agency Overall","2012","1869","10946","8363","4452"
"Surface Transportation Board","Agency Overall","2012","0","0","0","0"
"National Credit Union Administration","Agency Overall","2012","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2012","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2012","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2012","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2012","0","3","3","0"
"Federal Financial Institutions Examination Council","Agency Overall","2012","0","0","0","0"
