"Agency","Component","Fiscal Year","Number of Backlogged Appeals as of End of the Fiscal Year from Previous Annual Report","Number of Backlogged Appeals as of End of the Fiscal Year from Current Annual Report"
"Federal Mine Safety and Health Review Commission","Agency Overall","2012","0","0"
"United States International Boundary and Water Commission","Agency Overall","2012","0","0"
"Consumer Product Safety Commission","Agency Overall","2012","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2012","1","2"
"Department of Energy","Agency Overall","2012","8","4"
"United States International Trade Commission","Agency Overall","2012","0","0"
"Office of Management and Budget","Agency Overall","2012","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2012","0","0"
"National Science Foundation","Agency Overall","2012","0","0"
"Overseas Private Investment Corporation","Agency Overall","2012","0","0"
"Federal Reserve System","Agency Overall","2012","1","5"
"Peace Corps","Agency Overall","2012","2","0"
"Federal Mediation and Conciliation Service","Agency Overall","2012","0","0"
"Millennium Challenge Corporation","Agency Overall","2012","0","0"
"Federal Labor Relations Authority","Agency Overall","2012","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2012","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2012","0","0"
"U.S. Agency for International Development","Agency Overall","2012","22","35"
"National Aeronautics and Space Administration","Agency Overall","2012","0","0"
"Federal Open Market Committee","Agency Overall","2012","0","0"
"U.S. Department of State","Agency Overall","2012","294","352"
"Surface Transportation Board","Agency Overall","2012","0","0"
"National Credit Union Administration","Agency Overall","2012","0","0"
"Office of National Drug Control Policy","Agency Overall","2012","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2012","2","0"
"National Transportation Safety Board","Agency Overall","2012","0","0"
"Office of Science and Technology Policy","Agency Overall","2012","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2012","0","0"
"Federal Election Commission","Agency Overall","2012","1","1"
"Federal Energy Regulatory Commission","Agency Overall","2012","0","1"
"Council on Environmental Quality","Agency Overall","2012","0","0"
"National Capital Planning Commission","Agency Overall","2012","0","0"
"Institute of Museum and Library Services","Agency Overall","2012","0","0"
"Department of Transportation","Agency Overall","2012","65","47"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012","0","0"
"Office of the United States Trade Representative","Agency Overall","2012","0","0"
"Farm Credit Administration","Agency Overall","2012","0","0"
"Legal Services Corporation","Agency Overall","2012","0","0"
"Nuclear Regulatory Commission","Agency Overall","2012","0","0"
"Department of Justice","Agency Overall","2012","208","353"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","0","0"
"Office of Government Ethics","Agency Overall","2012","0","0"
"Social Security Administration","Agency Overall","2012","7","15"
"Department of Agriculture","Agency Overall","2012","146","163"
"Federal Maritime Commission","Agency Overall","2012","0","0"
"U.S. Agency for Global Media","Agency Overall","2012","0","0"
"United States African Development Foundation","Agency Overall","2012","0","0"
"Department of Veterans Affairs","Agency Overall","2012","294","173"
"Postal Regulatory Commission","Agency Overall","2012","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2012","0","0"
"Commodity Futures Trading Commission","Agency Overall","2012","1","4"
"United States Copyright Office","Agency Overall","2012","0","0"
"American Battle Monuments Commission","Agency Overall","2012","0","0"
"Department of the Treasury","Agency Overall","2012","51","32"
"Department of Homeland Security","Agency Overall","2012","327","165"
"Central Intelligence Agency","Agency Overall","2012","199","206"
"Federal Deposit Insurance Corporation","Agency Overall","2012","0","1"
"Merit Systems Protection Board","Agency Overall","2012","0","1"
"Office of Special Counsel","Agency Overall","2012","8","8"
"National Archives and Records Administration","Agency Overall","2012","6","5"
"Department of Defense","Agency Overall","2012","737","769"
"Office of the Director of National Intelligence","Agency Overall","2012","14","18"
"Department of Housing and Urban Development","Agency Overall","2012","2","5"
"Environmental Protection Agency","Agency Overall","2012","64","57"
"Tennessee Valley Authority","Agency Overall","2012","0","0"
"National Railroad Passenger Corporation","Agency Overall","2012","2","1"
"Inter-American Foundation","Agency Overall","2012","0","0"
"Department of Commerce","Agency Overall","2012","47","33"
"National Labor Relations Board","Agency Overall","2012","1","1"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2012","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2012","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2012","0","2"
"Court Services and Offender Supervision Agency","Agency Overall","2012","0","0"
"Department of the Interior","Agency Overall","2012","222","186"
"Armed Forces Retirement Home","Agency Overall","2012","0","0"
"Securities and Exchange Commission","Agency Overall","2012","19","11"
"National Indian Gaming Commission","Agency Overall","2012","0","0"
"Federal Housing Finance Agency","Agency Overall","2012","0","0"
"Administrative Conference of the United States","Agency Overall","2012","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2012","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2012","0","0"
"National Endowment for the Humanities","Agency Overall","2012","1","0"
"National Mediation Board","Agency Overall","2012","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2012","0","1"
"Department of Education","Agency Overall","2012","39","27"
"Office of Personnel Management","Agency Overall","2012","8","4"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2012","0","0"
"National Endowment for the Arts","Agency Overall","2012","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2012","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2012","2","0"
"United States Postal Service","Agency Overall","2012","1","5"
"Selective Service System","Agency Overall","2012","0","0"
"Federal Trade Commission","Agency Overall","2012","3","0"
"Small Business Administration","Agency Overall","2012","0","0"
"Federal Communications Commission","Agency Overall","2012","9","9"
"General Services Administration","Agency Overall","2012","3","4"
"Department of Health and Human Services","Agency Overall","2012","104","274"
"Department of Labor","Agency Overall","2012","87","139"
"United States Trade and Development Agency","Agency Overall","2012","0","0"
"All agencies","Agency Overall","2012","3008","3119"
