"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"United States International Boundary and Water Commission","Agency Overall","2012","","","","","","","","","","","","","",""
"Export-Import Bank of the U.S.","Agency Overall","2012","","","","","","","","","","","","","",""
"Department of Energy","Agency Overall","2012","7","4","46","242","106","266","9","4","24","7","6","2","0","1"
"Office of Management and Budget","Agency Overall","2012","1","12","0","3","44","31","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2012","","","","","","","","","","","","","",""
"National Science Foundation","Agency Overall","2012","","","","","","","","","","","","","",""
"Overseas Private Investment Corporation","Agency Overall","2012","","","","","","","","","","","","","",""
"Federal Reserve System","Agency Overall","2012","0","0","5","69","49","77","4","1","0","1","2","0","64","0"
"Peace Corps","Agency Overall","2012","0","0","0","1","2","17","1","0","4","0","2","1","0","0"
"Millennium Challenge Corporation","Agency Overall","2012","0","0","0","2","1","8","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2012","","","","","","","","","","","","","",""
"U.S. Railroad Retirement Board","Agency Overall","2012","","","","","","","","","","","","","",""
"Occupational Safety and Health Review Commission","Agency Overall","2012","0","0","0","8","2","19","2","0","2","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2012","1","3","33","115","53","95","8","","24","2","7","8","",""
"U.S. Department of State","Agency Overall","2012","","","","","","","","","","","","","",""
"Surface Transportation Board","Agency Overall","2012","0","1","0","1","0","3","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2012","0","0","2","27","20","33","1","0","1","0","2","0","31","0"
"Office of National Drug Control Policy","Agency Overall","2012","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2012","0","0","5362","41","12779","2876","1659","1","6314","124","2","0","0","0"
"National Transportation Safety Board","Agency Overall","2012","0","13","7","13","60","28","42","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012","","","","","","","","","","","","","",""
"Farm Credit Administration","Agency Overall","2012","0","0","1","1","2","2","0","0","0","0","0","0","4","0"
"Legal Services Corporation","Agency Overall","2012","","","","","","","","","","","","","",""
"Nuclear Regulatory Commission","Agency Overall","2012","0","2","3","27","22","48","12","0","27","0","3","7","0","0"
"Department of Justice","Agency Overall","2012","","","","","","","","","","","","","",""
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","0","0","3","0","7","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2012","0","2","2","0","5","15","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2012","0","556","76","28","98","987","12","0","41","6","577","3","0","0"
"Department of Agriculture","Agency Overall","2012","","","","","","","","","","","","","",""
"U.S. Agency for Global Media","Agency Overall","2012","0","0","3","4","4","14","0","0","0","0","1","0","0","0"
"Department of Veterans Affairs","Agency Overall","2012","","","","","","","","","","","","","",""
"Postal Regulatory Commission","Agency Overall","2012","0","0","0","0","1","3","0","0","0","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2012","0","0","13","35","27","40","13","0","1","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2012","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2012","5","97","2769","177","657","799","383","8","1179","85","1161","18","182","0"
"Department of Homeland Security","Agency Overall","2012","","","","","","","","","","","","","",""
"Central Intelligence Agency","Agency Overall","2012","","","","","","","","","","","","","",""
"Merit Systems Protection Board","Agency Overall","2012","","","","","","","","","","","","","",""
"National Archives and Records Administration","Agency Overall","2012","178","64","155","22","45","180","4","0","83","52","70","5","0","0"
"Department of Defense","Agency Overall","2012","2390","681","3276","1395","2331","13604","1072","82","7539","361","360","2476","1","14"
"Environmental Protection Agency","Agency Overall","2012","","","","","","","","","","","","","",""
"National Railroad Passenger Corporation","Agency Overall","2012","0","2","0","9","20","35","6","0","15","0","1","0","0","0"
"Department of Commerce","Agency Overall","2012","","","","","","","","","","","","","",""
"National Labor Relations Board","Agency Overall","2012","","18","","12","144","253","182","","239","164","2","2","",""
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2012","0","1","0","2","5","2","3","0","3","0","0","1","0","0"
"Department of the Interior","Agency Overall","2012","","","","","","","","","","","","","",""
"Armed Forces Retirement Home","Agency Overall","2012","0","0","1","1","1","2","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2012","","","","","","","","","","","","","",""
"National Indian Gaming Commission","Agency Overall","2012","0","0","0","4","3","4","0","0","1","0","1","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2012","","","","","","","","","","","","","",""
"Administrative Conference of the United States","Agency Overall","2012","","","","","","","","","","","","","",""
"Defense Nuclear Facilities Safety Board","Agency Overall","2012","","","","","","","","","","","","","",""
"Recovery Accountability and Transparency Board","Agency Overall","2012","","","","","","","","","","","","","",""
