"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Federal Mine Safety and Health Review Commission","Agency Overall","2012","8","3","0","0","0","0","0","0","0","0","0","0","0","11"
"United States International Boundary and Water Commission","Agency Overall","2012","1","5","0","1","0","0","0","0","0","0","0","0","0","7"
"Consumer Product Safety Commission","Agency Overall","2012","116","88","56","71","63","61","49","28","25","17","50","13","17","654"
"Export-Import Bank of the U.S.","Agency Overall","2012","0","1","1","1","3","0","0","1","2","0","4","4","2","19"
"Department of Energy","Agency Overall","2012","118","94","65","41","19","21","18","11","12","6","44","14","33","496"
"United States International Trade Commission","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2012","4","0","1","1","0","0","0","0","0","0","0","0","0","6"
"National Science Foundation","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2012","198","101","45","48","25","21","10","22","7","18","32","2","2","531"
"Peace Corps","Agency Overall","2012","0","0","0","0","0","0","0","2","1","1","2","1","1","8"
"Federal Mediation and Conciliation Service","Agency Overall","2012","19","0","0","0","0","0","0","0","0","0","0","0","0","19"
"Millennium Challenge Corporation","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2012","0","2","0","0","0","0","0","1","0","0","0","0","0","3"
"U.S. Railroad Retirement Board","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2012","0","2","0","0","0","0","0","0","0","0","0","0","0","2"
"U.S. Agency for International Development","Agency Overall","2012","27","18","21","21","11","8","6","8","5","4","16","18","67","230"
"National Aeronautics and Space Administration","Agency Overall","2012","296","84","47","16","11","6","3","0","0","1","6","1","6","477"
"Federal Open Market Committee","Agency Overall","2012","0","2","1","0","1","0","0","2","0","0","0","0","0","6"
"U.S. Department of State","Agency Overall","2012","8","22","16","30","28","69","54","59","57","49","327","225","1109","2053"
"Surface Transportation Board","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2012","2","2","6","1","0","2","0","0","0","2","6","5","0","26"
"Office of National Drug Control Policy","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2012","54","32","7","11","1","1","4","3","5","1","17","13","6","155"
"Office of Science and Technology Policy","Agency Overall","2012","7","2","4","1","2","0","0","0","0","0","0","0","0","16"
"Federal Financial Institutions Examination Council","Agency Overall","2012","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Federal Election Commission","Agency Overall","2012","3","3","0","1","1","0","0","1","0","0","4","1","0","14"
"Federal Energy Regulatory Commission","Agency Overall","2012","16","13","1","0","0","0","0","0","0","0","2","0","3","35"
"Council on Environmental Quality","Agency Overall","2012","2","2","2","2","6","2","1","3","3","0","0","0","0","23"
"National Capital Planning Commission","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2012","0","3","0","0","0","0","0","0","0","0","0","0","0","3"
"Department of Transportation","Agency Overall","2012","720","703","639","186","72","48","30","44","28","22","63","35","50","2640"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2012","8","4","0","0","1","0","1","0","0","0","1","1","3","19"
"Farm Credit Administration","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2012","1","3","0","0","0","0","0","0","0","0","0","0","0","4"
"Nuclear Regulatory Commission","Agency Overall","2012","88","33","12","7","9","3","6","2","2","3","7","2","1","175"
"Department of Justice","Agency Overall","2012","2849","1827","1105","698","510","395","300","267","226","151","583","349","478","9738"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2012","111","110","64","51","28","15","15","15","0","6","13","0","0","428"
