"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Department of Veterans Affairs","Agency Overall","2022","15333","1895","386","311","226","89","31","20","12","9","32","21","111","18476"
"Central Intelligence Agency","Agency Overall","2022","195","4","0","0","0","0","0","0","2","0","0","0","0","201"
"Commission of Fine Arts","Agency Overall","2022","4","7","0","0","0","0","0","0","0","0","0","0","0","11"
"National Science Foundation","Agency Overall","2022","26","7","0","6","2","1","0","1","0","1","4","3","0","51"
"Department of Justice","Agency Overall","2022","17134","3613","2905","1092","1663","1839","1297","991","1194","1259","4783","3379","3711","44860"
"Federal Maritime Commission","Agency Overall","2022","8","5","8","4","0","0","0","0","0","0","0","0","0","25"
"Advisory Council on Historic Preservation","Agency Overall","2022","0","0","10","0","0","0","0","0","0","0","0","0","0","10"
"General Services Administration","Agency Overall","2022","489","1","0","0","0","0","0","0","0","0","0","0","0","490"
"Occupational Safety and Health Review Commission","Agency Overall","2022","84","0","0","0","0","0","0","0","0","0","0","0","0","84"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","22","9","3","1","0","0","0","2","0","0","0","0","0","37"
"Office of Science and Technology Policy","Agency Overall","2022","13","3","1","3","1","0","0","0","0","0","0","0","13","34"
"United States Trade and Development Agency","Agency Overall","2022","5","2","2","1","0","2","2","1","0","0","1","0","0","16"
"National Aeronautics and Space Administration","Agency Overall","2022","266","36","10","0","0","0","0","0","0","0","0","0","0","312"
"Court Services and Offender Supervision Agency","Agency Overall","2022","109","0","0","0","0","0","0","0","0","0","0","0","0","109"
"Federal Mediation and Conciliation Service","Agency Overall","2022","50","2","0","0","0","0","0","0","0","0","0","0","0","52"
"Marine Mammal Commission","Agency Overall","2022","6","1","0","0","0","0","0","0","0","0","0","0","0","7"
"Appraisal Subcommittee","Agency Overall","2022","13","1","0","0","0","0","0","0","0","0","0","0","0","14"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","7","1","0","0","0","0","0","0","0","0","0","0","0","8"
"Office of Management and Budget","Agency Overall","2022","61","21","14","9","11","8","7","4","3","4","27","10","57","236"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","23","20","11","3","1","1","1","0","0","0","3","1","1","65"
"Federal Housing Finance Agency","Agency Overall","2022","47","7","3","0","0","0","1","1","0","0","1","0","0","60"
"United States Postal Service","Agency Overall","2022","2767","287","61","34","16","10","12","10","14","4","31","17","11","3274"
"Department of the Interior","Agency Overall","2022","1860","551","253","146","101","72","59","64","51","35","176","107","406","3881"
"Tennessee Valley Authority","Agency Overall","2022","1","108","17","0","0","0","0","0","0","0","0","0","0","126"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2022","12","6","1","0","1","0","0","0","3","0","0","0","0","23"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","22","2","0","0","0","0","0","0","0","0","0","0","0","24"
"Presidio Trust","Agency Overall","2022","3","1","0","0","0","0","0","0","0","0","0","0","0","4"
"Export-Import Bank of the U.S.","Agency Overall","2022","34","8","2","0","0","0","0","0","1","1","0","0","2","48"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","0","0","1","0","1","0","0","0","0","0","0","0","0","2"
"U.S. Department of State","Agency Overall","2022","946","89","14","8","16","11","7","8","7","7","18","19","55","1205"
"Farm Credit Administration","Agency Overall","2022","31","6","0","0","0","0","0","0","0","0","0","0","0","37"
"U.S. Commission on Civil Rights","Agency Overall","2022","39","3","1","1","0","0","0","0","0","0","0","0","0","44"
"Social Security Administration","Agency Overall","2022","10266","924","65","24","7","7","4","2","2","3","10","5","1","11320"
"National Indian Gaming Commission","Agency Overall","2022","43","0","0","0","0","0","0","0","0","0","0","0","0","43"
"United States African Development Foundation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2022","17","0","0","0","0","0","0","0","0","0","0","0","0","17"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2022","16","8","1","2","0","0","0","0","0","1","0","1","0","29"
"U.S. Election Assistance Commission","Agency Overall","2022","40","3","3","2","1","1","0","0","0","0","1","3","5","59"
"Federal Deposit Insurance Corporation","Agency Overall","2022","171","35","9","4","1","0","0","0","0","0","0","0","0","220"
"Office of National Drug Control Policy","Agency Overall","2022","38","3","0","0","0","0","0","0","0","0","0","0","0","41"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2022","13","2","0","0","0","0","0","0","0","0","0","0","0","15"
"Council on Environmental Quality","Agency Overall","2022","22","27","6","8","1","0","3","1","2","1","2","0","3","76"
"Merit Systems Protection Board","Agency Overall","2022","81","6","0","0","0","0","0","0","0","0","0","0","0","87"
"Office of Special Counsel","Agency Overall","2022","34","18","9","8","0","0","0","0","0","1","0","0","0","70"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2022","3","5","0","0","0","0","0","0","0","0","0","0","0","8"
"Peace Corps","Agency Overall","2022","43","12","8","5","3","2","2","3","2","1","1","1","15","98"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","11","0","0","0","0","0","0","0","0","0","0","0","0","11"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","5","0","0","0","0","0","0","0","0","0","0","0","0","5"
"Federal Trade Commission","Agency Overall","2022","883","26","4","2","1","0","0","0","0","0","0","0","0","916"
"Department of Labor","Agency Overall","2022","5395","646","260","145","139","83","72","46","44","37","101","38","28","7034"
"Federal Communications Commission","Agency Overall","2022","328","58","11","11","3","0","1","0","0","0","1","0","0","413"
"James Madison Memorial Fellowship Foundation","Agency Overall","2022","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Nuclear Regulatory Commission","Agency Overall","2022","73","19","5","4","3","2","1","0","0","0","1","0","0","108"
"U.S. Interagency Council on Homelessness","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2022","21","0","0","0","0","0","0","0","0","0","0","0","0","21"
"Institute of Museum and Library Services","Agency Overall","2022","21","1","0","0","0","0","0","0","0","0","0","0","0","22"
"National Labor Relations Board","Agency Overall","2022","1278","160","30","14","9","4","3","0","0","1","1","0","0","1500"
"Denali Commission","Agency Overall","2022","7","0","0","0","0","0","0","0","0","0","0","0","0","7"
"Federal Reserve System","Agency Overall","2022","175","6","0","0","0","0","0","0","0","0","0","0","0","181"
"Inter-American Foundation","Agency Overall","2022","8","0","0","0","0","0","0","0","0","0","0","0","0","8"
"Neighborhood Reinvestment Corporation","Agency Overall","2022","2","4","0","0","0","0","0","0","0","0","0","0","0","6"
"National Transportation Safety Board","Agency Overall","2022","140","50","30","21","10","3","0","1","2","0","4","4","1","266"
"Federal Financial Institutions Examination Council","Agency Overall","2022","8","0","0","0","0","0","0","0","0","0","0","0","0","8"
"National Archives and Records Administration","Agency Overall","2022","3925","1611","1021","572","708","549","470","290","269","298","1453","1110","1623","13899"
"Selective Service System","Agency Overall","2022","48","0","0","0","0","0","0","0","0","0","0","0","0","48"
"United States Copyright Office","Agency Overall","2022","28","3","0","1","0","0","0","0","0","0","0","0","0","32"
"Department of Transportation","Agency Overall","2022","10950","2014","614","627","638","328","212","150","118","180","644","190","249","16914"
"Office of the Director of National Intelligence","Agency Overall","2022","212","1","1","0","0","0","0","0","0","0","0","0","2","216"
"Social Security Advisory Board","Agency Overall","2022","10","0","0","0","0","0","0","0","0","0","0","0","0","10"
"National Capital Planning Commission","Agency Overall","2022","4","0","0","0","0","0","0","0","0","0","0","0","0","4"
"Pension Benefit Guaranty Corporation","Agency Overall","2022","2113","223","37","0","0","0","0","0","0","0","0","0","0","2373"
"Department of Agriculture","Agency Overall","2022","13467","671","271","166","109","86","57","45","32","35","95","172","277","15483"
"Farm Credit System Insurance Corporation","Agency Overall","2022","16","2","0","0","0","0","0","0","0","0","0","0","0","18"
"Department of Housing and Urban Development","Agency Overall","2022","750","220","80","41","24","7","14","18","10","20","72","34","83","1373"
"Department of Energy","Agency Overall","2022","440","168","48","45","26","11","19","5","12","10","16","4","7","811"
"Department of Health and Human Services","Agency Overall","2022","9842","680","267","116","63","45","28","46","29","32","75","41","266","11530"
"Office of Personnel Management","Agency Overall","2022","117","64","32","27","25","14","8","3","5","7","9","5","13","329"
"Defense Nuclear Facilities Safety Board","Agency Overall","2022","7","3","1","0","1","0","0","0","0","1","0","0","0","13"
"National Council on Disability","Agency Overall","2022","9","1","0","0","0","0","0","0","0","0","0","0","0","10"
"Small Business Administration","Agency Overall","2022","4088","440","106","64","34","38","29","26","167","190","751","137","29","6099"
"Armed Forces Retirement Home","Agency Overall","2022","6","1","0","0","0","0","0","0","0","0","0","0","0","7"
"Office of the United States Trade Representative","Agency Overall","2022","43","9","4","1","1","0","0","0","0","0","0","0","0","58"
"Consumer Product Safety Commission","Agency Overall","2022","74","7","1","1","2","1","0","2","2","2","3","0","12","107"
"Department of Defense","Agency Overall","2022","20010","1046","350","140","83","39","33","43","42","29","86","59","232","22192"
"Federal Election Commission","Agency Overall","2022","39","2","0","0","0","0","0","0","0","0","0","0","0","41"
"Equal Employment Opportunity Commission","Agency Overall","2022","10504","1487","125","45","21","12","5","1","2","2","5","2","5","12216"
"Federal Open Market Committee","Agency Overall","2022","24","0","0","0","0","0","0","0","0","0","0","0","0","24"
"Environmental Protection Agency","Agency Overall","2022","2010","557","166","107","65","38","34","22","13","7","33","23","50","3125"
"U.S. Railroad Retirement Board","Agency Overall","2022","48","9","2","2","0","0","0","0","0","0","1","0","0","62"
"Administrative Conference of the United States","Agency Overall","2022","27","0","0","0","0","0","0","0","0","0","0","0","0","27"
"Commodity Futures Trading Commission","Agency Overall","2022","47","6","3","2","2","2","0","1","0","0","1","0","0","64"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","1","0","1","2"
"Postal Regulatory Commission","Agency Overall","2022","40","2","1","0","0","0","0","0","0","0","0","0","0","43"
"United States Access Board","Agency Overall","2022","9","1","0","0","0","0","0","0","0","0","0","0","1","11"
"Department of Education","Agency Overall","2022","845","1","0","1","0","0","0","0","0","0","0","0","0","847"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","0","0","2","0","1","0","0","0","0","0","0","0","0","3"
"National Mediation Board","Agency Overall","2022","17","2","0","0","0","0","0","0","0","0","0","0","0","19"
"U.S. International Development Finance Corporation","Agency Overall","2022","11","7","1","0","0","2","0","0","1","0","1","7","0","30"
"United States Institute of Peace","Agency Overall","2022","1","0","1","0","0","1","0","0","0","0","1","0","0","4"
"Securities and Exchange Commission","Agency Overall","2022","7579","0","0","0","0","0","0","0","0","0","0","0","0","7579"
"American Battle Monuments Commission","Agency Overall","2022","22","1","0","0","0","0","0","0","0","0","0","0","0","23"
"United States International Boundary and Water Commission","Agency Overall","2022","17","6","2","1","1","0","1","0","0","2","0","0","0","30"
"National Endowment for the Humanities","Agency Overall","2022","40","0","0","0","0","0","0","0","0","0","0","0","0","40"
"Federal Energy Regulatory Commission","Agency Overall","2022","8","8","3","0","0","0","0","0","0","0","0","1","0","20"
"Legal Services Corporation","Agency Overall","2022","16","11","2","0","0","0","0","0","0","0","0","0","0","29"
"Consumer Financial Protection Bureau","Agency Overall","2022","226","14","0","0","0","0","0","0","0","0","0","0","0","240"
"Department of Commerce","Agency Overall","2022","565","199","89","33","28","20","31","26","33","21","49","22","56","1172"
"U.S. Agency for International Development","Agency Overall","2022","0","0","0","2","0","0","0","0","0","0","2","0","0","4"
"Surface Transportation Board","Agency Overall","2022","66","1","0","0","0","0","0","0","0","0","0","0","0","67"
"Department of the Treasury","Agency Overall","2022","1832","114","30","15","8","7","8","6","7","4","12","9","16","2068"
"National Endowment for the Arts","Agency Overall","2022","17","16","1","0","0","0","0","0","0","0","0","0","0","34"
"Department of Homeland Security","Agency Overall","2022","112024","0","0","0","0","0","0","0","0","0","0","0","0","112024"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2022","69","9","7","3","0","0","0","2","2","1","1","1","1","96"
"Federal Mine Safety and Health Review Commission","Agency Overall","2022","31","3","0","0","0","0","0","0","0","0","0","0","0","34"
"National Railroad Passenger Corporation","Agency Overall","2022","12","43","20","6","4","5","4","2","2","0","1","9","7","115"
"Federal Labor Relations Authority","Agency Overall","2022","60","30","8","1","1","0","0","0","0","0","0","0","0","100"
"All agencies","Agency Overall","2022","261124","18402","7440","3888","4062","3340","2456","1843","2085","2206","8510","5435","7350","328141"
