"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Department of Veterans Affairs","Agency Overall","2022","5429","9486","3693","2072","147","208","148","1070","365","27","206","1492","24343"
"Central Intelligence Agency","Agency Overall","2022","139","255","725","196","6","105","1","214","370","3","44","37","2095"
"Commission of Fine Arts","Agency Overall","2022","2","2","0","7","0","0","0","6","0","0","0","0","17"
"National Science Foundation","Agency Overall","2022","22","125","6","14","11","16","0","0","8","0","0","0","202"
"Department of Justice","Agency Overall","2022","25157","9260","3043","17138","367","1774","88","883","20052","465","3226","1415","82868"
"Federal Maritime Commission","Agency Overall","2022","5","11","0","20","0","1","0","0","0","1","0","0","38"
"Advisory Council on Historic Preservation","Agency Overall","2022","10","1","0","3","0","0","0","2","7","14","0","0","37"
"General Services Administration","Agency Overall","2022","250","546","23","166","8","168","47","51","6","39","56","0","1360"
"Occupational Safety and Health Review Commission","Agency Overall","2022","16","11","0","14","0","49","0","2","0","0","0","0","92"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","9","12","1","15","0","2","0","0","7","0","1","0","47"
"Office of Science and Technology Policy","Agency Overall","2022","6","45","0","10","0","1","0","2","0","0","1","0","65"
"United States Trade and Development Agency","Agency Overall","2022","10","3","0","3","0","0","0","0","0","0","0","0","16"
"National Aeronautics and Space Administration","Agency Overall","2022","125","215","33","115","23","35","50","104","83","11","127","61","982"
"Court Services and Offender Supervision Agency","Agency Overall","2022","11","110","3","108","0","6","1","1","29","0","10","0","279"
"Federal Mediation and Conciliation Service","Agency Overall","2022","13","10","3","14","0","11","0","1","0","1","0","0","53"
"Marine Mammal Commission","Agency Overall","2022","3","0","0","4","0","0","0","3","0","0","0","0","10"
"Appraisal Subcommittee","Agency Overall","2022","5","1","0","6","0","0","0","2","0","2","0","0","16"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","0","0","0","0","4","0","0","0","0","4","0","0","8"
"Office of Management and Budget","Agency Overall","2022","22","61","0","77","3","64","0","13","0","83","0","0","323"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","1","0","0","2","0","0","0","0","0","0","0","0","3"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","1","1","9","54","0","2","0","18","7","0","202","0","294"
"Federal Housing Finance Agency","Agency Overall","2022","8","25","1","38","0","0","0","0","0","1","0","0","73"
"United States Postal Service","Agency Overall","2022","467","700","653","452","672","148","65","158","432","116","123","0","3986"
"Department of the Interior","Agency Overall","2022","1608","1584","155","1059","38","658","75","128","160","41","270","406","6182"
"Tennessee Valley Authority","Agency Overall","2022","62","83","13","33","0","11","6","3","1","3","2","0","217"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","2","0","0","2","0","0","0","0","0","0","0","0","4"
"Millennium Challenge Corporation","Agency Overall","2022","4","6","3","9","0","0","0","0","0","1","0","0","23"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","0","0","0","23","0","0","0","12","4","0","0","0","39"
