"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"Department of Veterans Affairs","Agency Overall","2022","20","0","42","164","226"
"Central Intelligence Agency","Agency Overall","2022","101","26","4","40","171"
"Commission of Fine Arts","Agency Overall","2022","0","0","0","0","0"
"National Science Foundation","Agency Overall","2022","4","1","0","0","5"
"Department of Justice","Agency Overall","2022","1268","103","254","501","2126"
"Federal Maritime Commission","Agency Overall","2022","0","0","0","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2022","1","0","0","0","1"
"General Services Administration","Agency Overall","2022","15","4","1","8","28"
"Occupational Safety and Health Review Commission","Agency Overall","2022","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2022","2","1","0","0","3"
"United States Trade and Development Agency","Agency Overall","2022","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2022","3","1","1","6","11"
"Court Services and Offender Supervision Agency","Agency Overall","2022","0","1","0","0","1"
"Federal Mediation and Conciliation Service","Agency Overall","2022","3","0","0","0","3"
"Marine Mammal Commission","Agency Overall","2022","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2022","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2022","0","1","1","8","10"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2022","0","1","2","0","3"
"United States Postal Service","Agency Overall","2022","106","13","23","34","176"
"Department of the Interior","Agency Overall","2022","35","17","56","165","273"
"Tennessee Valley Authority","Agency Overall","2022","9","0","0","1","10"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2022","1","1","0","0","2"
