"Agency","Component","Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of Start of the Fiscal Year","Number of Consultations Received from Other Agencies During the Fiscal Year","Number of Consultations Received from Other Agencies that were Processed by the Agency During the Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of End of the Fiscal Year"
"Department of Veterans Affairs","Agency Overall","2022","3","10","11","2"
"Central Intelligence Agency","Agency Overall","2022","191","250","249","192"
"Commission of Fine Arts","Agency Overall","2022","0","1","1","0"
"National Science Foundation","Agency Overall","2022","1","12","10","3"
"Department of Justice","Agency Overall","2022","614","2100","2015","699"
"Federal Maritime Commission","Agency Overall","2022","0","2","1","1"
"Advisory Council on Historic Preservation","Agency Overall","2022","0","0","0","0"
"General Services Administration","Agency Overall","2022","12","83","95","0"
"Occupational Safety and Health Review Commission","Agency Overall","2022","0","3","3","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","0","2","2","0"
"Office of Science and Technology Policy","Agency Overall","2022","0","77","77","0"
"United States Trade and Development Agency","Agency Overall","2022","0","4","4","0"
"National Aeronautics and Space Administration","Agency Overall","2022","0","29","28","1"
"Court Services and Offender Supervision Agency","Agency Overall","2022","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2022","0","1","1","0"
"Marine Mammal Commission","Agency Overall","2022","0","4","4","0"
"Appraisal Subcommittee","Agency Overall","2022","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","0","0","0","0"
"Office of Management and Budget","Agency Overall","2022","33","231","250","14"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2022","0","2","2","0"
"United States Postal Service","Agency Overall","2022","1","31","31","1"
"Department of the Interior","Agency Overall","2022","22","127","136","13"
"Tennessee Valley Authority","Agency Overall","2022","0","7","7","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2022","0","2","2","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","0","0","0","0"
"Presidio Trust","Agency Overall","2022","0","1","1","0"
"Export-Import Bank of the U.S.","Agency Overall","2022","0","7","6","1"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","0","0","0","0"
"U.S. Department of State","Agency Overall","2022","168","192","172","188"
"Farm Credit Administration","Agency Overall","2022","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2022","0","0","0","0"
"Social Security Administration","Agency Overall","2022","0","15","14","1"
"National Indian Gaming Commission","Agency Overall","2022","0","0","0","0"
"United States African Development Foundation","Agency Overall","2022","0","0","0","0"
"National Credit Union Administration","Agency Overall","2022","0","1","1","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2022","0","1","1","0"
"U.S. Election Assistance Commission","Agency Overall","2022","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2022","1","12","12","1"
"Office of National Drug Control Policy","Agency Overall","2022","0","8","7","1"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2022","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2022","9","84","92","1"
"Merit Systems Protection Board","Agency Overall","2022","0","3","3","0"
"Office of Special Counsel","Agency Overall","2022","0","9","9","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2022","0","1","1","0"
"Peace Corps","Agency Overall","2022","0","10","9","1"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","0","9","9","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","0","0","0","0"
"Federal Trade Commission","Agency Overall","2022","0","8","8","0"
"Department of Labor","Agency Overall","2022","5","35","33","7"
"Federal Communications Commission","Agency Overall","2022","0","10","9","1"
"James Madison Memorial Fellowship Foundation","Agency Overall","2022","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2022","1","12","11","2"
"U.S. Interagency Council on Homelessness","Agency Overall","2022","0","0","0","0"
"United States International Trade Commission","Agency Overall","2022","0","2","2","0"
"Institute of Museum and Library Services","Agency Overall","2022","0","1","1","0"
"National Labor Relations Board","Agency Overall","2022","0","0","0","0"
"Denali Commission","Agency Overall","2022","0","0","0","0"
"Federal Reserve System","Agency Overall","2022","3","13","16","0"
"Inter-American Foundation","Agency Overall","2022","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2022","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2022","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2022","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2022","6","19","25","0"
"Selective Service System","Agency Overall","2022","0","4","4","0"
"United States Copyright Office","Agency Overall","2022","0","0","0","0"
"Department of Transportation","Agency Overall","2022","36","75","70","41"
"Office of the Director of National Intelligence","Agency Overall","2022","7","109","99","17"
"Social Security Advisory Board","Agency Overall","2022","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2022","0","2","2","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2022","0","3","3","0"
"Department of Agriculture","Agency Overall","2022","43","178","203","18"
"Farm Credit System Insurance Corporation","Agency Overall","2022","0","0","0","0"
