"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Department of Veterans Affairs","Agency Overall","2022","1667","535","203","706","827","254","27","17","15","22","26","21","97","4417"
"Central Intelligence Agency","Agency Overall","2022","11","87","58","73","89","40","71","65","97","54","75","44","390","1154"
"Commission of Fine Arts","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2022","28","27","21","16","2","11","7","3","3","2","7","3","13","143"
"Department of Justice","Agency Overall","2022","4722","2191","973","657","489","387","334","303","268","211","905","741","4179","16360"
"Federal Maritime Commission","Agency Overall","2022","0","1","2","0","0","0","1","2","0","0","6","0","0","12"
"Advisory Council on Historic Preservation","Agency Overall","2022","0","0","0","10","0","0","0","0","0","0","0","0","0","10"
"General Services Administration","Agency Overall","2022","0","263","91","46","38","35","19","13","11","9","44","18","191","778"
"Occupational Safety and Health Review Commission","Agency Overall","2022","0","3","0","0","0","0","0","0","0","0","0","0","0","3"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2022","5","2","1","0","1","0","0","0","0","1","2","0","9","21"
"United States Trade and Development Agency","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2022","139","82","49","20","12","16","2","6","1","3","7","1","0","338"
"Court Services and Offender Supervision Agency","Agency Overall","2022","140","0","0","0","0","0","0","0","0","0","0","0","0","140"
"Federal Mediation and Conciliation Service","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
