"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"Department of Veterans Affairs","Agency Overall","2022","533","0","0","221","0","0","8","0","0"
"Central Intelligence Agency","Agency Overall","2022","167","457","648.76","2996","414","596.28","5","495","463.4"
"Commission of Fine Arts","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Science Foundation","Agency Overall","2022","144","341","517","356","479","537","4","659","864"
"Department of Justice","Agency Overall","2022","49255","203","224.96","19861","397","481.18","693","375","480.43"
"Federal Maritime Commission","Agency Overall","2022","4","16.5","33.25","8","109.5","134.12","0","N/A","N/A"
"Advisory Council on Historic Preservation","Agency Overall","2022","0","N/A","N/A","1","1","387","0","n/a","n/a"
"General Services Administration","Agency Overall","2022","103","81","138.2","195","153.0","257.98","19","121","293.35"
"Occupational Safety and Health Review Commission","Agency Overall","2022","1","6","6","1","6","6","1","29","29"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","3","69","75","0","N/A","N/A","0","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2022","70","486.5","497.39","74","39.5","352.26","13","43","203.31"
"United States Trade and Development Agency","Agency Overall","2022","49","600","717","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2022","33","14","29.48","39","57","78.41","0","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2022","3","7","6","8","5","6","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2022","4","12","11","0","N/A","N/A","0","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2022","1","56","56","4","196","246","0","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of Management and Budget","Agency Overall","2022","436","397","395","166","997","999","8","281","271"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","67","453","521","2","603","603","1","394","394"
"Federal Housing Finance Agency","Agency Overall","2022","6","198.5","187","31","197","231","0","N/A","N/A"
"United States Postal Service","Agency Overall","2022","155","22","96","40","253","237","3","361","373"
"Department of the Interior","Agency Overall","2022","2979","222","335.05","2149","557","594.57","41","808","679.07"
"Tennessee Valley Authority","Agency Overall","2022","6","6.5","8","20","111.5","105","0","N/A","N/A"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2022","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","2","363","363","8","1316","1229","3","567","1016"
"Presidio Trust","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2022","8","66.5","82","10","338.5","414","0","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","0","N/A","N/A","30","340","266.7","0","N/A","N/A"
"U.S. Department of State","Agency Overall","2022","1681","260","400","18234","650","780","262","710","700"
"Farm Credit Administration","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2022","0","N/A","N/A","0","7","7","0","N/A","N/A"
"Social Security Administration","Agency Overall","2022","480","3","14","157","60","98","0","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2022","0","N/A","N/a","3","133","221","0","N/A","N/A"
"United States African Development Foundation","Agency Overall","2022","1","2","2","0","N/A","N/A","0","N/A","N/A"
"National Credit Union Administration","Agency Overall","2022","2","9","9","4","9.5","9.75","0","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2022","6","26","29","0","N/A","N/A","0","N/A","N/A"
"U.S. Election Assistance Commission","Agency Overall","2022","188","59","170","17","318","371","5","501","498"
"Federal Deposit Insurance Corporation","Agency Overall","2022","20","17.00","20.50","14","15.00","72.43","1","662.00","662.00"
"Office of National Drug Control Policy","Agency Overall","2022","1","8","8","8","381","512","0","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2022","22","146.50","330.27","21","486","542.43","N/A","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2022","15","56","100.6","48","472.5","542.63","0","N/A","N/A"
"Office of Special Counsel","Agency Overall","2022","3","8","19","7","11","48","0","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Peace Corps","Agency Overall","2022","80","77","178.8","31","348","458","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","0","N/A","N/A","24","215","240","0","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Trade Commission","Agency Overall","2022","29","9","16","38","33","34","2","23","23"
