"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Department of Veterans Affairs","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-09-22","6","2022-04-04","130","2022-06-07","175","2021-12-20","385","2021-10-28","397"
"Central Intelligence Agency","Agency Overall","2022","2017-08-01","1295","2017-07-13","1308","2017-07-11","1310","2017-06-27","1319","2017-06-15","1327","2017-05-30","1339","2017-03-02","1401","2019-11-08","1477","2015-12-22","1699","2015-11-25","1717"
"Commission of Fine Arts","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Science Foundation","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2021-12-13","201","2021-12-03","207","2021-08-06","286"
"Department of Justice","Agency Overall","2022","2018-10-23","983","2018-10-22","984","2018-10-12","990","2018-09-27","1000","2018-09-18","1007","2018-09-12","1011","2018-09-06","1015","2017-12-04","1206","2016-03-10","1642","2016-03-07","1645"
"Federal Maritime Commission","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-09-19","9"
"Advisory Council on Historic Preservation","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"General Services Administration","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Occupational Safety and Health Review Commission","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Science and Technology Policy","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Trade and Development Agency","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Aeronautics and Space Administration","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-07-06","61"
"Court Services and Offender Supervision Agency","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Mediation and Conciliation Service","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Marine Mammal Commission","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Appraisal Subcommittee","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Management and Budget","Agency Overall","2022","2022-09-26","5","2022-09-26","5","2022-09-23","6","2022-09-22","7","2022-09-22","7","2022-09-21","8","2022-09-20","9","2022-09-19","10","2022-09-19","10","2022-09-19","10"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Housing Finance Agency","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Postal Service","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-09-27","4"
"Department of the Interior","Agency Overall","2022","2022-08-11","35","2022-08-08","38","2022-08-08","38","2022-07-28","45","2022-06-09","78","2022-05-10","99","2022-05-05","102","2022-04-26","109","2022-03-29","129","2021-12-08","204"
"Tennessee Valley Authority","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Millennium Challenge Corporation","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Presidio Trust","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Export-Import Bank of the U.S.","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-07-14","55"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Department of State","Agency Overall","2022","2016-10-18","1482","2016-02-29","1643","2015-09-14","1756","2015-06-24","1812","2015-05-22","1834","2014-08-22","2020","2014-01-09","2176","2011-03-02","2891","2011-01-20","2919","2010-11-30","2953"
"Farm Credit Administration","Agency Overall","2022","N/A ","0","N/A ","0","N/A ","0","N/A ","0","N/A ","0","N/A ","0","N/A ","0","N/A ","0","N/A ","0","N/A ","0"
"U.S. Commission on Civil Rights","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
