"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Department of Veterans Affairs","Agency Overall","2022","337","366","341","226"
"Central Intelligence Agency","Agency Overall","2022","230","114","109","171"
"Commission of Fine Arts","Agency Overall","2022","0","0","0","0"
"National Science Foundation","Agency Overall","2022","8","6","8","5"
"Department of Justice","Agency Overall","2022","2614","2048","2771","2126"
"Federal Maritime Commission","Agency Overall","2022","0","0","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2022","0","1","0","1"
"General Services Administration","Agency Overall","2022","31","25","34","28"
"Occupational Safety and Health Review Commission","Agency Overall","2022","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2022","2","3","2","3"
"United States Trade and Development Agency","Agency Overall","2022","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2022","13","9","6","11"
"Court Services and Offender Supervision Agency","Agency Overall","2022","4","1","4","1"
"Federal Mediation and Conciliation Service","Agency Overall","2022","0","3","0","3"
"Marine Mammal Commission","Agency Overall","2022","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2022","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","0","0","0","0"
"Office of Management and Budget","Agency Overall","2022","4","3","4","10"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","1","1","1","0"
"Federal Housing Finance Agency","Agency Overall","2022","3","3","4","3"
"United States Postal Service","Agency Overall","2022","210","171","218","176"
"Department of the Interior","Agency Overall","2022","270","229","318","273"
"Tennessee Valley Authority","Agency Overall","2022","8","8","6","10"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2022","1","2","1","2"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","0","0","0","0"
"Presidio Trust","Agency Overall","2022","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2022","2","4","2","2"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","0","0","0","0"
