"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Department of Veterans Affairs","Agency Overall","2022","68","117","3","52.52"
"Central Intelligence Agency","Agency Overall","2022","0","0","N/A","N/A"
"Commission of Fine Arts","Agency Overall","2022","17","0","5","5"
"National Science Foundation","Agency Overall","2022","9","0","10","8.6"
"Department of Justice","Agency Overall","2022","94","827","1","18.06"
"Federal Maritime Commission","Agency Overall","2022","0","0","N/A","N/A"
"Advisory Council on Historic Preservation","Agency Overall","2022","8","0","n/a","n/a"
"General Services Administration","Agency Overall","2022","1","84","<1","3.44"
"Occupational Safety and Health Review Commission","Agency Overall","2022","0","0","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","0","0","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2022","26","0","1","1"
"United States Trade and Development Agency","Agency Overall","2022","0","0","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2022","4","45","1","16.02"
"Court Services and Offender Supervision Agency","Agency Overall","2022","3","0","2","2"
"Federal Mediation and Conciliation Service","Agency Overall","2022","1","2","5","9"
"Marine Mammal Commission","Agency Overall","2022","10","0","10","8.5"
"Appraisal Subcommittee","Agency Overall","2022","0","0","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","0","0","N/A","N/A"
"Office of Management and Budget","Agency Overall","2022","0","0","N/A","N/A"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","0","0","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","0","10","<1","10.7"
"Federal Housing Finance Agency","Agency Overall","2022","2","0","<1","<1"
"United States Postal Service","Agency Overall","2022","60","86","1","3.78"
"Department of the Interior","Agency Overall","2022","794","257","0.0","4.04"
"Tennessee Valley Authority","Agency Overall","2022","27","1","20","20.64"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","0","0","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2022","0","0","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","0","0","N/A","N/A"
"Presidio Trust","Agency Overall","2022","2","1","2","3"
"Export-Import Bank of the U.S.","Agency Overall","2022","8","0","1.5","2.5"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","0","0","N/A","N/A"
"U.S. Department of State","Agency Overall","2022","280","150","3","14.32"
"Farm Credit Administration","Agency Overall","2022","0","0","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2022","0","0","N/A","N/A"
"Social Security Administration","Agency Overall","2022","1","331","4","8"
"National Indian Gaming Commission","Agency Overall","2022","2","2","5","7"
"United States African Development Foundation","Agency Overall","2022","0","0","N/A","N/A"
"National Credit Union Administration","Agency Overall","2022","0","0","0","1.69"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2022","8","0","1","3.75"
