"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Department of Veterans Affairs","Agency Overall","2022","5","16.63","<1","1748","41","65.44","<1","1865","12","122.16","<1","613"
"Central Intelligence Agency","Agency Overall","2022","8","10.33","<1","146","178","402.4","<1","3268","341.5","341.5","56","627"
"Commission of Fine Arts","Agency Overall","2022","3","3","3","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2022","24","61.2","1","381","59","127.9","1","1431","N/A","N/A","N/A","N/A"
"Department of Justice","Agency Overall","2022","49","134.03","<1","1582","68","271.88","<1","2394","51","168.94","<1","2018"
"Federal Maritime Commission","Agency Overall","2022","36","36.68","3","80","181.5","161","35","258","148","148","148","148"
"Advisory Council on Historic Preservation","Agency Overall","2022","50","58","5","120","50","58","5","120","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2022","10","10.51","1","21","75","228.72","1","1141","165","347.93","5","1097"
"Occupational Safety and Health Review Commission","Agency Overall","2022","1","4.3","1","20","30","28","24","30","21","28.3","1","53"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","19","27","1","157","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2022","9.5","409.25","1","1252","9","426.52","2","1522","9","13.25","1","66"
"United States Trade and Development Agency","Agency Overall","2022","55","72.6","7","203","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2022","7","10.88","<1","59","28","41.58","<1","340","18","63.2","14","145"
"Court Services and Offender Supervision Agency","Agency Overall","2022","1","3","1","17","19","17","1","20","N/A","N/A","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2022","6","8.58","<1","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2022","10","11","5","21","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2022","11.5","9","2","25","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","12","6","3","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Management and Budget","Agency Overall","2022","122","225","2","704","997","981","550","1346","62","62","62","62"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","6","5","2","7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","28","54","<1","603","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2022","7.5","21.45","<1","208","196","191.92","20","357","N/A","N/A","N/A","N/A"
"United States Postal Service","Agency Overall","2022","2","16.92","<1","817","45","129.34","<1","939","2","32.3","<1","312"
"Department of the Interior","Agency Overall","2022","22.0","123.31","<1","1567","138.0","344.11","<1","1622","29.0","132.85","<1","1166"
"Tennessee Valley Authority","Agency Overall","2022","13.5","13.03","1","40","57","73.1","7","267","N/A","0","N/A","N/A"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","2","2.5","1","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2022","12","0","1","189","0","0","N/A","N/A","0","0","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","3","7","<1","33","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Presidio Trust","Agency Overall","2022","8","14","5","35","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2022","10","40.52","<1","504","62","169.21","<1","895","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","20.3","20.3","6","6","256","266.7","222","333","N/A","N/A","N/A","N/A"
"U.S. Department of State","Agency Overall","2022","6","40","<1","2024","25","115","<1","3227","13","200","2","1813"
"Farm Credit Administration","Agency Overall","2022","13","12.5","1","27","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2022","3","7","0","53","30","29","8","59","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2022","4","8","<1","434","57","88","<1","680","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2022","4","6","1","19","47","55","25","104","N/A","N/A","N/A","N/A"
"United States African Development Foundation","Agency Overall","2022","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2022","8","10.18","3","20","30","26.88","4","46","N/A","N/A","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2022","16","34.7","<1","303","49","131.5","<1","398","N/A","N/A","N/A","N/A"
"U.S. Election Assistance Commission","Agency Overall","2022","10","92","1","693","365","319","3","654","36","175","1","519"
"Federal Deposit Insurance Corporation","Agency Overall","2022","11.00","15.21","<1","90","29.00","102.09","4","723","20.00","30.08","6","72"
"Office of National Drug Control Policy","Agency Overall","2022","8","11","1","23","238","250","25","1067","N/A","N/A","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2022","12","12.3","1","39","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2022","31","63.96","5","536","397","494.21","17","1333","N/A","N/A","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2022","3","5.24","<1","31","35","249.38","1","1052","N/A","N/A","N/A","N/A"
"Office of Special Counsel","Agency Overall","2022","21","28.30","1","183","34","49.58","1","245","10","10","10","10"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2022","21","22.6","7","37","29","28.5","13","53","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2022","9.5","98","<1","691","73","196.79","3","576","<1","<1","<1","<1"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","2","1","<1","9","46","268","<1","832","N/A","N/A","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","1","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2022","3","5.44","<1","81","12","22.08","<1","239","6","11.07","<1","66"
"Department of Labor","Agency Overall","2022","13.00","49.16","<1","1112","222.00","259.46","<1","1458","8.00","12.40","<1","132"
"Federal Communications Commission","Agency Overall","2022","15.0","17.17","<1","226","63.0","109.96","24","1033","11.0","53.5","<1","965"
"James Madison Memorial Fellowship Foundation","Agency Overall","2022","8","7","1","11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2022","10","22.97","<1","265","82","194.44","<1","1094","215","215","215","215"
"U.S. Interagency Council on Homelessness","Agency Overall","2022","5","3","0","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States International Trade Commission","Agency Overall","2022","20","16.6","7","20","22","25.4","21","45","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2022","15.5","12.86","2","21","235","235","28","442","6.5","6.5","6","7"
"National Labor Relations Board","Agency Overall","2022","7","12.05","<1","300","N/A","N/A","N/A","N/A","3","6.53","<1","187"
"Denali Commission","Agency Overall","2022","3","2","1","5","N/A","0","N/A","N/A","N/A","0","N/A","N/A"
"Federal Reserve System","Agency Overall","2022","3","5","1","30","34","61","4","700","55","82","30","367"
"Inter-American Foundation","Agency Overall","2022","10","9.625","1","19","99","99","99","99","N/A","N/A","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2022","26","23","6","38","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2022","15.5","36.97","<1","422","251","232.99","<1","646","N/A","N/A","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2022","11.5","12.3","3","21","22","39.67","22","70","N/A","N/A","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2022","56","141","1","4523","547","1048","1","7094","N/A","N/A","N/A","N/A"
"Selective Service System","Agency Overall","2022","1","4","1","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Copyright Office","Agency Overall","2022","15","14","5","68","45","72","20","113","N/A","N/A","N/A","N/A"
