"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Department of Veterans Affairs","Agency Overall","2022","2022-09-30","1","2022-09-28","3","2022-01-22","189","2021-12-07","206","2021-12-01","210","2021-11-28","212","2021-11-29","212","2021-11-02","228","2021-10-07","245","2021-10-06","246"
"Central Intelligence Agency","Agency Overall","2022","2013-09-25","2260","2013-09-25","2260","2013-09-25","2260","2013-09-25","2260","2013-09-25","2260","2013-07-19","2307","2013-04-10","2377","2012-11-19","2474","2011-01-06","2693","2007-04-16","3879"
"Commission of Fine Arts","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Science Foundation","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-09-14","13"
"Department of Justice","Agency Overall","2022","2022-03-19","135","2022-03-14","140","2022-03-11","141","2022-03-10","142","2022-03-08","144","2022-03-07","145","2022-03-05","145","2022-03-03","147","2022-03-02","148","2022-03-01","149"
"Federal Maritime Commission","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Advisory Council on Historic Preservation","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"General Services Administration","Agency Overall","2022","N/A","0","2022-09-21","7","2022-09-20","8","2022-09-16","10","2022-09-15","11","2022-09-12","14","2022-09-07","17","2022-09-02","19","2022-09-02","19","2021-02-18","404"
"Occupational Safety and Health Review Commission","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Science and Technology Policy","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Trade and Development Agency","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Aeronautics and Space Administration","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","2022-07-22","49","2022-07-19","52","2021-03-03","396","2021-01-27","420","2020-11-13","466","2020-09-16","505"
"Court Services and Offender Supervision Agency","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Mediation and Conciliation Service","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Marine Mammal Commission","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Appraisal Subcommittee","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Management and Budget","Agency Overall","2022","0","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2021-03-23","383","2019-11-11","716","2017-05-01","1348"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-09-14","12"
"Federal Housing Finance Agency","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Postal Service","Agency Overall","2022","2022-09-22","7","2022-09-20","9","2022-09-20","9","2022-09-19","10","2022-09-16","11","2022-09-14","13","2022-09-14","13","2022-09-08","17","2022-09-07","18","2022-08-29","24"
"Department of the Interior","Agency Overall","2022","2017-05-24","1397","2017-04-24","1419","2017-04-24","1419","2017-04-13","1426","2017-03-15","1447","2017-02-24","1460","2017-02-15","1467","2017-01-31","1478","2016-11-21","1529","2016-10-28","1545"
"Tennessee Valley Authority","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Millennium Challenge Corporation","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Presidio Trust","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Export-Import Bank of the U.S.","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-07-28","45","2022-07-28","45"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Department of State","Agency Overall","2022","2015-06-29","1780","2015-06-29","1780","2015-06-01","1800","2015-05-25","1812","2015-05-13","1822","2015-01-23","1933","2015-01-06","1953","2014-10-29","2001","2014-10-28","2002","2013-04-18","2342"
"Farm Credit Administration","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Commission on Civil Rights","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Social Security Administration","Agency Overall","2022","2021-10-05","246","2021-09-30","249","2021-09-30","249","2021-09-24","253","2021-09-23","254","2021-09-23","254","2021-09-23","254","2021-09-23","254","2021-09-15","260","2021-03-09","392"
"National Indian Gaming Commission","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States African Development Foundation","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Credit Union Administration","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Election Assistance Commission","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Deposit Insurance Corporation","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of National Drug Control Policy","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Council on Environmental Quality","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Merit Systems Protection Board","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-08-21","1025","2018-08-21","1025"
"Office of Special Counsel","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-09-29","1"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Peace Corps","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-06-01","84"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Trade Commission","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-09-28","3","2022-09-20","9","2022-09-16","11","2022-09-07","18"
"Department of Labor","Agency Overall","2022","2017-12-04","1213","2017-09-20","1263","2017-09-20","1263","2017-07-26","1302","2017-06-12","1333","2017-06-12","1333","2017-06-05","1338","2017-05-16","1351","2017-02-06","1421","2017-01-27","1427"
