"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Department of Veterans Affairs","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Central Intelligence Agency","Agency Overall","2022","2011-05-10","2858","2011-05-09","2859","2011-05-03","2863","2011-05-03","2863","2011-04-20","2872","2011-04-13","2877","2011-01-20","2935","2010-11-03","2969","2009-01-28","3329","2009-01-28","3431"
"Commission of Fine Arts","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Science Foundation","Agency Overall","2022","2014-04-15","2097","2014-04-15","2097","2014-03-20","2115","2014-02-24","2133","2014-02-07","2143","2014-02-06","2144","2014-01-03","2166","2013-11-26","2189","2013-11-18","2195","2013-10-24","2211"
"Department of Justice","Agency Overall","2022","2013-09-17","2261","2013-09-16","2262","2013-09-03","2271","2013-08-06","2290","2013-07-23","2300","2013-07-23","2300","2013-07-10","2309","2013-07-02","2314","2013-06-14","2326","2013-03-13","2392"
"Federal Maritime Commission","Agency Overall","2022","2022-09-08","16","2022-09-07","17","2022-07-17","53","2022-06-23","69","2022-06-16","73","2022-05-20","91","2022-03-22","146","2022-01-24","173","2021-12-07","204","2021-05-12","346"
"Advisory Council on Historic Preservation","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","n/a","0","n/a","0","n/a","0","2022-02-26","150"
"General Services Administration","Agency Overall","2022","2019-03-11","887","2019-02-20","900","2019-02-08","907","2019-01-31","913","2019-01-31","913","2019-01-03","932","2018-11-29","954","2018-11-29","954","2018-11-29","954","2017-07-21","1292"
"Occupational Safety and Health Review Commission","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-09-13","6","2022-09-13","6","2022-08-09","29"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-09-06","18","2022-06-22","69","2022-03-14","140"
"Office of Science and Technology Policy","Agency Overall","2022","2018-12-04","952","2018-11-30","954","2018-11-26","958","2018-10-12","987","2018-10-11","988","2018-05-29","1082","2018-03-01","1143","2018-01-03","1182","2017-11-17","1212","2017-11-14","1215"
"United States Trade and Development Agency","Agency Overall","2022","2016-10-20","1544","2016-07-29","1603","2016-07-29","1603","2016-07-29","1603","2016-07-29","1603","2016-07-25","1606","2016-07-18","1615","2015-05-28","1911","2015-05-15","1989","2014-10-12","2008"
"National Aeronautics and Space Administration","Agency Overall","2022","2022-03-28","130","2022-03-23","133","2022-03-15","139","2022-02-22","154","2022-01-13","178","2021-12-10","202","2021-10-05","238","2021-10-08","243","2021-10-08","243","2021-07-19","292"
"Court Services and Offender Supervision Agency","Agency Overall","2022","2022-09-27","3","2022-09-27","3","2022-09-27","3","2022-09-27","3","2022-09-20","6","2022-09-21","7","2022-09-21","7","2022-09-20","8","2022-09-20","8","2022-09-08","16"
"Federal Mediation and Conciliation Service","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-09-20","8","2022-09-14","12","2022-09-14","12","2022-09-09","15"
