"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Department of Veterans Affairs","Agency Overall","2022","3","78","3222","146","1225","11200","70","30","1981","19","30","26","2","2"
"Central Intelligence Agency","Agency Overall","2022","901","3","976","5","48","207","0","0","9","1","5","0","0","0"
"Commission of Fine Arts","Agency Overall","2022","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2022","0","0","2","107","12","113","0","1","0","2","0","0","0","0"
"Department of Justice","Agency Overall","2022","420","261","2388","356","1927","9660","1231","23","8994","2023","5672","1291","5","0"
"Federal Maritime Commission","Agency Overall","2022","0","0","2","3","7","3","0","0","0","0","1","1","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2022","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2022","1","0","44","363","202","480","8","1","68","11","14","153","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2022","0","0","0","2","2","10","0","0","1","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","0","0","0","3","3","11","0","0","0","0","2","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2022","0","2","2","2","12","14","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2022","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2022","1","8","40","84","62","178","5","0","17","2","17","4","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2022","0","0","1","3","7","111","0","0","100","0","101","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2022","0","0","0","6","7","8","0","0","0","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2022","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2022","0","0","0","0","54","60","0","0","0","0","0","0","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","0","0","0","0","0","0","9","0","0","0","9","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2022","0","0","0","2","5","23","0","0","18","0","11","0","0","0"
"United States Postal Service","Agency Overall","2022","1","25","747","85","123","1120","54","3","354","19","104","11","0","0"
"Department of the Interior","Agency Overall","2022","0","30","92","174","529","1149","110","8","486","38","63","35","0","1"
"Tennessee Valley Authority","Agency Overall","2022","0","0","7","23","37","53","0","0","7","0","2","5","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2022","2","0","0","0","2","5","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","0","0","0","0","17","0","0","0","0","0","0","0","0","0"
"Presidio Trust","Agency Overall","2022","0","0","0","1","1","3","0","0","2","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2022","1","0","3","15","15","27","4","1","6","0","4","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2022","11","2","5710","6","33","741","2","0","127","10","40","5","0","0"
"Farm Credit Administration","Agency Overall","2022","0","0","0","0","1","12","0","0","2","0","0","0","2","0"
"U.S. Commission on Civil Rights","Agency Overall","2022","0","0","0","0","1","2","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2022","0","14","13","3","5","3646","4","0","8","0","11","1","0","0"
"National Indian Gaming Commission","Agency Overall","2022","0","0","0","6","3","11","0","0","4","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2022","0","11","0","34","25","52","0","0","4","0","2","0","37","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2022","0","0","0","7","7","14","3","0","5","0","0","1","0","0"
"U.S. Election Assistance Commission","Agency Overall","2022","0","0","0","3","3","15","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2022","0","11","4","45","31","95","0","0","16","0","21","0","28","0"
"Office of National Drug Control Policy","Agency Overall","2022","0","2","0","1","16","27","0","0","7","0","2","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2022","0","2","0","0","14","18","0","0","0","0","0","1","0","0"
"Merit Systems Protection Board","Agency Overall","2022","0","0","0","0","12","35","1","0","5","1","0","0","0","0"
"Office of Special Counsel","Agency Overall","2022","0","0","1","0","41","70","5","2","75","14","1","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2022","2","0","2","0","3","4","2","0","5","2","1","1","0","0"
