"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Department of Veterans Affairs","Agency Overall","2022","0","0","0","0","6","12","0","0","1","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2022","107","0","114","1","5","26","0","0","0","0","0","0","0","0"
"Commission of Fine Arts","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2022","0","0","0","2","1","3","0","0","2","0","0","0","0","0"
"Department of Justice","Agency Overall","2022","18","1","104","8","89","475","104","0","449","67","202","43","0","0"
"Federal Maritime Commission","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2022","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2022","0","0","2","8","6","18","1","0","3","1","2","4","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2022","0","0","0","0","2","2","0","0","0","0","0","0","0","0"
"United States Trade and Development Agency","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2022","0","0","0","1","1","1","1","0","0","0","1","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2022","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2022","0","0","0","3","3","0","0","0","0","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2022","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2022","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"United States Postal Service","Agency Overall","2022","0","0","35","9","16","43","4","0","20","5","11","0","0","0"
"Department of the Interior","Agency Overall","2022","0","0","2","5","10","16","9","0","4","2","1","0","0","0"
"Tennessee Valley Authority","Agency Overall","2022","0","0","0","5","8","4","0","0","1","0","0","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2022","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Presidio Trust","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2022","0","0","0","1","1","1","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2022","4","0","68","0","7","14","0","0","9","0","7","0","0","0"
"Farm Credit Administration","Agency Overall","2022","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2022","0","1","1","0","1","241","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2022","0","1","0","3","3","4","0","0","0","0","0","0","3","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Election Assistance Commission","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2022","0","0","0","1","2","3","0","0","1","0","1","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2022","0","0","0","0","4","7","1","0","7","1","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2022","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"Peace Corps","Agency Overall","2022","0","1","0","0","2","5","0","0","3","0","1","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2022","0","0","3","4","16","4","9","0","1","0","0","0","0","0"
"Department of Labor","Agency Overall","2022","0","0","0","3","3","2","5","0","6","4","0","0","0","0"
"Federal Communications Commission","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2022","0","0","1","0","5","6","0","0","0","0","2","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2022","0","0","0","0","5","7","4","0","6","1","0","0","0","0"
"Denali Commission","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2022","0","0","0","8","7","7","1","0","1","0","0","0","4","0"
"Inter-American Foundation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2022","0","0","0","2","4","3","1","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2022","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Transportation","Agency Overall","2022","0","0","0","1","4","14","1","0","3","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2022","1","0","1","0","0","1","0","0","0","0","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2022","0","0","2","2","3","5","0","0","0","0","0","0","0","0"
"Department of Agriculture","Agency Overall","2022","0","0","13","13","23","47","3","0","15","2","6","1","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2022","0","0","0","0","6","5","2","0","2","0","1","0","0","0"
"Department of Energy","Agency Overall","2022","0","0","2","0","2","3","0","0","1","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2022","0","0","5","22","21","66","7","0","32","0","3","5","0","0"
"Office of Personnel Management","Agency Overall","2022","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Council on Disability","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2022","0","0","0","27","19","3","2","0","1","1","1","1","1","0"
"Armed Forces Retirement Home","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2022","0","0","0","2","1","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2022","0","0","4","1","0","0","5","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2022","88","6","101","12","77","165","6","0","76","5","13","5","0","0"
"Federal Election Commission","Agency Overall","2022","0","0","2","0","1","0","1","0","0","0","1","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2022","0","0","5","0","8","7","4","0","11","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2022","0","0","2","2","27","26","9","0","5","0","4","1","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2022","0","0","1","0","2","3","2","0","2","0","0","0","0","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2022","0","0","0","2","8","14","3","0","10","0","1","0","0","0"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Institute of Peace","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2022","0","0","2","5","94","27","226","0","22","0","2","0","3","0"
"American Battle Monuments Commission","Agency Overall","2022","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2022","0","0","0","0","2","3","0","0","1","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2022","0","0","0","4","5","6","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2022","0","0","0","1","2","3","2","0","0","1","1","0","0","0"
"Department of Commerce","Agency Overall","2022","0","0","3","2","10","6","1","1","2","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2022","0","0","1","0","0","2","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2022","0","7","53","3","22","24","14","0","17","0","25","0","0","0"
"National Endowment for the Arts","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2022","1","4","693","23","359","2423","15","118","2663","5","2256","6","0","0"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2022","220","21","1220","186","906","3763","443","119","3380","95","2542","66","11","0"
