"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Department of Veterans Affairs","Agency Overall","2022","16","1","2","2","1","0","1","0","1","0","4","1","3","32"
"Central Intelligence Agency","Agency Overall","2022","0","0","1","0","0","0","0","0","0","0","0","0","1","2"
"Commission of Fine Arts","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2022","196","76","47","40","40","18","14","12","5","6","47","20","74","595"
"Federal Maritime Commission","Agency Overall","2022","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"Advisory Council on Historic Preservation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2022","3","3","6","0","1","0","0","0","1","1","2","0","11","28"
"Occupational Safety and Health Review Commission","Agency Overall","2022","1","1","1","0","0","0","0","0","0","0","0","0","0","3"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2022","7","0","0","1","0","0","0","0","0","0","0","0","0","8"
"United States Trade and Development Agency","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2022","3","0","0","0","0","0","1","1","0","0","0","0","0","5"
"Court Services and Offender Supervision Agency","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2022","0","0","0","1","0","0","0","0","0","0","0","0","0","1"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2022","48","1","0","0","0","0","0","0","0","0","5","1","0","55"
"Department of the Interior","Agency Overall","2022","24","12","8","1","0","1","0","2","1","2","2","0","6","59"
"Tennessee Valley Authority","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Presidio Trust","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2022","56","6","2","1","2","0","0","0","0","1","1","0","27","96"
"Farm Credit Administration","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
