"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"Department of Veterans Affairs","Agency Overall","2022","824","202"
"Central Intelligence Agency","Agency Overall","2022","3005","381"
"Commission of Fine Arts","Agency Overall","2022","0","0"
"National Science Foundation","Agency Overall","2022","483","0"
"Department of Justice","Agency Overall","2022","64982","321"
"Federal Maritime Commission","Agency Overall","2022","8","0"
"Advisory Council on Historic Preservation","Agency Overall","2022","1","0"
"General Services Administration","Agency Overall","2022","249","2"
"Occupational Safety and Health Review Commission","Agency Overall","2022","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","3","0"
"Office of Science and Technology Policy","Agency Overall","2022","157","0"
"United States Trade and Development Agency","Agency Overall","2022","49","0"
"National Aeronautics and Space Administration","Agency Overall","2022","38","6"
"Court Services and Offender Supervision Agency","Agency Overall","2022","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2022","0","0"
"Marine Mammal Commission","Agency Overall","2022","5","0"
"Appraisal Subcommittee","Agency Overall","2022","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","0","0"
"Office of Management and Budget","Agency Overall","2022","589","3"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","70","0"
"Federal Housing Finance Agency","Agency Overall","2022","35","0"
"United States Postal Service","Agency Overall","2022","85","1"
"Department of the Interior","Agency Overall","2022","4808","314"
"Tennessee Valley Authority","Agency Overall","2022","17","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","0","0"
"Millennium Challenge Corporation","Agency Overall","2022","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","13","0"
"Presidio Trust","Agency Overall","2022","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2022","14","2"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","30","0"
"U.S. Department of State","Agency Overall","2022","18765","387"
"Farm Credit Administration","Agency Overall","2022","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2022","0","0"
"Social Security Administration","Agency Overall","2022","92","37"
"National Indian Gaming Commission","Agency Overall","2022","3","0"
"United States African Development Foundation","Agency Overall","2022","0","0"
"National Credit Union Administration","Agency Overall","2022","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2022","4","0"
"U.S. Election Assistance Commission","Agency Overall","2022","2","0"
"Federal Deposit Insurance Corporation","Agency Overall","2022","8","0"
"Office of National Drug Control Policy","Agency Overall","2022","8","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2022","0","0"
"Council on Environmental Quality","Agency Overall","2022","43","0"
"Merit Systems Protection Board","Agency Overall","2022","62","2"
"Office of Special Counsel","Agency Overall","2022","1","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2022","0","0"
"Peace Corps","Agency Overall","2022","94","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","21","1"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","0","0"
"Federal Trade Commission","Agency Overall","2022","23","0"
"Department of Labor","Agency Overall","2022","1426","286"
"Federal Communications Commission","Agency Overall","2022","33","10"
"James Madison Memorial Fellowship Foundation","Agency Overall","2022","0","0"
"Nuclear Regulatory Commission","Agency Overall","2022","89","1"
