"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Department of Veterans Affairs","Agency Overall","2022","6","17.67","<1","1581","67","65.97","<1","1623","25","134","<1","613"
"Central Intelligence Agency","Agency Overall","2022","6","10.47","<1","146","579.5","691.27","30","3268","56","56","56","56"
"Commission of Fine Arts","Agency Overall","2022","3","3","3","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2022","48","73","5","381","66","137","18","464","N/A","N/A","N/A","N/A"
"Department of Justice","Agency Overall","2022","179","214.62","<1","1319","113","301.27","<1","2394","46","122.16","<1","1437"
"Federal Maritime Commission","Agency Overall","2022","49","49.22","24","78","190","171.5","42","249","148","148","148","148"
"Advisory Council on Historic Preservation","Agency Overall","2022","50","58","5","120","50","58","5","120","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2022","14.0","11.91","1","21","61.0","175.25","21","1141","74.50","331.83","9","1097"
"Occupational Safety and Health Review Commission","Agency Overall","2022","8","8.6","1","19","30","28","24","30","21","28.3","11","53"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","18","18","1","51","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2022","9.5","409.25","1","1252","9","426.52","2","1522","9","13.25","1","66"
"United States Trade and Development Agency","Agency Overall","2022","38","80.5","20","203","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Aeronautics and Space Administration","Agency Overall","2022","14","15.73","<1","53","35","52.57","<1","340","124","95.67","18","145"
"Court Services and Offender Supervision Agency","Agency Overall","2022","7","6","1","17","19","17","1","20","0","0","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2022","14","13.22","2","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2022","10","8.5","7","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Appraisal Subcommittee","Agency Overall","2022","11.5","9","2","25","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","12","6","3","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Management and Budget","Agency Overall","2022","231","289","8","614","1045","980","550","1298","62","62","62","62"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","6","6","6","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","312","312","21","603","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2022","27.75","43.88","3","208","250","219.67","20","357","N/A","N/A","N/A","N/A"
"United States Postal Service","Agency Overall","2022","16","24.75","<1","674","55","145.37","8","939","5","99.82","1","312"
"Department of the Interior","Agency Overall","2022","23.0","102.58","<1","1454","100.0","241.89","<1","1622","31.0","92.71","4","1022"
"Tennessee Valley Authority","Agency Overall","2022","11","12.11","1","40","63","77.54","21","267","N/A","0","N/A","N/A"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","1","3.5","1","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2022","12","0","1","189","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","7","7","7","7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Presidio Trust","Agency Overall","2022","20","20","5","35","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2022","11","50.39","<1","504","106","200.22","23","895","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","20.3","20.3","6","6","256","266.7","222","333","N/A","N/A","N/A","N/A"
"U.S. Department of State","Agency Overall","2022","123","174","2","2024","45","64","3","2388","12","200","2","1813"
"Farm Credit Administration","Agency Overall","2022","13","14","2","27","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2022","7","14","1","53","30","29","8","59","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2022","4","8","<1","434","82","132","1","680","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2022","5","7","1","19","47","55","25","104","N/A","N/A","N/A","N/A"
"United States African Development Foundation","Agency Overall","2022","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2022","17","12.78","3","20","30","27.6","6","46","N/A","N/A","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2022","17.5","37.5","<1","303","65","144","20","398","N/A","N/A","N/A","N/A"
"U.S. Election Assistance Commission","Agency Overall","2022","45","203","4","693","501","391","18","654","175","218","1","519"
"Federal Deposit Insurance Corporation","Agency Overall","2022","17.00","21.76","1","90","37.00","132.24","4","723","19.00","30.90","6","72"
