"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Department of Veterans Affairs","Agency Overall","2022","8434370.53","11870.30","8446240.83","104507.55","1.2400"
"Central Intelligence Agency","Agency Overall","2022","4024601.02","815061.60","4839662.62","30.00","0.0000"
"Commission of Fine Arts","Agency Overall","2022","50.00","0.00","50.00","0.00","0.0000"
"National Science Foundation","Agency Overall","2022","440583.97","10000.00","450583.97","0.00","0.0000"
"Department of Justice","Agency Overall","2022","82967226.76","16752848.90","99720075.66","33993.98","0.0400"
"Federal Maritime Commission","Agency Overall","2022","386174.80","0.00","386174.80","0.00","0.0000"
"Advisory Council on Historic Preservation","Agency Overall","2022","5000.00","0.00","5000.00","0.00","0.0000"
"General Services Administration","Agency Overall","2022","2032695.00","209067.00","2241762.00","62892.20","3.0900"
"Occupational Safety and Health Review Commission","Agency Overall","2022","243268.16","0.00","243268.16","250.00","0.1000"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","101813.00","0.00","101813.00","0.00","0.0000"
"Office of Science and Technology Policy","Agency Overall","2022","710930.00","0.00","710930.00","0.00","0.0000"
"United States Trade and Development Agency","Agency Overall","2022","20000.00","0.00","20000.00","0.00","0.0000"
"National Aeronautics and Space Administration","Agency Overall","2022","1421306.75","0.00","1421306.75","19484.64","1.3700"
"Court Services and Offender Supervision Agency","Agency Overall","2022","279895.00","0.00","279895.00","224.00","0.0800"
"Federal Mediation and Conciliation Service","Agency Overall","2022","52883.92","0.00","52883.92","198.94","0.3800"
"Marine Mammal Commission","Agency Overall","2022","3500.00","0.00","3500.00","0.00","0.0000"
"Appraisal Subcommittee","Agency Overall","2022","1837.14","0.00","1837.14","0.00","0.0000"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","3520.00","0.00","3520.00","0.00","0.0000"
"Office of Management and Budget","Agency Overall","2022","1066281.56","131854.35","1198135.91","0.00","0.0000"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","2820.00","0.00","2820.00","0.00","0.0000"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","72331.00","3200.00","75531.00","0.00","0.0000"
"Federal Housing Finance Agency","Agency Overall","2022","481871.90","0.00","481871.90","0.00","0.0000"
"United States Postal Service","Agency Overall","2022","1923107.54","30216.45","1953323.99","34348.87","1.7900"
"Department of the Interior","Agency Overall","2022","16992715.87","1586956.39","18579672.26","5264.50","0.0300"
"Tennessee Valley Authority","Agency Overall","2022","248542.80","0.00","248542.80","1740.00","0.7000"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","5.00","0.00","5.00","0.00","0.0000"
