"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Department of Veterans Affairs","Agency Overall","2022","27747","22542","30127","24343"
"Central Intelligence Agency","Agency Overall","2022","2837","2408","2870","2095"
"Commission of Fine Arts","Agency Overall","2022","17","17","17","17"
"National Science Foundation","Agency Overall","2022","293","302","257","202"
"Department of Justice","Agency Overall","2022","97490","93370","75511","82868"
"Federal Maritime Commission","Agency Overall","2022","30","45","27","38"
"Advisory Council on Historic Preservation","Agency Overall","2022","21","36","16","37"
"General Services Administration","Agency Overall","2022","1349","1168","1294","1360"
"Occupational Safety and Health Review Commission","Agency Overall","2022","143","94","148","92"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","43","45","42","47"
"Office of Science and Technology Policy","Agency Overall","2022","129","104","100","65"
"United States Trade and Development Agency","Agency Overall","2022","19","21","10","16"
"National Aeronautics and Space Administration","Agency Overall","2022","759","993","775","982"
"Court Services and Offender Supervision Agency","Agency Overall","2022","99","290","99","279"
"Federal Mediation and Conciliation Service","Agency Overall","2022","20","56","19","53"
"Marine Mammal Commission","Agency Overall","2022","11","9","8","10"
"Appraisal Subcommittee","Agency Overall","2022","13","16","13","16"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","5","8","5","8"
"Office of Management and Budget","Agency Overall","2022","280","263","278","323"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","1","3","1","3"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","179","337","134","294"
"Federal Housing Finance Agency","Agency Overall","2022","108","89","124","73"
"United States Postal Service","Agency Overall","2022","4864","3894","4905","3986"
"Department of the Interior","Agency Overall","2022","6302","6407","5774","6182"
"Tennessee Valley Authority","Agency Overall","2022","213","211","215","217"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","2","4","2","4"
"Millennium Challenge Corporation","Agency Overall","2022","24","21","23","23"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","29","41","28","39"
"Presidio Trust","Agency Overall","2022","24","9","23","9"
"Export-Import Bank of the U.S.","Agency Overall","2022","64","84","55","90"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","11","2","8","2"
"U.S. Department of State","Agency Overall","2022","10683","13864","9505","9167"
"Farm Credit Administration","Agency Overall","2022","55","37","55","37"
"U.S. Commission on Civil Rights","Agency Overall","2022","45","60","45","60"
"Social Security Administration","Agency Overall","2022","13440","11762","14662","11811"
"National Indian Gaming Commission","Agency Overall","2022","30","48","30","49"
"United States African Development Foundation","Agency Overall","2022","1","1","1","0"
"National Credit Union Administration","Agency Overall","2022","136","112","144","115"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2022","47","44","46","48"
"U.S. Election Assistance Commission","Agency Overall","2022","92","195","45","72"
"Federal Deposit Insurance Corporation","Agency Overall","2022","312","494","295","502"
"Office of National Drug Control Policy","Agency Overall","2022","44","50","46","65"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2022","17","15","17","15"
"Council on Environmental Quality","Agency Overall","2022","105","127","130","124"
"Merit Systems Protection Board","Agency Overall","2022","172","138","171","130"
"Office of Special Counsel","Agency Overall","2022","135","138","169","140"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2022","16","17","13","21"
"Peace Corps","Agency Overall","2022","112","200","132","156"
