"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"Department of Veterans Affairs","Agency Overall","2022","36","98","4","16.89","95"
"Central Intelligence Agency","Agency Overall","2022","2","53","2","11.15","42"
"Commission of Fine Arts","Agency Overall","2022","0","0","N/A","N/A","0"
"National Science Foundation","Agency Overall","2022","0","0","N/A","N/A","0"
"Department of Justice","Agency Overall","2022","702","3864","7","22.23","2778"
"Federal Maritime Commission","Agency Overall","2022","1","0","8","8","1"
"Advisory Council on Historic Preservation","Agency Overall","2022","0","0","n/a","n/a","0"
"General Services Administration","Agency Overall","2022","29","98","1","3.69","116"
"Occupational Safety and Health Review Commission","Agency Overall","2022","3","0","8","8.3","3"
"Federal Retirement Thrift Investment Board","Agency Overall","2022","0","0","N/A","N/A","0"
"Office of Science and Technology Policy","Agency Overall","2022","8","7","10","8","15"
"United States Trade and Development Agency","Agency Overall","2022","0","0","N/A","N/A","0"
"National Aeronautics and Space Administration","Agency Overall","2022","4","46","2","7.08","42"
"Court Services and Offender Supervision Agency","Agency Overall","2022","0","3","2","2","3"
"Federal Mediation and Conciliation Service","Agency Overall","2022","0","4","4.5","4.75","4"
"Marine Mammal Commission","Agency Overall","2022","0","0","N/A","N/A","0"
"Appraisal Subcommittee","Agency Overall","2022","0","0","N/A","N/A","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","0","0","N/A","N/A","0"
"Office of Management and Budget","Agency Overall","2022","5","22","6","12","17"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","0","0","N/A","N/A","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","0","19","36","44","5"
"Federal Housing Finance Agency","Agency Overall","2022","0","1","7","7","1"
"United States Postal Service","Agency Overall","2022","51","122","1","3.56","165"
"Department of the Interior","Agency Overall","2022","57","484","8","22.5","316"
"Tennessee Valley Authority","Agency Overall","2022","0","14","9","10.29","9"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","0","0","N/A","N/A","0"
"Millennium Challenge Corporation","Agency Overall","2022","0","0","N/A","N/A","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","0","0","N/A","N/A","0"
"Presidio Trust","Agency Overall","2022","0","0","N/A","N/A","0"
"Export-Import Bank of the U.S.","Agency Overall","2022","0","4","4","5.5","3"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","0","0","N/A","N/A","0"
"U.S. Department of State","Agency Overall","2022","95","619","5","8","599"
"Farm Credit Administration","Agency Overall","2022","0","0","N/A","N/A","0"
"U.S. Commission on Civil Rights","Agency Overall","2022","0","0","N/A","N/A","0"
"Social Security Administration","Agency Overall","2022","0","336","3","4","324"
