"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Small Business Administration","Agency Overall","2009","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Office of Management and Budget","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2009","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Federal Mediation and Conciliation Service","Agency Overall","2009","35","0","0","0","0","0","0","0","0","0","0","0","0","35"
"Federal Election Commission","Agency Overall","2009","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"National Archives and Records Administration","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2009","91","21","25","8","8","10","9","2","2","1","5","1","33","216"
"Federal Labor Relations Authority","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Transportation","Agency Overall","2009","61","16","2","2","1","1","0","1","0","0","1","0","0","85"
"Nuclear Regulatory Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Department of Veterans Affairs","Agency Overall","2009","42","33","3","46","0","5","0","0","0","0","0","0","0","129"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2009","132","6","6","1","0","1","2","0","3","2","1","0","0","154"
"U.S. Railroad Retirement Board","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2009","7","7","2","0","1","0","0","0","0","0","0","0","0","17"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"Department of Defense","Agency Overall","2009","418","110","13","2","0","1","0","1","0","0","0","0","1","546"
"Department of Housing and Urban Development","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2009","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Consumer Product Safety Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2009","7","5","2","1","2","1","0","3","1","0","3","3","3","31"
"Federal Maritime Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2009","0","1","3","0","0","0","0","0","0","0","0","0","0","4"
"Department of the Interior","Agency Overall","2009","23","4","0","0","0","0","0","0","0","0","0","0","0","27"
"United States International Boundary and Water Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2009","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Farm Credit System Insurance Corporation","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2009","3","7","0","1","1","1","0","0","0","0","0","0","0","13"
"Department of Energy","Agency Overall","2009","0","1","1","1","0","0","0","0","0","0","0","0","0","3"
"Department of the Treasury","Agency Overall","2009","227","36","0","2","0","0","0","0","0","0","0","0","0","265"
"Federal Open Market Committee","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2009","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Overseas Private Investment Corporation","Agency Overall","2009","3","0","0","0","1","0","0","0","0","0","0","0","0","4"
"Occupational Safety and Health Review Commission","Agency Overall","2009","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Tennessee Valley Authority","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2009","2","0","0","0","0","1","0","0","0","0","0","0","0","3"
"National Aeronautics and Space Administration","Agency Overall","2009","2","1","0","0","0","0","0","0","0","0","0","0","0","3"
"National Mediation Board","Agency Overall","2009","2","1","0","0","0","0","0","0","0","0","0","0","0","3"
"Farm Credit Administration","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2009","4","2","1","1","1","1","0","0","0","0","0","0","0","10"
"General Services Administration","Agency Overall","2009","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Surface Transportation Board","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2009","3","0","0","1","0","0","0","0","0","0","2","1","0","7"
"Council on Environmental Quality","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2009","1","3","1","0","0","0","0","0","0","0","0","0","0","5"
"National Credit Union Administration","Agency Overall","2009","0","1","0","1","0","0","0","0","0","0","0","0","0","2"
"Institute of Museum and Library Services","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2009","10","3","1","0","0","0","0","0","0","0","0","0","0","14"
"Inter-American Foundation","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2009","32","4","0","2","2","1","3","0","0","1","3","2","3","53"
"Export-Import Bank of the U.S.","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2009","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"Department of Commerce","Agency Overall","2009","10","9","0","0","0","0","0","0","0","0","0","0","0","19"
"Office of Science and Technology Policy","Agency Overall","2009","0","0","0","0","1","0","0","0","0","0","0","1","0","2"
"U.S. Department of State","Agency Overall","2009","0","3","0","0","1","1","0","0","0","0","0","0","1","6"
"Selective Service System","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2009","1131","274","61","69","19","24","14","7","6","4","15","8","41","1673"
