"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Small Business Administration","Agency Overall","2009","24","35","22","39"
"Office of Management and Budget","Agency Overall","2009","8","7","7","9"
"National Railroad Passenger Corporation","Agency Overall","2009","2","1","2","0"
"Federal Mediation and Conciliation Service","Agency Overall","2009","0","0","0","0"
"Federal Election Commission","Agency Overall","2009","1","1","0","1"
"National Archives and Records Administration","Agency Overall","2009","42","43","21","66"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","0","3","0","3"
"Merit Systems Protection Board","Agency Overall","2009","10","5","10","5"
"Federal Trade Commission","Agency Overall","2009","15","13","15","14"
"Commodity Futures Trading Commission","Agency Overall","2009","5","4","4","5"
"Department of Justice","Agency Overall","2009","2852","2897","3667","2960"
"Federal Labor Relations Authority","Agency Overall","2009","3","2","3","2"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","0","2","0","2"
"Department of Transportation","Agency Overall","2009","143","174","130","172"
"Nuclear Regulatory Commission","Agency Overall","2009","8","25","9","20"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2009","157","241","230","87"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","1","1","1","1"
"Department of Labor","Agency Overall","2009","360","349","383","369"
"U.S. Railroad Retirement Board","Agency Overall","2009","1","3","2","3"
"Federal Reserve System","Agency Overall","2009","11","22","11","21"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","0","0","0","0"
"Peace Corps","Agency Overall","2009","5","6","1","10"
"Department of Defense","Agency Overall","2009","686","961","923","1025"
"Department of Housing and Urban Development","Agency Overall","2009","39","41","0","41"
"Office of Government Ethics","Agency Overall","2009","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2009","24","19","19","19"
"Department of Health and Human Services","Agency Overall","2009","199","160","370","174"
"Federal Maritime Commission","Agency Overall","2009","0","1","0","0"
"U.S. Agency for International Development","Agency Overall","2009","7","14","4","9"
"Office of Personnel Management","Agency Overall","2009","3","30","3","31"
"Department of the Interior","Agency Overall","2009","214","149","300","259"
"United States International Boundary and Water Commission","Agency Overall","2009","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2009","2","3","2","3"
"Farm Credit System Insurance Corporation","Agency Overall","2009","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2009","8","14","7","13"
"Department of Energy","Agency Overall","2009","55","49","51","58"
"Department of the Treasury","Agency Overall","2009","334","364","310","321"
"Federal Open Market Committee","Agency Overall","2009","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2009","3","3","3","3"
"Overseas Private Investment Corporation","Agency Overall","2009","2","1","2","2"
"Occupational Safety and Health Review Commission","Agency Overall","2009","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2009","10","11","8","14"
"Postal Regulatory Commission","Agency Overall","2009","0","0","0","0"
"National Science Foundation","Agency Overall","2009","10","7","10","7"
"Environmental Protection Agency","Agency Overall","2009","129","167","165","217"
"National Aeronautics and Space Administration","Agency Overall","2009","22","22","13","30"
"National Mediation Board","Agency Overall","2009","1","0","1","0"
"Farm Credit Administration","Agency Overall","2009","0","2","0","2"
"Securities and Exchange Commission","Agency Overall","2009","196","247","187","267"
"General Services Administration","Agency Overall","2009","18","16","18","16"
"Surface Transportation Board","Agency Overall","2009","0","1","0","1"
"Central Intelligence Agency","Agency Overall","2009","115","241","101","212"
"Council on Environmental Quality","Agency Overall","2009","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2009","1","0","1","0"
"Federal Communications Commission","Agency Overall","2009","25","14","20","37"
"Social Security Administration","Agency Overall","2009","52","113","74","105"
"Federal Financial Institutions Examination Council","Agency Overall","2009","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2009","3","10","3","10"
"National Credit Union Administration","Agency Overall","2009","3","12","3","10"
"Institute of Museum and Library Services","Agency Overall","2009","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2009","3","51","1","49"
"Inter-American Foundation","Agency Overall","2009","0","0","0","0"
"United States Copyright Office","Agency Overall","2009","0","0","0","0"
"Department of Homeland Security","Agency Overall","2009","1692","2129","2590","1673"
"Export-Import Bank of the U.S.","Agency Overall","2009","0","2","1","2"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","0","0","0","0"
"United States International Trade Commission","Agency Overall","2009","0","1","0","1"
"Department of Education","Agency Overall","2009","67","46","54","55"
"Department of Commerce","Agency Overall","2009","70","83","63","110"
"Office of Science and Technology Policy","Agency Overall","2009","0","3","0","3"
"U.S. Department of State","Agency Overall","2009","182","242","486","248"
"Selective Service System","Agency Overall","2009","0","0","0","0"
"All agencies","Agency Overall","2009","7823","9063","10311","8816"
