"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Small Business Administration","Agency Overall","2009","0","1","0","8","5","6","0","0","0","0","0","0","1","0"
"Office of Management and Budget","Agency Overall","2009","0","4","0","0","5","4","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mediation and Conciliation Service","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2009","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2009","1","1","4","0","4","7","0","0","4","3","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","0","0","0","0","2","1","0","0","1","1","1","0","0","0"
"Merit Systems Protection Board","Agency Overall","2009","0","0","0","0","2","3","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2009","0","1","4","3","4","5","1","0","2","2","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2009","0","0","1","3","1","2","1","0","2","0","2","0","1","0"
"Department of Justice","Agency Overall","2009","54","318","103","0","131","321","75","0","608","167","147","132","0","0"
"Federal Labor Relations Authority","Agency Overall","2009","0","0","0","0","0","1","0","0","1","0","0","0","0","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"Department of Transportation","Agency Overall","2009","1","9","5","9","22","37","2","0","15","2","1","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2009","0","3","0","2","3","2","3","0","2","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2009","0","1","7","6","7","17","1","0","9","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2009","0","9","0","20","38","4","12","0","100","45","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2009","0","0","6","0","0","6","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2009","0","1","0","7","7","3","0","0","0","0","0","0","2","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2009","0","1","0","0","1","0","1","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2009","98","55","68","27","93","197","13","1","82","8","5","2","0","0"
"Department of Housing and Urban Development","Agency Overall","2009","0","0","2","6","3","8","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2009","0","0","16","13","12","1","6","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2009","0","0","0","1","4","9","3","0","3","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2009","1","2","0","3","1","2","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2009","2","1","6","0","6","10","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2009","0","2","0","1","7","9","0","0","2","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2009","0","0","0","1","1","2","0","0","0","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
