"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Small Business Administration","Agency Overall","2009","1444718.00","20000.00","1464718.00","20889.58","1.4500"
"Office of Management and Budget","Agency Overall","2009","195000.00","340000.00","535000.00","0.00","0.0000"
"National Railroad Passenger Corporation","Agency Overall","2009","96412.42","0.00","96412.42","3315.00","3.4400"
"Federal Mediation and Conciliation Service","Agency Overall","2009","63000.00","0.00","63000.00","747.60","1.1900"
"Federal Election Commission","Agency Overall","2009","124889.64","54493.82","179383.46","0.00","0.0000"
"National Archives and Records Administration","Agency Overall","2009","2758186.00","0.00","2758186.00","433.00","0.0200"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","74377.00","0.00","74377.00","2844.00","3.8200"
"Merit Systems Protection Board","Agency Overall","2009","273000.00","0.00","273000.00","2000.00","0.7300"
"Federal Trade Commission","Agency Overall","2009","490427.51","6308.58","496736.09","17485.03","3.5700"
"Commodity Futures Trading Commission","Agency Overall","2009","148270.76","16536.54","164807.30","1378.65","0.9300"
"Department of Justice","Agency Overall","2009","43090286.09","6670938.80","49761224.89","113977.46","0.2600"
"Federal Labor Relations Authority","Agency Overall","2009","11841.90","0.00","11841.90","265.65","2.2400"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","70846.00","0.00","70846.00","7208.17","10.1700"
"Department of Transportation","Agency Overall","2009","9480162.00","87720.00","9567882.00","210702.00","2.2200"
"Nuclear Regulatory Commission","Agency Overall","2009","1124486.00","0.00","1124486.00","3635.00","0.3200"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","2848.00","0.00","2848.00","0.00","0.0000"
"Department of Veterans Affairs","Agency Overall","2009","13739447.82","40101.00","13779548.82","294586.18","2.1400"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","1171.00","0.00","1171.00","0.00","0.0000"
"Department of Labor","Agency Overall","2009","8005113.86","425000.00","8430113.86","279453.43","3.4900"
"U.S. Railroad Retirement Board","Agency Overall","2009","48350.00","0.00","48350.00","216.00","0.4500"
"Federal Reserve System","Agency Overall","2009","2079095.00","444453.00","2523548.00","6492.00","0.3100"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","1040.00","0.00","1040.00","0.00","0.0000"
"Peace Corps","Agency Overall","2009","67217.00","0.00","67217.00","184.00","0.2700"
"Department of Defense","Agency Overall","2009","78202504.00","10522795.00","88725299.00","478918.28","0.6100"
"Department of Housing and Urban Development","Agency Overall","2009","2323532.00","57470.00","2381002.00","310565.00","13.3700"
"Office of Government Ethics","Agency Overall","2009","190000.00","0.00","190000.00","0.00","0.0000"
"Consumer Product Safety Commission","Agency Overall","2009","1508585.00","16000.00","1524585.00","20330.00","1.3500"
"Department of Health and Human Services","Agency Overall","2009","30046724.00","1105633.00","31152357.00","853344.00","2.8400"
"Federal Maritime Commission","Agency Overall","2009","49590.00","6468.00","56058.00","0.00","0.0000"
"U.S. Agency for International Development","Agency Overall","2009","0.00","0.00","0.00","0.00","0.0000"
"Office of Personnel Management","Agency Overall","2009","1984575.00","4930.00","1989505.00","20845.00","1.0500"
"Department of the Interior","Agency Overall","2009","9650704.54","384905.05","10035609.59","124672.72","1.2900"
"United States International Boundary and Water Commission","Agency Overall","2009","33304.00","0.00","33304.00","97.30","0.2900"
"National Endowment for the Humanities","Agency Overall","2009","80000.00","0.00","80000.00","1757.80","2.2000"
"Farm Credit System Insurance Corporation","Agency Overall","2009","0.00","0.00","0.00","0.00","0.0000"
"Federal Energy Regulatory Commission","Agency Overall","2009","692848.00","0.00","692848.00","839.19","0.1200"
"Department of Energy","Agency Overall","2009","4358506.57","395029.00","4753535.57","14270.97","0.3300"
"Department of the Treasury","Agency Overall","2009","16104093.88","933999.36","17038093.24","858539.78","5.3300"
"Federal Open Market Committee","Agency Overall","2009","36234.00","0.00","36234.00","0.00","0.0000"
"National Indian Gaming Commission","Agency Overall","2009","130000.00","0.00","130000.00","4301.70","3.3100"
"Overseas Private Investment Corporation","Agency Overall","2009","98586.00","0.00","98586.00","505.08","0.5100"
"Occupational Safety and Health Review Commission","Agency Overall","2009","166172.11","0.00","166172.11","2309.50","1.3900"
"Tennessee Valley Authority","Agency Overall","2009","182952.00","0.00","182952.00","1125.63","0.6200"
"Postal Regulatory Commission","Agency Overall","2009","0.00","0.00","0.00","0.00","0.0000"
"National Science Foundation","Agency Overall","2009","349224.00","0.00","349224.00","1085.72","0.3100"
"Environmental Protection Agency","Agency Overall","2009","15015214.40","527036.32","15542250.72","328314.86","2.1900"
"National Aeronautics and Space Administration","Agency Overall","2009","1967366.00","20892.00","1988258.00","5052.55","0.2600"
"National Mediation Board","Agency Overall","2009","77600.00","0.00","77600.00","23.40","0.0300"
"Farm Credit Administration","Agency Overall","2009","24761.00","0.00","24761.00","0.00","0.0000"
