"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Small Business Administration","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Management and Budget","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2009-09-18","8","2009-09-09","15","2009-09-09","15"
"National Railroad Passenger Corporation","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Mediation and Conciliation Service","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Election Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Archives and Records Administration","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Merit Systems Protection Board","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Trade Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Commodity Futures Trading Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Justice","Agency Overall","2009","2008-07-02","455","2008-06-25","462","2007-12-31","470","2008-04-10","538","2008-04-04","544","2008-03-28","551","2008-03-21","558","2008-02-20","587","2008-02-19","589","2008-01-07","631"
"Federal Labor Relations Authority","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Transportation","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2009-09-03","18"
"Nuclear Regulatory Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Veterans Affairs","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2009-09-17","9","2009-08-10","36","2009-08-10","36","2009-08-10","36"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Labor","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","2009-09-28","3","2009-08-25","21","2009-08-14","33","2009-07-21","49","2009-06-19","78","2009-03-04","155"
"U.S. Railroad Retirement Board","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Reserve System","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Peace Corps","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Defense","Agency Overall","2009","2000-06-30","2313","2000-04-27","2358","2000-04-07","2372","2000-04-07","2372","2000-04-07","2372","2000-02-14","2410","2000-02-09","2413","1997-01-31","3170","1996-07-22","3302","1995-06-29","3563"
"Department of Housing and Urban Development","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Government Ethics","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Consumer Product Safety Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Health and Human Services","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2009-07-16","53"
"Federal Maritime Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Agency for International Development","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Personnel Management","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of the Interior","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2009-08-28","22"
"United States International Boundary and Water Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Endowment for the Humanities","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Farm Credit System Insurance Corporation","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Energy Regulatory Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Energy","Agency Overall","2009","2004-07-20","1206","2004-07-07","1214","2003-06-13","1462","2002-07-22","1669","2002-07-03","1681","2001-08-29","1877","2001-06-14","1925","2001-01-26","2013","2001-01-25","2014","1998-06-11","2623"
"Department of the Treasury","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","2009-09-28","2","2009-09-18","8","2009-07-14","56","2009-06-18","79","2009-03-03","181","2008-11-19","292"
"Federal Open Market Committee","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Indian Gaming Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Overseas Private Investment Corporation","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Occupational Safety and Health Review Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Tennessee Valley Authority","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
