"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Small Business Administration","Agency Overall","2009","6.5","9.2","<1","248","N/A","N/A","N/A","N/A","11","11","11","11"
"Office of Management and Budget","Agency Overall","2009","20","24","3","83","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2009","11","14","1","30","25","35","14","311","10","10","10","10"
"Federal Mediation and Conciliation Service","Agency Overall","2009","6","6","1","20","N/A","N/A","N/A","N/A","2","2","1","2"
"Federal Election Commission","Agency Overall","2009","31","66.1","3","389","54","65.3","35","150","N/A","N/A","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2009","15","72.23","1","1182","75","353.07","1","2978","N/A","N/A","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","20","14","1","20","486","471","23","1053","N/A","N/A","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2009","5","16","<1","49","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2009","3","6.62","1","74","14","25.98","1","230","N/A","N/A","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2009","11","17.66","1","119","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Justice","Agency Overall","2009","18","38.58","<1","3290","51","133.95","<1","1871","39","141.91","1","1611"
"Federal Labor Relations Authority","Agency Overall","2009","11","27","1","207","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","18","21","4","39","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Transportation","Agency Overall","2009","14","34","<1","665","13","38","<1","1086","7.5","17.45","<1","291"
"Nuclear Regulatory Commission","Agency Overall","2009","14","17","<1","113","43","45","3","141","N/A","N/A","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","14","16","1","35","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2009","N/A","N/A","N/A","N/A","28","32","1","1268","5","5","1","18"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","5","5","5","5","17","43","11","101","N/A","N/A","N/A","N/A"
"Department of Labor","Agency Overall","2009","10","20.4","1","494","19","46.87","1","550","10","23.78","1","195"
"U.S. Railroad Retirement Board","Agency Overall","2009","26","160.18","1","997","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Reserve System","Agency Overall","2009","2","3","<1","22","20","35","<1","239","21","30","2","87"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","6","10.1","1","40","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2009","10","8","<1","58","<1","<1","<1","<1","<1","<1","<1","<1"
"Department of Defense","Agency Overall","2009","N/A","43","1","2006","N/A","187","1","4117","N/A","13","1","1507"
"Department of Housing and Urban Development","Agency Overall","2009","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2009","19","13.9","<1","29","N/A","N/A","N/A","N/A","9","9","9","9"
"Consumer Product Safety Commission","Agency Overall","2009","13","35","1","307","68","86","1","368","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2009","13","46","1","1431","97","132","1","5496","33","51","10","635"
"Federal Maritime Commission","Agency Overall","2009","35","60","11","133","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2009","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Personnel Management","Agency Overall","2009","N/A","N/A","N/A","N/A","64","37","N/A","N/A","60","60","N/A","N/A"
"Department of the Interior","Agency Overall","2009","2","4","<1","189","N/A","N/A","<1","2970","4","7","<1","29"
"United States International Boundary and Water Commission","Agency Overall","2009","23","28","13","88","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2009","16","16","5","28","20","26","14","81","8","8","8","8"
"Farm Credit System Insurance Corporation","Agency Overall","2009","18","18","18","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2009","24","25","8","59","29","30","18","62","30","42","19","108"
"Department of Energy","Agency Overall","2009","15","39","<1","2066","40","78","1","935","64","64","50","77"
"Department of the Treasury","Agency Overall","2009","12","16.1","1","73","16","29.7","<1","2179","75.5","75.6","2","163"
"Federal Open Market Committee","Agency Overall","2009","3","3","1","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2009","16","18.4","1","49","65","59.3","17","110","6","6","5","7"
"Overseas Private Investment Corporation","Agency Overall","2009","8","12","<1","33","N/A","N/A","N/A","N/A","13","13","13","13"
"Occupational Safety and Health Review Commission","Agency Overall","2009","10","9","<1","20","28","28","28","28","5","5","5","5"
"Tennessee Valley Authority","Agency Overall","2009","4","7","1","20","43","62","21","225","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2009","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Science Foundation","Agency Overall","2009","16","22","1","1825","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2009","18","32.42","<1","1419","37","67.25","8","666","10","8","<1","11"
"National Aeronautics and Space Administration","Agency Overall","2009","18","28","1","243","36","202","1","1015","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2009","16","15","2","25","N/A","N/A","N/A","N/A","13","13","1","25"
"Farm Credit Administration","Agency Overall","2009","7","8.5","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2009","39","68","1","769","914","626","24","941","37","53","6","132"
"General Services Administration","Agency Overall","2009","20","21","N/A","268","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Surface Transportation Board","Agency Overall","2009","9","8","1","15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
