"Agency","Component","Fiscal Year","Total"
"Small Business Administration","Agency Overall","2009","2"
"Office of Management and Budget","Agency Overall","2009","0"
"National Railroad Passenger Corporation","Agency Overall","2009","5"
"Federal Mediation and Conciliation Service","Agency Overall","2009","0"
"Federal Election Commission","Agency Overall","2009","0"
"National Archives and Records Administration","Agency Overall","2009","102"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","0"
"Merit Systems Protection Board","Agency Overall","2009","0"
"Federal Trade Commission","Agency Overall","2009","11"
"Commodity Futures Trading Commission","Agency Overall","2009","2"
"Department of Justice","Agency Overall","2009","1400"
"Federal Labor Relations Authority","Agency Overall","2009","7"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","0"
"Department of Transportation","Agency Overall","2009","152"
"Nuclear Regulatory Commission","Agency Overall","2009","32"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","0"
"Department of Veterans Affairs","Agency Overall","2009","280"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","0"
"Department of Labor","Agency Overall","2009","90"
"U.S. Railroad Retirement Board","Agency Overall","2009","0"
"Federal Reserve System","Agency Overall","2009","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","0"
"Peace Corps","Agency Overall","2009","0"
"Department of Defense","Agency Overall","2009","1641"
"Department of Housing and Urban Development","Agency Overall","2009","282"
"Office of Government Ethics","Agency Overall","2009","0"
"Consumer Product Safety Commission","Agency Overall","2009","8"
"Department of Health and Human Services","Agency Overall","2009","991"
"Federal Maritime Commission","Agency Overall","2009","0"
"U.S. Agency for International Development","Agency Overall","2009","60"
"Office of Personnel Management","Agency Overall","2009","29"
"Department of the Interior","Agency Overall","2009","161"
"United States International Boundary and Water Commission","Agency Overall","2009","0"
"National Endowment for the Humanities","Agency Overall","2009","0"
"Farm Credit System Insurance Corporation","Agency Overall","2009","0"
"Federal Energy Regulatory Commission","Agency Overall","2009","0"
"Department of Energy","Agency Overall","2009","3"
"Department of the Treasury","Agency Overall","2009","30"
"Federal Open Market Committee","Agency Overall","2009","0"
"National Indian Gaming Commission","Agency Overall","2009","0"
"Overseas Private Investment Corporation","Agency Overall","2009","0"
"Occupational Safety and Health Review Commission","Agency Overall","2009","0"
"Tennessee Valley Authority","Agency Overall","2009","0"
"Postal Regulatory Commission","Agency Overall","2009","0"
"National Science Foundation","Agency Overall","2009","3"
"Environmental Protection Agency","Agency Overall","2009","8"
"National Aeronautics and Space Administration","Agency Overall","2009","17"
"National Mediation Board","Agency Overall","2009","0"
"Farm Credit Administration","Agency Overall","2009","0"
"Securities and Exchange Commission","Agency Overall","2009","394"
"General Services Administration","Agency Overall","2009","0"
"Surface Transportation Board","Agency Overall","2009","0"
"Central Intelligence Agency","Agency Overall","2009","55"
"Council on Environmental Quality","Agency Overall","2009","3"
"Office of National Drug Control Policy","Agency Overall","2009","0"
"Federal Communications Commission","Agency Overall","2009","0"
"Social Security Administration","Agency Overall","2009","0"
"Federal Financial Institutions Examination Council","Agency Overall","2009","0"
"Federal Housing Finance Agency","Agency Overall","2009","1"
"National Credit Union Administration","Agency Overall","2009","0"
"Institute of Museum and Library Services","Agency Overall","2009","0"
"Federal Deposit Insurance Corporation","Agency Overall","2009","2"
"Inter-American Foundation","Agency Overall","2009","0"
"United States Copyright Office","Agency Overall","2009","0"
"Department of Homeland Security","Agency Overall","2009","619"
"Export-Import Bank of the U.S.","Agency Overall","2009","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","0"
"United States International Trade Commission","Agency Overall","2009","0"
"Department of Education","Agency Overall","2009","0"
"Department of Commerce","Agency Overall","2009","44"
"Office of Science and Technology Policy","Agency Overall","2009","0"
"U.S. Department of State","Agency Overall","2009","30"
"Selective Service System","Agency Overall","2009","0"
"All agencies","Agency Overall","2009","6464"
