"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Small Business Administration","Agency Overall","2009","7","6","10","12"
"Office of Management and Budget","Agency Overall","2009","20","0","5","7"
"National Railroad Passenger Corporation","Agency Overall","2009","6","4","15","5"
"Federal Mediation and Conciliation Service","Agency Overall","2009","0","0","N/A","N/A"
"Federal Election Commission","Agency Overall","2009","0","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2009","3","171","5","174"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","2","2","24","24"
"Merit Systems Protection Board","Agency Overall","2009","0","0","N/A","N/A"
"Federal Trade Commission","Agency Overall","2009","8","7","8","13.13"
"Commodity Futures Trading Commission","Agency Overall","2009","0","0","N/A","N/A"
"Department of Justice","Agency Overall","2009","139","897","18","78.56"
"Federal Labor Relations Authority","Agency Overall","2009","0","0","N/A","N/A"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","6","1","1","4.6"
"Department of Transportation","Agency Overall","2009","160","45","1","6"
"Nuclear Regulatory Commission","Agency Overall","2009","45","6","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","0","0","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2009","57","22","1","3"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","2","2","4.5","5"
"Department of Labor","Agency Overall","2009","220","263","17","40.5"
"U.S. Railroad Retirement Board","Agency Overall","2009","3","0","7","7"
"Federal Reserve System","Agency Overall","2009","36","0","3","10"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","0","0","N/A","N/A"
"Peace Corps","Agency Overall","2009","0","0","N/A","N/A"
"Department of Defense","Agency Overall","2009","1861","474","N/A","198"
"Department of Housing and Urban Development","Agency Overall","2009","0","0","N/A","N/A"
"Office of Government Ethics","Agency Overall","2009","1","0","7","7"
"Consumer Product Safety Commission","Agency Overall","2009","2","2","2","4"
"Department of Health and Human Services","Agency Overall","2009","280","56","7","21"
"Federal Maritime Commission","Agency Overall","2009","0","1","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2009","0","0","N/A","N/A"
"Office of Personnel Management","Agency Overall","2009","11","3","5","7"
"Department of the Interior","Agency Overall","2009","522","20","1","10"
"United States International Boundary and Water Commission","Agency Overall","2009","6","0","1","1"
"National Endowment for the Humanities","Agency Overall","2009","10","1","1","1"
"Farm Credit System Insurance Corporation","Agency Overall","2009","0","0","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2009","2","7","10","10"
"Department of Energy","Agency Overall","2009","48","19","7","7"
"Department of the Treasury","Agency Overall","2009","164","113","17","28.6"
"Federal Open Market Committee","Agency Overall","2009","3","0","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2009","1","1","1","1"
"Overseas Private Investment Corporation","Agency Overall","2009","0","1","1","1"
"Occupational Safety and Health Review Commission","Agency Overall","2009","5","0","10","13"
"Tennessee Valley Authority","Agency Overall","2009","3","0","1","1"
"Postal Regulatory Commission","Agency Overall","2009","0","0","N/A","N/A"
"National Science Foundation","Agency Overall","2009","0","1","13","13"
"Environmental Protection Agency","Agency Overall","2009","210","108","6","12.3"
"National Aeronautics and Space Administration","Agency Overall","2009","15","12","1","1"
"National Mediation Board","Agency Overall","2009","0","0","N/A","N/A"
"Farm Credit Administration","Agency Overall","2009","0","0","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2009","45","7","1","3"
"General Services Administration","Agency Overall","2009","2","0","20","20"
"Surface Transportation Board","Agency Overall","2009","1","0","15","15"
"Central Intelligence Agency","Agency Overall","2009","1","10","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2009","1","0","6","10"
"Office of National Drug Control Policy","Agency Overall","2009","0","0","N/A","N/A"
"Federal Communications Commission","Agency Overall","2009","2","7","4","7"
"Social Security Administration","Agency Overall","2009","40","62","27","38"
"Federal Financial Institutions Examination Council","Agency Overall","2009","0","0","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2009","0","1","3","5"
"National Credit Union Administration","Agency Overall","2009","3","3","0.5","1.7"
"Institute of Museum and Library Services","Agency Overall","2009","0","0","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2009","12","1","1","1"
"Inter-American Foundation","Agency Overall","2009","0","0","N/A","N/A"
"United States Copyright Office","Agency Overall","2009","0","0","N/A","N/A"
"Department of Homeland Security","Agency Overall","2009","43","59","13","37.39"
"Export-Import Bank of the U.S.","Agency Overall","2009","0","0","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","0","0","N/A","N/A"
"United States International Trade Commission","Agency Overall","2009","5","0","1","2"
"Department of Education","Agency Overall","2009","29","160","5","10"
"Department of Commerce","Agency Overall","2009","70","24","5","10"
"Office of Science and Technology Policy","Agency Overall","2009","0","0","N/A","N/A"
"U.S. Department of State","Agency Overall","2009","3","178","7","14"
"Selective Service System","Agency Overall","2009","0","0","N/A","N/A"
"All agencies","Agency Overall","2009","4115","2757","N/A","N/A"
