"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"Small Business Administration","Agency Overall","2009","22","28","59","0","N/A","N/A","0","N/A","N/A"
"Office of Management and Budget","Agency Overall","2009","16","15","17","0","N/A","N/A","0","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2009","0","N/A","N/A","10","41","132","0","N/A","N/A"
"Federal Mediation and Conciliation Service","Agency Overall","2009","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Election Commission","Agency Overall","2009","13","40","148","4","54.5","59","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2009","1308","832","948.3","4411","986","1224.31","0","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2009","3","10","9","25","293","357","2","139","139"
"Merit Systems Protection Board","Agency Overall","2009","5","56","63","0","N/A","N/A","0","N/A","N/A"
"Federal Trade Commission","Agency Overall","2009","1","25","25","17","52","76","0","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2009","14","11","24.07","0","N/A","N/A","0","N/A","N/A"
"Department of Justice","Agency Overall","2009","5173","47","157.79","2072","134","207.6","76","81","199.53"
"Federal Labor Relations Authority","Agency Overall","2009","2","N/A","252","0","N/A","N/A","0","N/A","N/A"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2009","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Transportation","Agency Overall","2009","1105","92","161","342","325","138","11","40","127"
"Nuclear Regulatory Commission","Agency Overall","2009","11","6","7","12","19","31","0","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2009","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Veterans Affairs","Agency Overall","2009","0","N/A","N/A","779","16.5","29","5","1","1"
