"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Commodity Futures Trading Commission","Agency Overall","2018","5","1","5","1"
"Merit Systems Protection Board","Agency Overall","2018","16","13","20","8"
"United States African Development Foundation","Agency Overall","2018","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2018","624","621","605","637"
"Department of Homeland Security","Agency Overall","2018","5386","5386","5346","5327"
"National Indian Gaming Commission","Agency Overall","2018","1","0","2","0"
"Office of Government Ethics","Agency Overall","2018","16","5","16","5"
"National Commission on Military, National, and Public Service","Agency Overall","2018","0","2","0","1"
"National Mediation Board","Agency Overall","2018","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2018","4","2","3","3"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2018","61","53","59","53"
"Department of Agriculture","Agency Overall","2018","349","518","283","250"
"Court Services and Offender Supervision Agency","Agency Overall","2018","1","0","1","0"
"General Services Administration","Agency Overall","2018","37","50","31","41"
"Federal Mediation and Conciliation Service","Agency Overall","2018","2","2","2","2"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","0","0","0","0"
"Peace Corps","Agency Overall","2018","4","7","4","7"
"Department of Education","Agency Overall","2018","65","71","50","53"
"Office of National Drug Control Policy","Agency Overall","2018","","","",""
"Department of Housing and Urban Development","Agency Overall","2018","56","52","61","50"
"Armed Forces Retirement Home","Agency Overall","2018","","","",""
"National Capital Planning Commission","Agency Overall","2018","0","0","0","0"
"Federal Communications Commission","Agency Overall","2018","21","36","26","35"
"Legal Services Corporation","Agency Overall","2018","0","2","0","0"
"United States International Trade Commission","Agency Overall","2018","0","2","0","2"
"Inter-American Foundation","Agency Overall","2018","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","3","1","3","1"
"Department of the Treasury","Agency Overall","2018","182","177","173","160"
