"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Commodity Futures Trading Commission","Agency Overall","2018","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Merit Systems Protection Board","Agency Overall","2018","2","0","0","0","0","0","0","0","0","0","0","0","1","3"
"United States African Development Foundation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2018","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Department of Homeland Security","Agency Overall","2018","234","71","48","38","23","18","12","24","17","8","29","5","2","529"
"National Indian Gaming Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2018","0","2","0","1","1","0","0","0","1","1","3","4","0","13"
"National Commission on Military, National, and Public Service","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2018","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"U.S. Agency for Global Media","Agency Overall","2018","1","1","0","0","2","0","0","0","0","0","0","0","0","4"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2018","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Department of Agriculture","Agency Overall","2018","9","1","0","1","1","0","0","0","0","0","0","0","0","12"
"Court Services and Offender Supervision Agency","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"General Services Administration","Agency Overall","2018","19","12","6","4","7","3","2","5","0","2","7","1","0","68"
"Federal Mediation and Conciliation Service","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2018","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Peace Corps","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2018","16","2","1","0","1","0","0","0","0","0","0","0","0","20"
"Office of National Drug Control Policy","Agency Overall","2018","1","0","0","0","2","0","0","0","0","0","0","0","0","3"
"Department of Housing and Urban Development","Agency Overall","2018","10","2","1","0","0","0","0","0","0","1","0","0","0","14"
"Armed Forces Retirement Home","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2018","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Federal Communications Commission","Agency Overall","2018","42","14","10","6","0","3","3","3","2","6","7","0","0","96"
"Legal Services Corporation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Inter-American Foundation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2018","20","5","2","1","1","0","2","4","2","0","1","0","0","38"
"Office of Personnel Management","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2018","0","0","1","0","0","0","0","0","0","0","0","0","0","1"
"United States Trade and Development Agency","Agency Overall","2018","1","1","0","0","0","0","0","0","0","0","1","0","0","3"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2018","7","2","0","0","0","0","0","0","0","0","0","0","0","9"
"National Railroad Passenger Corporation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","8","8"
"Department of Health and Human Services","Agency Overall","2018","9","11","5","2","2","3","2","1","1","1","2","2","35","76"
